subj,node1,node2,irt5,irt9,irt95
S116,turkey,chicken,1,1,1
S116,elephant,slowloris,1,1,1
S116,slowloris,panda,1,1,1
S116,boar,hippopotamus,1,1,1
S116,bear,llama,1,1,1
S116,pig,bison,1,1,1
S116,bat,eagle,1,1,1
S116,llama,alpaca,1,1,1
S116,slowloris,giraffe,1,0,0
S116,meerkat,hawk,1,1,1
S116,rabbit,seal,1,1,1
S116,boar,monkey,1,0,0
S116,whale,mouse,1,1,1
S116,slowloris,meerkat,1,1,1
S116,meerkat,hedgehog,1,1,1
S116,gerbil,elephant,1,1,1
S116,panther,giraffe,0,0,1
S116,sheep,dog,1,0,0
S116,pig,cow,1,1,1
S116,boar,kangaroo,1,1,0
S116,bird,hawk,1,1,1
S116,elephant,alpaca,1,0,1
S116,zebra,cheetah,1,0,1
S116,lion,human,0,0,1
S116,ape,monkey,1,1,1
S116,human,monkey,0,1,0
S116,llama,panther,0,1,0
S116,kangaroo,whale,1,1,1
S116,horse,pig,1,1,1
S116,cheetah,slowloris,0,1,0
S116,sheep,llama,0,0,1
S116,bird,mouse,0,1,0
S116,zebra,horse,0,1,1
S116,horse,dog,1,1,1
S116,dolphin,polarbear,1,0,1
S116,chipmunk,squirrel,1,1,1
S116,rhinoceros,giraffe,1,1,0
S116,kangaroo,llama,0,0,1
S116,horse,cow,1,1,1
S116,bird,rat,1,0,0
S116,human,boar,0,0,1
S116,rhinoceros,panda,0,0,1
S116,hippopotamus,rhinoceros,1,1,1
S116,turkey,deer,1,1,1
S116,walrus,hawk,1,1,1
S116,deer,panda,1,1,1
S116,bird,squirrel,1,1,1
S116,cheetah,elephant,1,1,1
S116,panther,cat,0,0,1
S116,squirrel,hedgehog,1,1,1
S116,bear,dog,1,1,1
S116,human,chimpanzee,1,0,1
S116,tasmaniandevil,kangaroo,1,1,1
S116,zebra,cow,1,0,0
S116,boar,tasmaniandevil,1,1,1
S116,slowloris,chimpanzee,1,1,1
S116,seal,gerbil,1,1,0
S116,dolphin,mouse,1,1,0
S116,dolphin,bird,0,0,1
S116,dolphin,whale,1,1,1
S116,tasmaniandevil,hyena,1,1,1
S116,pig,chicken,1,1,1
S116,polarbear,panther,1,1,1
S116,sheep,cat,0,1,0
S116,cow,bison,0,0,1
S116,bear,cat,1,1,1
S116,elephant,giraffe,1,1,1
S116,alpaca,panther,1,0,0
S116,lion,slowloris,0,1,0
S116,hyena,kangaroo,1,1,1
S116,chimpanzee,monkey,1,1,1
S116,panda,giraffe,1,1,1
S116,dog,cat,1,1,1
S116,squirrel,bison,1,1,1
S116,rat,mouse,1,1,1
S116,hyena,monkey,0,0,1
S116,bird,chicken,0,0,1
S116,polarbear,giraffe,1,1,1
S116,rat,squirrel,1,1,1
S116,horse,eagle,0,1,0
S116,elephant,panda,0,1,0
S116,polarbear,alpaca,1,1,1
S116,llama,pig,1,1,1
S116,polarbear,llama,0,1,0
S116,squirrel,pig,1,1,0
S116,squirrel,mouse,1,1,0
S116,dolphin,cheetah,1,0,0
S116,bear,alpaca,1,0,0
S116,ape,chimpanzee,1,1,1
S116,slowloris,mouse,1,1,1
S116,horse,bat,1,0,1
S116,cheetah,horse,0,1,0
S116,dolphin,lion,1,1,1
S116,sheep,horse,0,0,1
S116,kangaroo,monkey,0,1,0
S116,lion,llama,0,1,0
S116,lion,cheetah,1,1,1
S116,cow,groundhog,1,1,1
S116,human,whale,1,1,1
S116,rabbit,gerbil,1,1,1
S116,bird,eagle,1,1,1
S116,monkey,panda,1,1,1
S116,dolphin,alpaca,0,1,0
S116,eagle,hawk,1,1,1
