subj,node1,node2,irt5,irt9,irt95
S101,peacock,zebra,1,1,1
S101,antelope,cheetah,1,0,0
S101,horse,swan,1,1,1
S101,bunny,hare,1,1,1
S101,guineapig,tortoise,1,0,0
S101,bird,fish,1,1,1
S101,chicken,fox,1,1,1
S101,chicken,rooster,1,1,1
S101,rhinoceros,shark,1,0,0
S101,lovebird,sunconure,1,1,1
S101,grizzlybear,polarbear,1,1,1
S101,pheasant,rhinoceros,1,1,1
S101,fox,frog,1,1,1
S101,elephant,jaguar,1,1,1
S101,hippopotamus,zebra,1,1,1
S101,bee,swan,1,1,1
S101,antelope,grizzlybear,1,1,1
S101,ant,dolphin,1,1,0
S101,cat,cheetah,1,1,1
S101,jaguar,monkey,0,1,1
S101,antelope,rhinoceros,0,1,1
S101,tortoise,turkey,1,1,1
S101,ant,snake,1,0,0
S101,ant,mouse,1,1,1
S101,dog,lion,0,1,0
S101,humunukuapua,persian,1,1,1
S101,dolphin,shark,0,0,1
S101,ant,llama,1,1,1
S101,cheetah,dog,1,0,1
S101,sparrow,tortoise,1,0,0
S101,horse,jaguar,1,1,1
S101,elephant,hyena,0,1,1
S101,beetle,grasshopper,1,1,1
S101,bee,beetle,1,1,1
S101,cat,lion,1,0,1
S101,humunukuapua,russianblue,1,0,0
S101,quail,snake,1,1,1
S101,frog,sparrow,1,0,0
S101,ant,hare,1,1,1
S101,hyena,parrot,1,1,1
S101,germanshepherd,poodle,1,0,0
S101,sparrow,turkey,1,1,1
S101,mouse,snake,1,0,1
S101,bird,cat,1,1,1
S101,cheetah,lovebird,0,1,0
S101,beetle,frog,1,0,0
S101,rooster,whale,1,1,1
S101,antelope,mouse,0,1,1
S101,fox,sparrow,1,1,1
S101,humunukuapua,pufferfish,1,1,1
S101,elephant,hippopotamus,1,1,1
S101,elephant,lion,1,1,1
S101,fox,rooster,1,0,0
S101,shark,snail,1,1,1
S101,hippopotamus,monkey,1,1,1
S101,peacock,pig,1,1,1
S101,elephant,shark,1,0,0
S101,poodle,russianblue,1,1,1
S101,bird,dog,1,0,0
S101,cheetah,hippopotamus,1,0,0
S101,dolphin,llama,1,0,1
S101,goose,swan,1,1,1
S101,antelope,polarbear,1,0,0
S101,leopard,warthog,1,1,1
S101,poodle,terrier,1,1,1
S101,cat,germanshepherd,1,1,1
S101,tortoise,wolf,1,1,1
S101,germanshepherd,terrier,1,1,1
S101,antelope,shark,1,1,1
S101,cat,dog,1,1,1
S101,duck,goose,1,1,1
S101,guineapig,wolf,1,1,1
S101,antelope,fish,1,1,1
S101,hyena,lion,1,1,1
S101,pheasant,quail,1,1,1
S101,pig,zebra,1,0,0
S101,dolphin,fox,1,1,1
S101,persian,russianblue,1,1,1
S101,frog,grasshopper,1,1,1
S101,cheetah,hyena,1,0,0
S101,hippopotamus,hyena,1,1,1
S101,antelope,elephant,1,1,1
S101,polarbear,warthog,1,1,1
S101,lovebird,parrot,1,1,1
S101,pufferfish,robin,1,1,1
S101,hyena,lovebird,1,0,0
S101,guineapig,pigeon,1,1,1
S101,warthog,zebra,1,1,1
S101,elephant,snake,1,0,0
S101,cheetah,parrot,1,1,0
S101,leopard,snake,0,1,1
S101,polarbear,snake,1,1,1
S101,cheetah,elephant,1,0,0
S101,cheetah,lion,1,1,1
S101,giraffe,robin,1,1,1
S101,jaguar,polarbear,1,0,0
S101,leopard,quail,1,0,0
S101,jaguar,mouse,1,0,0
S101,elephant,giraffe,1,1,1
S101,duck,sunconure,1,1,1
S101,slug,snail,1,1,1
S101,quail,rhinoceros,1,0,0
S101,elephant,monkey,1,0,0
S101,jaguar,snake,1,1,1
S101,dog,slug,1,1,1
S101,monkey,shark,1,1,1
S101,bunny,goose,1,1,1
S102,llama,turtle,0,0,1
S102,chicken,owl,1,1,1
S102,cheetah,turkey,0,0,1
S102,cheetah,fish,1,1,1
S102,giraffe,owl,1,1,1
S102,jaguar,leopard,1,1,1
S102,giraffe,llama,1,1,1
S102,donkey,horse,1,1,1
S102,falcon,zebra,1,1,1
S102,donkey,llama,1,1,1
S102,lion,zebra,1,1,1
S102,bird,skunk,1,1,1
S102,bear,dog,1,1,1
S102,llama,owl,1,1,0
S102,bear,fox,1,1,1
S102,cheetah,jaguar,1,1,0
S102,bear,lion,1,1,0
S102,coyote,zebra,1,0,1
S102,bobcat,cheetah,0,0,1
S102,giraffe,ostrich,1,1,1
S102,bear,cat,1,1,1
S102,cheetah,horse,1,1,1
S102,hyena,wolf,1,1,1
S102,bear,wolf,1,1,0
S102,owl,turkey,1,1,1
S102,jaguar,mountainlion,1,1,1
S102,elephant,turtle,0,0,1
S102,cow,horse,1,1,1
S102,bobcat,jaguar,1,1,1
S102,ostrich,zebra,1,1,1
S102,skunk,tiger,1,1,1
S102,fox,wolf,1,1,1
S102,tiger,zebra,0,1,0
S102,cheetah,donkey,1,1,0
S102,tiger,wolf,0,1,1
S102,elephant,tiger,1,1,1
S102,horse,monkey,1,1,1
S102,coyote,hyena,1,1,1
S102,cow,donkey,1,0,0
S102,bear,tiger,1,1,0
S102,cheetah,leopard,1,1,1
S102,giraffe,monkey,1,1,1
S102,elephant,horse,1,1,1
S102,lion,tiger,1,1,1
S102,tiger,turtle,1,1,0
S102,dog,giraffe,1,1,0
S102,dog,llama,1,1,1
S102,donkey,monkey,1,1,1
S102,giraffe,zebra,0,0,1
S103,elephant,woolymammoth,1,1,1
S103,penguin,snail,1,1,1
S103,donkey,orangutan,0,1,1
S103,gorilla,lemur,1,1,1
S103,llama,woolymammoth,1,1,1
S103,catfish,penguin,1,1,1
S103,ferret,weasel,1,1,1
S103,kangaroo,mouse,0,0,1
S103,capybara,rabbit,1,1,1
S103,donkey,mule,1,1,1
S103,chipmunk,moose,1,1,1
S103,chicken,panda,1,1,1
S103,goldfish,piranha,1,1,1
S103,cat,sloth,1,1,0
S103,alpaca,llama,1,1,1
S103,boar,redpanda,1,1,1
S103,goat,llama,1,1,0
S103,horse,kangaroo,0,1,0
S103,koala,rat,1,1,1
S103,pig,rat,1,1,1
S103,bee,cheetah,1,1,1
S103,giraffe,hippopotamus,1,1,1
S103,mantis,rhinoceros,1,1,1
S103,bear,gorilla,0,1,0
S103,crow,fly,0,1,0
S103,hippopotamus,lion,1,1,1
S103,goat,rat,1,1,1
S103,hamster,marmoset,1,1,1
S103,lion,redpanda,1,1,1
S103,deer,squirrel,1,1,1
S103,hawk,tick,1,1,1
S103,chimpanzee,gorilla,1,1,1
S103,cranefly,raven,1,1,0
S103,ocelot,octopus,1,1,1
S103,parrot,tick,1,0,0
S103,kangaroo,yellowjacket,1,1,1
S103,bear,orangutan,0,1,0
S103,penguin,whale,1,1,0
S103,antelope,pig,1,1,1
S103,bluejay,hamster,1,1,1
S103,moose,squirrel,1,1,0
S103,llama,zebra,1,1,1
S103,rabbit,turtle,1,1,0
S103,kangaroo,swan,1,0,1
S103,hyena,kangaroo,0,1,0
S103,eagle,parrot,1,1,1
S103,dinosaur,raptor,1,1,1
S103,ocelot,tiger,1,1,1
S103,mink,seal,0,1,1
