subj,node1,node2,rw,windowgraph,uinvite
S101,peacock,zebra,1,0,1
S101,cheetah,bird,0,0,1
S101,swan,horse,1,0,1
S101,bunny,hare,1,0,1
S101,fish,bird,1,1,1
S101,chicken,fox,1,0,1
S101,chicken,rooster,1,1,1
S101,sunconure,lovebird,1,0,1
S101,polarbear,grizzlybear,1,1,1
S101,pheasant,rhinoceros,1,0,1
S101,frog,fox,1,0,1
S101,jaguar,elephant,1,0,1
S101,zebra,hippopotamus,1,0,1
S101,swan,bee,1,0,1
S101,antelope,grizzlybear,1,0,1
S101,cat,cheetah,1,0,1
S101,jaguar,monkey,1,0,1
S101,lion,bird,1,0,0
S101,turkey,tortoise,1,0,1
S101,ant,mouse,1,1,1
S101,cat,lovebird,1,0,1
S101,lion,dog,1,0,1
S101,shark,dolphin,1,0,1
S101,llama,ant,1,0,1
S101,horse,jaguar,1,0,1
S101,elephant,hyena,1,0,1
S101,pigeon,chicken,1,0,1
S101,grasshopper,beetle,1,0,1
S101,beetle,bee,1,0,1
S101,antelope,rhinoceros,1,0,1
S101,ant,hare,1,0,1
S101,giraffe,robin,1,0,1
S101,parrot,hyena,1,0,1
S101,sparrow,turkey,1,0,1
S101,grizzlybear,parrot,1,0,1
S101,snake,mouse,1,0,1
S101,cat,bird,1,0,0
S101,rooster,whale,1,0,1
S101,antelope,mouse,1,0,1
S101,sparrow,fox,1,0,1
S101,pufferfish,humunukuapua,1,0,1
S101,hippopotamus,elephant,1,1,1
S101,lion,elephant,1,0,1
S101,pig,warthog,1,0,1
S101,shark,snail,1,0,1
S101,hippopotamus,monkey,1,0,1
S101,peacock,pig,1,0,1
S101,persian,humunukuapua,1,0,1
S101,poodle,russianblue,1,0,1
S101,bird,dog,0,1,0
S101,llama,dolphin,1,0,1
S101,swan,goose,1,1,1
S101,warthog,leopard,1,0,1
S101,poodle,terrier,1,0,1
S101,cat,germanshepherd,1,0,1
S101,tortoise,wolf,1,0,1
S101,germanshepherd,terrier,1,0,1
S101,antelope,shark,1,0,1
S101,cat,dog,1,1,1
S101,duck,goose,1,0,1
S101,guineapig,wolf,1,0,1
S101,antelope,fish,1,0,1
S101,lion,hyena,1,0,1
S101,pheasant,quail,1,0,1
S101,dolphin,fox,1,0,1
S101,russianblue,persian,1,0,1
S101,frog,grasshopper,1,0,1
S101,dolphin,whale,1,0,0
S101,hippopotamus,hyena,1,0,1
S101,antelope,elephant,1,0,1
S101,polarbear,warthog,1,0,1
S101,snake,monkey,1,0,0
S101,parrot,lovebird,1,1,1
S101,pufferfish,robin,1,0,1
S101,pigeon,guineapig,1,0,1
S101,zebra,warthog,1,0,1
S101,snake,leopard,1,0,1
S101,polarbear,snake,1,0,1
S101,lion,cheetah,1,0,1
S101,snake,quail,1,0,1
S101,giraffe,elephant,1,0,1
S101,duck,sunconure,1,0,1
S101,slug,snail,1,0,1
S101,snake,jaguar,1,1,1
S101,slug,dog,1,0,1
S101,shark,monkey,1,0,1
S101,bunny,goose,1,0,1
S102,turtle,llama,1,0,1
S102,turkey,chicken,1,0,1
S102,owl,chicken,1,0,1
S102,fox,wolf,1,0,1
S102,fish,cheetah,1,0,1
S102,owl,giraffe,1,0,1
S102,leopard,jaguar,1,1,1
S102,bird,dog,1,0,1
S102,giraffe,llama,1,1,1
S102,donkey,horse,1,1,1
S102,falcon,zebra,1,0,1
S102,lion,zebra,1,0,1
S102,elephant,lion,1,0,1
S102,bird,skunk,1,0,1
S102,bear,dog,0,0,1
S102,elephant,tiger,1,0,1
S102,fox,bear,1,0,1
S102,turkey,ostrich,1,0,1
S102,turtle,wolf,1,0,0
S102,lion,cat,1,0,1
S102,coyote,zebra,1,0,1
S102,turkey,cheetah,1,0,1
S102,turtle,monkey,1,0,1
S102,hyena,wolf,1,0,1
S102,bear,cat,1,0,1
S102,owl,turkey,1,1,1
S102,mountainlion,jaguar,1,0,1
S102,turtle,elephant,1,0,1
S102,elephant,cheetah,1,0,1
S102,horse,cow,1,0,1
S102,bobcat,jaguar,1,1,1
S102,ostrich,zebra,1,0,1
S102,tiger,skunk,1,0,1
S102,donkey,llama,1,0,1
S102,donkey,cheetah,1,0,1
S102,tiger,wolf,1,0,1
S102,bobcat,horse,1,0,1
S102,horse,monkey,1,0,1
S102,monkey,elephant,1,0,1
S102,coyote,hyena,1,0,1
