subj,node1,node2,uinvite,rw
S101,whale,ostrich,1,1
S101,shark,octopus,0,1
S101,donkey,lion,1,1
S101,pig,cow,1,1
S101,donkey,horse,1,1
S101,rat,snake,1,1
S101,pig,chicken,1,1
S101,dolphin,dog,0,1
S101,fish,ostrich,0,1
S101,turtle,zebra,1,1
S101,donkey,leopard,0,1
S101,lion,ostrich,1,1
S101,fish,dog,1,1
S101,sheep,wolf,1,1
S101,chicken,octopus,1,1
S101,elephant,lion,1,1
S101,horse,bat,1,1
S101,snake,cow,0,1
S101,cow,chicken,1,1
S101,sheep,horse,1,1
S101,elephant,giraffe,1,1
S101,horse,cow,1,0
S101,pig,horse,0,1
S101,dog,cat,1,1
S101,shark,fish,1,1
S101,gerbil,cat,1,1
S101,whale,dolphin,1,1
S101,rat,mouse,1,1
S101,whale,ant,1,1
S101,dolphin,cow,1,1
S101,shark,whale,1,0
S101,elephant,ant,1,1
S101,lion,leopard,1,1
S101,elephant,fish,0,1
S101,donkey,zebra,1,1
S101,shark,dolphin,1,1
S101,hippopotamus,ostrich,0,1
S101,leopard,giraffe,0,1
S101,fish,cat,0,1
S101,sheep,cow,1,1
S101,hippopotamus,elephant,1,1
S101,giraffe,dog,1,1
S101,elephant,leopard,0,1
S101,lion,giraffe,0,1
S101,gerbil,mouse,1,1
S101,bat,skunk,1,1
S101,giraffe,zebra,1,1
S102,sparrow,hawk,1,1
S102,horse,donkey,1,1
S102,flamingo,toad,0,1
S102,porpoise,waterbuffalo,1,1
S102,stork,robin,1,1
S102,chicken,bat,1,1
S102,jaguar,leopard,1,1
S102,snappingturtle,seaturtle,1,1
S102,ferret,rat,1,1
S102,sparrow,robin,1,1
S102,pelican,stork,1,1
S102,panther,donkey,1,1
S102,octopus,squid,1,1
S102,giraffe,oryx,1,1
S102,boxturtle,toad,1,0
S102,skate,greatwhiteshark,1,1
S102,orangutan,chimpanzee,1,1
S102,jaguar,cheetah,0,1
S102,tiger,whale,1,1
S102,frog,toad,1,1
S102,chimpanzee,gorilla,1,1
S102,bulldog,tiger,1,1
S102,stingray,jellyfish,1,1
S102,flamingo,wolf,1,1
S102,kangaroo,rat,1,1
S102,lion,tiger,1,1
S102,turtle,stork,1,1
S102,panther,tiger,1,1
S102,skate,rattlesnake,1,1
S102,jaguar,panther,1,1
S102,elephant,hyena,0,1
S102,cat,dog,1,1
S102,seal,manatee,1,1
S102,cow,horse,1,1
S102,cheetah,leopard,1,1
S102,fox,waterbuffalo,1,1
S102,bison,greatwhiteshark,1,1
S102,giraffe,capybara,0,1
S102,fox,manatee,1,1
S102,panda,kangaroo,0,1
S102,lemur,orangutan,1,1
S102,salmon,seaturtle,1,1
S102,orangutan,deer,1,1
S102,panther,boar,1,1
S102,humpbackwhale,narwhal,0,1
S102,puma,cougar,1,1
S102,bison,cougar,1,1
S102,octopus,jellyfish,1,1
S102,giraffe,buffalo,1,1
S102,tuna,leopard,1,1
S102,manatee,narwhal,1,1
S102,fox,wolfhound,1,1
S102,jaguar,capybara,1,1
S102,sheep,goat,1,1
S102,lion,elephant,1,1
S102,greatwhiteshark,hammerheadshark,1,1
S102,flamingo,sheep,1,0
S102,orca,manatee,1,1
S102,seal,narwhal,1,1
S102,chicken,donkey,0,1
S102,puma,gorilla,1,1
S102,cougar,chimpanzee,1,1
S102,antelope,oryx,1,1
S102,chicken,sheep,0,1
S102,bat,cod,1,1
S102,beagle,donkey,1,0
S102,manatee,cow,1,1
S102,whale,narwhal,1,1
S102,horse,deer,1,1
S102,flamingo,robin,0,1
S102,flamingo,stork,1,1
S102,chicken,cow,1,1
S102,fish,buffalo,1,1
S102,puma,cheetah,1,1
S102,mouse,capybara,1,1
S102,rat,mouse,1,1
S102,salmon,hammerheadshark,1,1
S102,tiger,cheetah,1,0
S102,orca,koala,1,1
S102,orca,narwhal,1,0
S102,hippopotamus,catamount,1,1
S102,antelope,hyena,1,1
S102,donkey,goat,0,1
S102,fox,wolf,1,1
S102,cod,tuna,1,1
S102,lion,leopard,1,1
S102,salmon,tuna,1,1
S102,rattlesnake,hyena,1,1
S102,bison,sheep,1,1
S102,bluewhale,narwhal,1,1
S102,giraffe,leopard,1,1
S102,beagle,wolfhound,1,1
S102,stork,hyena,1,1
S102,hippopotamus,hyena,0,1
S102,jaguar,hyena,1,1
S102,greatwhiteshark,bluewhale,1,1
S102,panda,koala,1,1
S102,turtle,toad,1,1
S102,puma,catamount,1,1
S102,panda,rat,1,0
S102,fish,dog,1,1
S102,sheep,donkey,0,1
S102,ferret,panda,0,1
S102,stingray,pelican,1,1
S102,sealion,manatee,0,1
S102,sheep,robin,1,1
S102,sheep,horse,1,1
S102,elephant,cheetah,0,1
S102,hammerheadshark,squid,1,0
S102,lion,cheetah,1,1
S102,eagle,stork,0,1
S102,rhinoceros,cheetah,1,1
S102,tiger,rhinoceros,0,1
S102,hippopotamus,rhinoceros,1,1
S102,bison,squid,0,1
S102,chicken,beagle,1,0
S102,boxturtle,bobcat,1,1
S102,orca,humpbackwhale,1,1
S102,boxturtle,snappingturtle,1,1
S102,wolf,bobcat,1,1
S102,rattlesnake,frog,1,1
S102,eagle,hawk,1,1
S102,jaguar,cougar,1,1
S102,seal,sealion,1,1
S102,rattlesnake,toad,1,0
S102,fox,lemur,1,1
S102,cat,bear,1,1
S103,whale,cat,1,1
