subj,node1,node2,uinvite,rw,windowvalid,uinvite_prior
S101,alligator,chipmunk,0,0,0,1
S101,ant,tiger,0,0,0,1
S101,ape,bear,0,0,0,1
S101,armadillo,deer,0,0,0,1
S101,badger,fox,0,0,0,1
S101,bat,penguin,0,0,0,1
S101,bear,belugawhale,0,0,0,1
S101,bear,pig,0,0,0,1
S101,bear,walrus,0,0,0,1
S101,bear,whale,0,0,0,1
S101,bee,ant,0,0,0,1
S101,bluejacket,hawk,0,0,0,1
S101,bluejay,weasel,0,0,0,1
S101,cat,cow,0,0,0,1
S101,cat,giraffe,0,0,0,1
S101,chameleon,owl,0,0,0,1
S101,cheetah,weasel,0,0,0,1
S101,chicken,bear,0,0,0,1
S101,chicken,lizard,0,0,0,1
S101,chicken,mouse,0,0,0,1
S101,chinchilla,lynx,0,0,0,1
S101,chipmunk,deer,0,0,0,1
S101,cow,squirrel,0,0,0,1
S101,crocodile,fish,0,0,0,1
S101,dolphin,zebra,0,0,0,1
S101,eagle,flamingo,0,0,0,1
S101,eagle,shrew,0,0,0,1
S101,elephant,mouse,0,0,0,1
S101,emu,whale,0,0,0,1
S101,ferret,flamingo,0,0,0,1
S101,fish,bumblebee,0,0,0,1
S101,flyingsquirel,ocelot,0,0,0,1
S101,frog,spider,0,0,0,1
S101,frog,stingray,0,0,0,1
S101,giraffe,fish,0,0,0,1
S101,goat,cow,0,0,0,1
S101,goat,kangaroo,0,0,0,1
S101,goat,panda,0,0,0,1
S101,hawk,crane,0,0,0,1
S101,hippopotamus,bear,0,0,0,1
S101,hyena,robin,0,0,0,1
S101,koala,otter,0,0,0,1
S101,lobster,fox,0,0,0,1
S101,marmoset,raptor,0,0,0,1
S101,mouse,penguin,0,0,0,1
S101,okapi,newt,0,0,0,1
S101,opossum,tiger,0,0,0,1
S101,owl,mole,0,0,0,1
S101,panda,boar,0,0,0,1
S101,parrot,tapir,0,0,0,1
S101,pigeon,turkey,0,0,0,1
S101,possum,donkey,0,0,0,1
S101,rabbit,squirrel,0,0,0,1
S101,rat,polarbear,0,0,0,1
S101,rhinoceros,quail,0,0,0,1
S101,rhinoceros,snake,0,0,0,1
S101,salamander,trout,0,0,0,1
S101,sealion,bear,0,0,0,1
S101,seaturtle,boxturtle,0,0,0,1
S101,sheep,hamster,0,0,0,1
S101,slowloris,gerbil,0,0,0,1
S101,snake,camel,0,0,0,1
S101,snake,gopher,0,0,0,1
S101,sparrow,flamingo,0,0,0,1
S101,spider,ostrich,0,0,0,1
S101,spider,penguin,0,0,0,1
S101,tasmaniandevil,panda,0,0,0,1
S101,tick,penguin,0,0,0,1
S101,turtle,horse,0,0,0,1
S101,turtle,ostrich,0,0,0,1
S101,weasel,lynx,0,0,0,1
S101,whale,baldeagle,0,0,0,1
S101,zebra,alpaca,0,0,0,1
S101,ant,gopher,0,0,1,0
S101,anteater,beetle,0,0,1,0
S101,anteater,brownbear,0,0,1,0
S101,blackbear,grizzlybear,0,0,1,0
S101,bluejay,gerbil,0,0,1,0
S101,chameleon,echidna,0,0,1,0
S101,coyotee,penguin,0,0,1,0
S101,crow,robin,0,0,1,0
S101,giraffe,turtle,0,0,1,0
S101,horse,chicken,0,0,1,0
S101,hyena,cougar,0,0,1,0
S101,mink,otter,0,0,1,0
S101,narwhal,orca,0,0,1,0
S101,opossum,groundhog,0,0,1,0
S101,panda,orca,0,0,1,0
S101,salmon,cod,0,0,1,0
S101,sheep,ox,0,0,1,0
S101,prairiedog,gopher,0,0,1,1
S101,alligator,canary,0,1,0,0
S101,anteater,salamander,0,1,0,0
S101,antelope,pig,0,1,0,0
S101,antelope,wolf,0,1,0,0
S101,ape,chicken,0,1,0,0
S101,argali,deer,0,1,0,0
S101,armadillo,hyena,0,1,0,0
S101,basilisk,leopard,0,1,0,0
S101,bear,leopard,0,1,0,0
S101,bear,turkey,0,1,0,0
S101,beetle,butterfly,0,1,0,0
S101,beetle,weasel,0,1,0,0
S101,bird,mouse,0,1,0,0
S101,bird,wolf,0,1,0,0
S101,bobcat,horse,0,1,0,0
S101,bull,camel,0,1,0,0
S101,cat,gerbil,0,1,0,0
S101,cat,panther,0,1,0,0
S101,catamount,hippopotamus,0,1,0,0
S101,cheetah,dog,0,1,0,0
S101,cheetah,fish,0,1,0,0
S101,cheetah,impala,0,1,0,0
S101,chicken,bird,0,1,0,0
S101,chicken,seacow,0,1,0,0
S101,chimpanzee,horse,0,1,0,0
S101,chinchilla,pig,0,1,0,0
S101,chipmunk,owl,0,1,0,0
S101,cow,groundhog,0,1,0,0
S101,cow,hummingbird,0,1,0,0
S101,cow,ram,0,1,0,0
S101,coyotee,giraffe,0,1,0,0
S101,coyotee,scorpion,0,1,0,0
S101,coyotee,seal,0,1,0,0
S101,coyotee,walrus,0,1,0,0
S101,coyotee,zebra,0,1,0,0
S101,crab,beetle,0,1,0,0
S101,crab,fox,0,1,0,0
S101,crab,gopher,0,1,0,0
S101,crab,squid,0,1,0,0
S101,dingo,wolf,0,1,0,0
S101,dinosaur,marmoset,0,1,0,0
S101,dog,fox,0,1,0,0
S101,dolphin,robin,0,1,0,0
S101,donkey,panther,0,1,0,0
S101,duck,fly,0,1,0,0
S101,duck,mouse,0,1,0,0
S101,dungbeetle,lizard,0,1,0,0
S101,eagle,stork,0,1,0,0
S101,elephant,alpaca,0,1,0,0
S101,elephant,camel,0,1,0,0
S101,elephant,dog,0,1,0,0
S101,elephant,gerbil,0,1,0,0
S101,elephant,lynx,0,1,0,0
S101,elephant,rat,0,1,0,0
S101,elephant,wildebeast,0,1,0,0
S101,fish,bird,0,1,0,0
S101,fish,rooster,0,1,0,0
S101,fish,shrimp,0,1,0,0
S101,fly,cricket,0,1,0,0
S101,frog,clownfish,0,1,0,0
S101,giraffe,chicken,0,1,0,0
S101,giraffe,cow,0,1,0,0
S101,giraffe,mule,0,1,0,0
S101,goose,donkey,0,1,0,0
S101,goose,octopus,0,1,0,0
S101,goose,zebra,0,1,0,0
S101,hamster,marmoset,0,1,0,0
S101,hawk,hippopotamus,0,1,0,0
S101,hawk,mockingbird,0,1,0,0
S101,hedgehog,pig,0,1,0,0
S101,hippopotamus,boar,0,1,0,0
S101,hippopotamus,gazelle,0,1,0,0
S101,horse,lion,0,1,0,0
S101,koala,mouse,0,1,0,0
S101,koala,tiger,0,1,0,0
S101,lion,human,0,1,0,0
S101,lion,squid,0,1,0,0
