id,game,category,item,RT,RTstart,shortlist
S101,1,animals,cheetah,5260,5260,0
S101,1,animals,lion,1346,6606,0
S101,1,animals,hyena,1439,8045,0
S101,1,animals,parrot,4736,12781,0
S101,1,animals,lovebird,2171,14952,0
S101,1,animals,cat,4299,19251,0
S101,1,animals,germanshepherd,5437,24688,0
S101,1,animals,terrier,2754,27442,0
S101,1,animals,poodle,6701,34143,0
S101,1,animals,russianblue,4662,38805,0
S101,1,animals,persian,1678,40483,0
S101,1,animals,humunukuapua,13158,53641,0
S101,1,animals,pufferfish,7629,61270,0
S101,1,animals,robin,5761,67031,0
S101,1,animals,giraffe,5046,72077,0
S101,1,animals,elephant,2787,74864,0
S101,1,animals,hippopotamus,1994,76858,0
S101,1,animals,monkey,1898,78756,0
S101,1,animals,shark,19954,98710,0
S101,1,animals,antelope,9434,108144,0
S101,1,animals,rhinoceros,18736,126880,0
S101,1,animals,pheasant,6187,133067,0
S101,1,animals,quail,3438,136505,0
S101,1,animals,snake,7978,144483,0
S101,1,animals,leopard,1946,146429,0
S101,1,animals,warthog,11222,157651,0
S101,1,animals,zebra,8461,166112,0
S101,1,animals,zebra,2766,168878,0
S101,2,animals,cheetah,4403,4403,0
S101,2,animals,cat,1986,6389,0
S101,2,animals,dog,1234,7623,0
S101,2,animals,lion,1961,9584,0
S101,2,animals,bird,2670,12254,0
S101,2,animals,fish,1534,13788,0
S101,2,animals,antelope,9248,23036,0
S101,2,animals,elephant,4089,27125,0
S101,2,animals,hyena,1026,28151,0
S101,2,animals,hyena,2471,30622,0
S101,2,animals,hippopotamus,14271,44893,0
S101,2,animals,zebra,7032,51925,0
S101,2,animals,peacock,6505,58430,0
S101,2,animals,pig,5475,63905,0
S101,2,animals,warthog,4171,68076,0
S101,2,animals,polarbear,12722,80798,0
S101,2,animals,grizzlybear,3348,84146,0
S101,2,animals,parrot,5651,89797,0
S101,2,animals,lovebird,2358,92155,0
S101,2,animals,sunconure,3705,95860,0
S101,2,animals,duck,5974,101834,0
S101,2,animals,goose,2391,104225,0
S101,2,animals,swan,1534,105759,0
S101,2,animals,horse,7613,113372,0
S101,2,animals,jaguar,8105,121477,0
S101,2,animals,monkey,1953,123430,0
S101,2,animals,snake,1066,124496,0
S101,2,animals,mouse,1028,125524,0
S101,2,animals,ant,3238,128762,0
S101,2,animals,llama,8030,136792,0
S101,2,animals,dolphin,11520,148312,0
S101,2,animals,fox,4916,153228,0
S101,2,animals,chicken,7095,160323,0
S101,2,animals,rooster,5834,166157,0
S101,3,animals,cheetah,4099,4099,0
S101,3,animals,lion,4977,9076,0
S101,3,animals,elephant,4392,13468,0
S101,3,animals,jaguar,4387,17855,0
S101,3,animals,snake,3153,21008,0
S101,3,animals,polarbear,1542,22550,0
S101,3,animals,grizzlybear,7350,32687,0
S101,3,animals,antelope,2891,35578,0
S101,3,animals,snake,1603,37181,0
S101,3,animals,mouse,1024,38205,0
S101,3,animals,ant,1324,39529,0
S101,3,animals,hare,17403,56932,0
S101,3,animals,bunny,3024,59956,0
S101,3,animals,goose,2500,62456,0
S101,3,animals,goose,1282,63738,0
S101,3,animals,swan,3444,67182,0
S101,3,animals,bee,5912,73094,0
S101,3,animals,beetle,1906,75000,0
S101,3,animals,grasshopper,7128,82128,0
S101,3,animals,frog,5025,87153,0
S101,3,animals,fox,5953,93106,0
S101,3,animals,sparrow,9911,103017,0
S101,3,animals,turkey,5474,108491,0
S101,3,animals,tortoise,3501,111992,0
S101,3,animals,wolf,6183,118175,0
S101,3,animals,guineapig,6874,125049,0
S101,3,animals,pigeon,9495,134544,0
S101,3,animals,chicken,7379,141923,0
S101,3,animals,rooster,1858,143781,0
S101,3,animals,whale,6723,150504,0
S101,3,animals,dolphin,2683,153187,0
S101,3,animals,shark,1792,154979,0
S101,3,animals,snail,8600,163579,0
S101,3,animals,slug,3082,166661,0
S101,3,animals,dog,1783,168444,0
S101,3,animals,cat,854,169298,0
S101,3,animals,bird,1264,170562,0
S101,3,animals,fish,1483,172045,0
S101,4,animals,bear,38811,38811,0
S101,4,animals,cat,2463,41274,0
S101,4,animals,dog,1549,42823,0
S101,4,animals,bird,1789,44612,0
S101,4,animals,skunk,2183,46795,0
S101,4,animals,tiger,2148,48943,0
S101,4,animals,lion,2230,51173,0
S101,4,animals,zebra,2907,54080,0
S101,4,animals,ostrich,3313,57393,0
S101,4,animals,giraffe,4575,61968,0
S101,4,animals,llama,14608,76576,0
S101,4,animals,turtle,18797,95373,0
S101,4,animals,elephant,8790,104163,0
S101,4,animals,monkey,7790,111953,0
S101,4,animals,horse,9559,121512,0
S101,4,animals,donkey,2802,124314,0
S101,4,animals,cheetah,27971,152285,0
S101,4,animals,fish,17178,169463,0
S101,5,animals,bear,5178,5178,0
S101,5,animals,fox,2299,7477,0
