word,aoa_mean,aoa_sd
a,2.89,1.21
aardvark,9.89,3.66
abacus,8.69,3.77
abalone,12.23,3.54
abandon,8.32,2.75
abandoner,11.89,3.36
abandonment,10.27,2.57
abase,14.57,4.29
abasement,15.13,5.37
abate,14.44,3.57
abatement,15.12,2.78
abattoir,15.17,2.71
abbacy,14.5,0.71
abbess,15.43,2.37
abbey,13.06,3.59
abbot,12.1,4.7
abbreviate,9.95,2.07
abbreviated,10.5,1.79
abbreviation,9.11,2.37
abdicate,12.6,3.18
abdication,14.94,3.59
abdomen,8.61,2.25
abdominal,10.24,3.6
abduct,11.26,4.03
abduction,11.94,3.99
abductor,11.11,3.56
abeam,13.4,2.88
aberrant,13.31,3.5
aberration,12.69,3.33
abet,12.15,3.31
abettor,15.55,2.98
abeyance,15,2.58
abhor,13.76,3.27
abhorrent,12.14,4.24
abide,9.5,3.11
abiding,10.3,4.01
ability,8.84,3.22
abject,14,4.41
abjuration,17.12,2.59
abjure,14.6,3.66
ablation,13.29,3.45
ablaze,10.83,2.68
able,7.79,3.31
ablution,13.64,3.41
abnormal,10.05,2.61
abnormality,11.58,3.34
aboard,8.66,1.33
abode,12.06,2.93
abolish,10.42,2.57
abolition,13.28,3.41
abolitionism,11.78,3.17
abolitionist,12.6,3.5
abominable,8.94,3.04
abominate,15,4.24
abomination,11.17,3.45
aboriginal,14.75,4.25
aborigine,12.56,4.18
aborning,13.25,3.77
abort,12.21,3.33
abortion,13.21,3.41
abortionist,15,3.28
abortive,13.93,3.41
abound,11.65,3.12
about,5.07,1.75
above,4.55,2
aboveboard,13,3.43
aboveground,8.05,2.37
abovementioned,14.24,2.73
abracadabra,6.89,3.43
abrade,14,4.54
abrasion,11.95,3.72
abrasive,12.22,4.02
abrasiveness,12.06,3.89
abreaction,15.8,4.34
abreast,13.06,2.77
abridge,14.35,3.02
abridged,12.56,2.66
abridgement,12.32,3.54
abroad,10.15,3.2
abrogate,15.22,2.99
abrupt,10.95,3.47
abruption,11.82,2.72
abruptness,12.39,3.09
abscess,13.11,3.94
abscond,13.36,1.86
absconder,16.62,3.75
absence,7.7,2.2
absent,6.5,2.18
absentee,11,3.61
absenteeism,13.43,3.61
absentminded,10.84,3.11
absentmindedness,9.61,3.09
absinthe,16.29,3.26
absolute,8.53,3.44
absolutely,7.08,2.58
absoluteness,12.68,3.65
absolution,11.71,3.14
absolve,12.9,3.02
absolver,13.6,5.05
absorb,8.83,2.33
absorbent,10.32,2.75
absorber,10.33,3.27
absorption,10.94,2.6
abstain,12.95,3.27
abstention,15.19,3.82
abstinence,12.74,2.66
abstract,11.47,3.58
abstraction,13.65,3.52
abstractionist,14.72,3.82
abstruse,14.6,3.34
absurd,10.5,3.1
absurdist,13,3.22
absurdity,13.21,2.39
abundance,10.45,2.16
abundant,12.84,2.57
abuse,8.61,2.73
abuser,9.94,3.75
abusive,9.58,2.48
abusiveness,10.47,2.34
abut,13.11,1.9
abutment,15.33,2.45
abuzz,13,2.77
abysm,15.25,2.87
abysmal,13.78,3.47
abyss,11,2.43
abyssal,17.27,4.36
ac,10.75,5.12
acacia,14.25,6.2
academe,13.27,3.06
academia,13.74,2.77
academic,9.74,2.98
academician,15.21,2.69
academicism,15,3.71
academy,9.05,2.55
acanthus,15.17,3.76
accede,14.31,1.84
accelerando,14.5,3.51
accelerant,12.84,4.6
accelerate,10.74,3.43
accelerated,10.11,3.6
acceleration,9.84,2.79
accelerator,10.27,2.8
accent,8.6,3
accentuate,13.24,2.25
accept,6.74,2.08
acceptable,9.84,2.67
acceptance,8.56,2.04
acceptant,11.89,4.04
access,9.1,2.36
accessibility,11.05,3.58
accessible,9.94,3.26
accession,12.25,3.09
accessorize,11.39,4.46
accessory,11.15,3.65
accident,5.3,2.18
accidental,6.75,3.11
