word,freq
a,20415.27
aardvark,0.41
abacus,0.24
abalone,0.51
abandon,8.1
abandoner,0.02
abandonment,0.96
abase,0.06
abasement,#N/A
abate,0.1
abatement,0.06
abattoir,0.14
abbacy,#N/A
abbess,0.04
abbey,3.18
abbot,0.84
abbreviate,0.02
abbreviated,0.31
abbreviation,0.24
abdicate,0.18
abdication,0.12
abdomen,3.35
abdominal,3.41
abduct,0.71
abduction,3.63
abductor,0.35
abeam,0.14
aberrant,0.29
aberration,0.55
abet,0.1
abettor,0.02
abeyance,0.04
abhor,0.24
abhorrent,0.18
abide,2.71
abiding,0.49
ability,19.22
abject,0.39
abjuration,#N/A
abjure,0.02
ablation,0.02
ablaze,0.41
able,159.9
ablution,0.06
abnormal,2.9
abnormality,0.51
aboard,26.63
abode,0.65
abolish,0.47
abolition,0.2
abolitionism,0.02
abolitionist,0.22
abominable,0.63
abominate,0.06
abomination,1.14
aboriginal,0.18
aborigine,0.08
aborning,0.02
abort,4.61
abortion,7.24
abortionist,0.08
abortive,0.02
abound,0.35
about,3631.49
above,48.88
aboveboard,0.27
aboveground,0.14
abovementioned,0.02
abracadabra,1.04
abrade,0.02
abrasion,0.35
abrasive,0.45
abrasiveness,0.04
abreaction,0.02
abreast,0.51
abridge,0.02
abridged,0.18
abridgement,0.02
abroad,4.9
abrogate,0.02
abrupt,1.14
abruption,0.12
abruptness,0.08
abscess,0.49
abscond,0.1
absconder,0.02
absence,6.31
absent,2.57
absentee,0.35
absenteeism,0.1
absentminded,0.06
absentmindedness,0.02
absinthe,0.55
absolute,11.31
absolutely,113.12
absoluteness,0.02
absolution,0.94
absolve,0.57
absolver,0.08
absorb,1.98
absorbent,0.16
absorber,0.06
absorption,0.35
abstain,0.51
abstention,0.12
abstinence,0.88
abstract,2.18
abstraction,0.29
abstractionist,0.02
abstruse,0.06
absurd,9.71
absurdist,0.02
absurdity,0.63
abundance,0.88
abundant,0.57
abuse,10.25
abuser,0.31
abusive,1.63
abusiveness,0.02
abut,0.12
abutment,0.12
abuzz,0.04
abysm,#N/A
abysmal,0.41
abyss,1.76
abyssal,0.02
ac,2.16
acacia,0.16
academe,0.04
academia,0.24
academic,4.67
academician,0.02
academicism,#N/A
academy,12.41
acanthus,0.02
accede,0.14
accelerando,#N/A
accelerant,0.55
accelerate,1.27
accelerated,0.96
acceleration,0.86
accelerator,1.35
accent,12.18
accentuate,0.35
accept,52.78
acceptable,5.27
acceptance,3.16
acceptant,0.02
access,31.67
accessibility,0.04
accessible,1.1
accession,0.12
accessorize,0.35
accessory,2.88
accident,81.29
accidental,3
acclaim,0.43
acclamation,0.02
acclimate,0.16
acclimatization,0.02
acclimatize,0.02
accolade,0.02
accommodate,2.14
accommodation,0.94
accommodative,0.02
accompaniment,0.29
accompanist,0.2
accompany,4.75
accomplice,4.24
accomplish,5.84
accomplishment,1.88
accord,1.63
accordance,1.59
according,41.86
accordion,1.31
accost,0.06
account,44.71
accountability,0.47
accountable,1.41
accountancy,0.06
accountant,6.18
accounting,4.51
accoutrement,0.12
accreditation,0.18
accredited,0.31
accrete,0.02
accrual,0.04
accrue,0.08
accumulate,0.57
accumulation,0.25
accumulative,0.06
accumulator,0.02
accuracy,1.49
accurate,7.84
accursed,0.65
accusation,2.8
accusative,#N/A
accusatory,0.06
accuse,5.69
accuser,0.29
accustom,0.12
ace,14.73
acerb,#N/A
acerbic,0.08
acerbity,#N/A
acetaminophen,0.1
acetate,0.12
acetic,0.02
acetone,0.16
acetyl,0.04
acetylcholine,0.14
acetylene,0.45
acetylsalicylic,0.08
ache,2.49
achievable,0.04
achieve,7.33
achievement,3.49
achiever,0.24
achiness,0.02
achy,0.45
acid,9.96
acidic,0.22
acidity,0.2
acidophilus,0.06
acidosis,0.16
acidulous,#N/A
acknowledge,6.14
acknowledgement,0.41
acme,1.25
acne,0.9
acolyte,0.14
aconitum,0.08
acorn,0.73
acoustic,0.96
acoustical,0.12
acoustics,0.43
acquaintance,5.35
acquaintanceship,0.08
acquiesce,0.06
acquiescence,0.1
acquiescent,0.02
acquire,2.65
acquirer,0.02
acquisition,1.45
acquisitive,0.06
acquisitiveness,0.02
acquit,0.47
acquittal,0.73
acre,1.82
acreage,0.43
acrid,0.04
acrimonious,0.14
acrimony,0.22
acrobat,0.59
acrobatic,0.24
acrobatics,0.22
acronym,0.29
acrophobia,0.2
acropolis,0.12
across,94.14
acrostic,#N/A
acrylic,0.45
act,109.12
actinic,0.02
actinium,#N/A
action,61.08
actionable,0.25
activate,4.67
activation,0.84
activator,0.08
active,11.45
activism,0.18
activist,0.98
activity,12.88
actor,26.33
actress,16.02
actual,17.33
actuality,0.47
actualization,0.06
actualize,0.04
actually,322.33
actuarial,0.18
actuary,0.14
actuation,0.02
actuator,0.04
acuity,0.27
acumen,0.14
acupressure,0.12
acupuncture,0.73
acupuncturist,0.18
acute,2.94
acuteness,0.02
acyclovir,0.02
ad,13.61
adage,0.63
adagio,0.24
adamant,0.98
adamantine,0.02
adapt,2.63
adaptability,0.14
adaptable,0.33
adaptation,1.59
adapter,0.22
adaption,0.02
adaptive,0.22
adaptor,0.08
add,33.06
addendum,0.29
adder,1.43
addict,5.35
addiction,3.9
addictive,1.12
addictiveness,0.04
addition,7.75
additional,5.88
additive,0.22
addle,0.16
addled,0.22
address,52.27
addressee,0.12
adduce,0.02
adductor,0.02
adenoidal,0.02
adenoma,0.02
adenosine,0.12
adept,0.65
adeptness,0.02
adequacy,0.02
adequate,2.59
adhere,0.57
adherence,0.18
adherent,0.06
adhesion,0.12
adhesive,0.92
adiabatic,0.02
adipose,0.08
adiposity,0.02
adjacent,1.33
adjective,0.49
adjoining,1.12
adjourn,1.29
adjournment,0.22
adjudge,0.02
adjudicate,0.1
adjudication,0.18
adjudicator,0.08
adjunct,0.14
adjuration,#N/A
adjure,0.02
adjust,5.63
adjustability,0.02
adjustable,0.31
adjuster,0.39
adjustment,3.1
adjustor,0.08
adjutant,0.88
adjuvant,0.02
admin,0.43
administer,1.67
administrate,0.04
administration,7.59
administrative,1.61
administrator,1.65
admirable,2.61
admiral,16.57
admiralty,0.67
admiration,2.1
admire,14.16
admirer,2.96
admissibility,0.08
admissible,0.73
admission,3.55
admit,59.2
admittance,0.67
admixture,0.02
admonish,0.08
admonition,0.1
ado,1.51
adobe,0.47
adolescence,0.86
adolescent,1.84
adopt,4.67
adoptable,0.02
adopter,0.02
adoption,4.69
adoptive,0.59
adorability,0.02
adorable,10.53
adorableness,0.02
adoration,0.59
adore,7.73
adoring,0.69
adorn,0.16
adornment,0.08
adrenal,0.31
adrenalin,0.55
adrenaline,3.29
adrift,1
adroit,0.12
adroitness,0.02
adulation,0.27
adult,14.29
adulterant,0.02
adulterate,0.02
adulterer,0.39
adulteress,0.25
adulterous,0.33
adultery,1.94
adulthood,0.73
adumbration,#N/A
advance,15.98
advanced,8.84
advancement,1.24
advantage,22.06
advantageous,0.39
advent,0.47
adventure,13.43
adventurer,0.73
adventuresome,0.06
adventuress,0.22
adventurist,0.02
adventurous,1.22
adventurousness,0.02
adverb,0.2
adverbial,0.06
adversarial,0.24
adversary,1.51
adverse,0.71
adversity,1.06
advert,0.25
advertise,1.65
advertisement,1.2
advertiser,0.16
advertising,7.43
advice,47.98
advisable,0.78
advise,12.2
advisee,0.25
advisement,0.76
adviser,1.04
advisor,4.41
advisory,1
advocacy,0.29
advocate,2.22
aegis,0.1
aerate,0.02
aeration,0.02
aerial,2.53
aerialist,0.02
aerie,0.02
aero,0.1
aerobatics,0.02
aerobic,0.18
aerobics,1.55
aerodynamic,0.43
aerodynamics,0.31
aeronaut,#N/A
aeronautical,0.24
aeronautics,0.18
aerosol,0.27
