hyena,hiena
lovebird
germanshepherd,germansheperd
bluerussian
persian
humunukuapuaa
pufferfish
hippopotamus,hippo
pheasant,feasent
quail,quaill
leopard,leaopard
zebra,sebra
hyena,hiene
hippo,hippopotamus
sunconure
horse,hors
chicken,chiken
polarbear,polar
goose,geese
bee,bees
beetle,beatles
frog,frogs
wolf,wolves
guineapig,guineapigs
falcon,falcom
sloth
cheetah,cheeta
slowloris
llama,lama
redpanda
panda
hamster,hampster
weasel,weasle
piranha,pirrana
praying mantis,mantis
cranefly
snail,snale
gerbil,gerbal
giraffe,garrafe
leopard,lepard
gorilla,gorrila
seacow
blackheadedgull
raptor
woolly mammoth,woolymamoth
beluga,beluga whale
beluga,baloogawhale
piranha,piranna
flyingsquirrel,flyingsquirel
opossum
baldeagle
killerwhale
wildebeest,wildebeast
koala,koalabear
panda,pandabear
grizzly bear,grizleybear
raccoon,racoon
elephant,elephants
buffalo,bufflalo
cat,cats
dog,dogs
bat,bats
mouse,mice
armadillo,armadillos
skunk,skunks
kangaroo,kangaroos
panda,pandas
alligator,alligators
lion,lions
tiger,tigers
bear,bears
hawk,hawks
penguin,penguins
pig,pigs
chicken,chickens
giraffe,giraffes
horse,horses
snake,snakes
gerbil,gerbils
eagle,eagles
coyote,coyotes
polarbear,polarbears
flamingo,flamingos
duck,ducks
walrus,walruses
alligator,aligators
rabbit,rabbits
possum,possums
catamount
beagle
wolfhound
boxturtle
snappingturtle
seaturtle
skate
cod
alligator,aligator
dolphin,doplhin
orca,orka
lizard,lizzard
hippopotamus,hipopotamus
woollymammoth,mamoth
shark,sharks
mink,minx
gilamonster
dungbeetle
bumblebee
muskdeer
thornydevil
tapir
civet
basilisk
argali
squirrel,squirell
crab,crabs
grasshopper,grasshoppers
cricket,crickets
koala,kolabear
leopard,lepoard
octopus,octopuss
crab,cracb
prairiedog,prairiedogs
koala,kaola
rhinoceros,rhinocerous
rhinoceros,rhino
bluejacket
goldeneagle
weasel,weesle
deer,derr
dolphin,dolphins
abex
