alligator,aligator
alligator,aligators
alligator,alligators
armadillo,armadillos
beluga,baloogawhale
bat,bats
bear,bears
beetle,beatles
bee,bees
beluga,beluga whale
buffalo,bufflalo
cat,cats
cheetah,cheeta
chicken,chickens
chicken,chiken
coyote,coyotes
crab,crabs
crab,cracb
cricket,crickets
deer,derr
dog,dogs
dolphin,dolphins
dolphin,doplhin
duck,ducks
eagle,eagles
elephant,elephants
falcon,falcom
pheasant,feasent
flamingo,flamingos
flyingsquirrel,flyingsquirel
frog,frogs
giraffe,garrafe
goose,geese
gerbil,gerbal
gerbil,gerbils
germanshepherd,germansheperd
giraffe,giraffes
gorilla,gorrila
grasshopper,grasshoppers
grizzly bear,grizleybear
guineapig,guineapigs
hamster,hampster
hawk,hawks
hyena,hiena
hyena,hiene
hippopotamus,hipopotamus
hippopotamus,hippo
horse,hors
horse,horses
kangaroo,kangaroos
koala,kaola
koala,koalabear
koala,kolabear
llama,lama
leopard,leaopard
leopard,lepard
leopard,lepoard
lion,lions
lizard,lizzard
woollymammoth,mamoth
praying mantis,mantis
mouse,mice
mink,minx
octopus,octopuss
orca,orka
panda,pandabear
panda,pandas
penguin,penguins
pig,pigs
piranha,piranna
piranha,pirrana
polarbear,polar
polarbear,polarbears
possum,possums
prairiedog,prairiedogs
quail,quaill
rabbit,rabbits
raccoon,racoon
rhinoceros,rhino
rhinoceros,rhinocerous
zebra,sebra
shark,sharks
skunk,skunks
snake,snakes
snail,snale
squirrel,squirell
tiger,tigers
walrus,walruses
weasel,weasle
weasel,weesle
wildebeest,wildebeast
wolf,wolves
woolly mammoth,woolymamoth
abex,ibex
russianblue,bluerussian
humunukuapua,humunukuapuaa
