subj,node1,node2,u-invite,rw
S1,rat,elephant,1,1
S1,bat,hyena,1,1
S1,human,bat,1,1
S1,hippo,whale,1,1
S1,panda,wasp,1,1
S1,crocodile,eagle,1,1
S1,cat,dolphin,1,1
S1,human,groundhog,1,1
S1,squid,leopard,1,1
S1,squid,dolphin,1,1
S1,eagle,dolphin,1,1
S1,anteater,elephant,1,1
S1,eagle,dog,1,1
S1,wolf,ray,1,1
S1,marmoset,bird,1,1
S1,dog,hyena,1,1
S1,mountainlion,capybaira,1,1
S1,bat,dolphin,1,1
S1,panda,eagle,1,1
S1,bird,duck,1,1
S1,tiger,leopard,1,1
S1,bat,whale,1,1
S1,mountainlion,bee,1,1
S1,octopus,squid,1,1
S1,fox,butterfly,1,1
S1,bat,squid,1,1
S1,fish,platypus,1,1
S1,mountainlion,lion,1,1
S1,elephant,butterfly,1,1
S1,tiger,whale,1,1
S1,goldfish,elephant,1,1
S1,bee,wasp,1,1
S1,spider,horse,1,1
S1,bear,wasp,1,1
S1,bird,cat,1,1
S1,cat,ant,1,1
S1,ant,anteater,1,1
S1,lion,leopard,1,1
S1,chimpanzee,gorilla,1,1
S1,spider,beetle,1,1
S1,mouse,hyena,1,1
S1,squid,whale,1,1
S1,elephant,jellyfish,1,1
S1,lion,tiger,1,1
S1,canary,eagle,1,1
S1,canary,cat,1,1
S1,elephant,whale,1,1
S1,giraffe,sheep,1,1
S1,kangaroo,koala,1,1
S1,tiger,rat,1,1
S1,bear,scorpion,1,1
S1,human,cheetah,1,1
S1,puma,rhino,1,1
S1,gazelle,deer,1,1
S1,parrot,eagle,1,1
S1,beetle,ladybug,1,1
S1,bat,wolf,1,1
S1,lobster,scorpion,1,1
S1,snake,mountainlion,1,1
S1,ray,jellyfish,1,1
S1,fish,eagle,1,1
S1,wasp,rat,1,1
S1,capibaira,elephant,1,1
S1,human,ape,1,1
S1,gazelle,elephant,1,1
S1,tiger,deer,1,1
S1,bird,octopus,1,1
S1,snake,anteater,1,1
S1,spider,bee,1,1
S1,zebra,horse,1,1
S1,bear,deer,1,1
S1,wasp,squid,1,1
S1,parrot,baby,1,1
S1,bat,bee,1,1
S1,octopus,whale,1,1
S1,spider,butterfly,1,1
S1,spider,dolphin,1,1
S1,wolf,dog,1,1
S1,lion,butterfly,1,1
S1,rat,platypus,1,1
S1,marmoset,ray,1,1
S1,zebra,orangutan,1,1
S1,scorpion,mouse,1,1
S1,human,giraffe,1,1
S1,fish,whale,1,1
S1,duck,dog,1,1
S1,octopus,platypus,1,1
S1,fish,mouse,1,1
S1,canary,panda,1,1
S1,marmoset,gorilla,1,1
S1,ferret,fly,1,1
S1,squid,squirrel,1,1
S1,dinosaur,jellyfish,1,1
S1,orangutan,chipmunk,1,1
S1,duck,rat,1,1
S1,duck,dolphin,1,1
S1,pirana,opossum,1,1
S1,rat,anteater,1,1
S1,rhino,boar,1,1
S1,goldfish,mouse,1,1
S1,human,marmoset,1,1
S1,ant,mouse,1,1
S1,koala,jellyfish,1,1
S1,panda,fox,1,1
S1,chipmunk,rat,1,1
S1,snake,rat,1,1
S1,meerkat,boar,1,1
S1,octopus,opossum,1,1
S1,dolphin,dog,1,1
S1,monkey,chipmunk,1,1
S1,panda,pig,1,1
S1,hippo,deer,1,1
S1,dolphin,elephant,1,1
S1,orangutan,chimpanzee,1,1
S1,kangaroo,ostrich,1,1
S1,giraffe,bee,1,1
S1,giraffe,fly,1,1
S1,snake,crocodile,1,1
S1,squirrel,elephant,1,1
S1,hippo,hyena,1,1
S1,squid,tiger,1,1
S1,horse,hyena,1,1
S1,opossum,rat,1,1
S1,puma,cheetah,1,1
S1,puma,leopard,1,1
S1,rat,mouse,1,1
S1,orangutan,gorilla,1,1
S1,anteater,whale,1,1
S1,dolphin,koala,1,1
S1,lion,hyena,1,1
S1,pirana,rhino,1,1
S1,gazelle,groundhog,1,1
S1,eagle,squid,1,1
S1,ape,ladybug,1,1
S1,fox,wolf,1,1
S1,marmoset,monkey,1,1
S1,lobster,crab,1,1
S1,meerkat,chimpanzee,1,1
S1,giraffe,tiger,1,1
S1,leopard,whale,1,1
S1,rhino,hippo,1,1
S1,squirrel,chimpanzee,1,1
S1,canary,bat,1,1
S1,zebra,dog,1,1
S1,rhino,whale,1,1
S1,kangaroo,ray,1,1
S1,squirrel,chipmunk,1,1
S1,giraffe,hyena,1,1
S1,dolphin,whale,1,1
S1,dinosaur,dolphin,1,1
S1,octopus,wasp,1,1
S1,flamingo,scorpion,1,1
S1,dog,gorilla,1,1
S1,cat,dog,1,1
S1,squirrel,whale,1,1
S1,chimpanzee,butterfly,1,1
S1,panda,koala,1,1
S1,puma,tiger,1,1
S1,snake,dinosaur,1,1
S1,human,chimpanzee,1,1
S1,giraffe,rhino,1,1
S1,squirrel,gorilla,1,1
S1,bird,platypus,1,1
S1,ferret,dolphin,1,1
S1,flamingo,ostrich,1,1
S1,zebra,cat,1,1
S1,wolf,cheetah,1,1
S1,lion,cheetah,1,1
S1,opossum,tiger,1,1
S1,spider,cheetah,1,1
S1,opossum,lice,1,1
S1,chimpanzee,baby,1,1
S1,rat,whale,1,1
S1,tiger,butterfly,1,1
S1,leopard,dog,1,1
S1,rhino,rat,1,1
S1,human,squid,1,1
S1,giraffe,elephant,1,1
S1,panda,dolphin,1,1
S1,rhino,pig,1,1
S1,rhino,sheep,1,1
S1,tiger,elephant,1,1
S1,fish,cat,1,1
S1,lion,cat,1,1
S1,lion,panda,1,1
S1,duck,platypus,1,1
S1,zebra,gazelle,1,1
S1,lion,squid,1,1
S1,snake,capibaira,1,1
S1,mountainlion,koala,1,0
S1,spider,groundhog,1,0
S1,lion,boar,1,0
S1,spider,ray,1,0
S1,ostrich,duck,1,0
S1,rhino,lice,1,0
S1,lion,lice,1,0
S1,ferret,cat,1,0
S1,beetle,ray,1,0
S1,pirana,eagle,1,0
S1,baby,dolphin,1,0
S1,lice,groundhog,1,0
S1,marmoset,lice,1,0
S1,ferret,ant,1,0
S1,fly,ant,1,0
S1,cat,pig,1,0
S1,bee,sheep,1,0
S1,scorpion,boar,1,0
S1,flamingo,fox,1,0
S1,lice,leopard,0,1
S1,capybaira,koala,0,1
S10,peacock,zebra,1,1
S10,coyote,jaguar,1,1
S10,chicken,kiwi,1,1
S10,maggot,worm,1,1
S10,katydid,giraffe,1,1
S10,manatee,whale,1,1
S10,cow,ox,1,1
S10,crow,hummingbird,1,1
S10,toucan,cat,1,1
S10,chicken,fox,1,1
S10,chicken,rooster,1,1
S10,turtle,crab,1,1
S10,monkey,elephant,1,1
S10,worm,buffalo,1,1
S10,raven,crow,1,1
S10,slug,meerkat,1,1
S10,otter,ant,1,1
S10,orangutan,monkey,1,1
S10,toucan,blue-footedbooby,1,1
S10,llama,alpaca,1,1
S10,sealion,buffalo,1,1
S10,roadrunner,coyote,1,1
S10,turtle,pony,1,1
S10,racoon,moth,1,1
S10,crow,cow,1,1
S10,racoon,giraffe,1,1
S10,baboon,coyote,1,1
S10,crab,plankton,1,1
S10,manatee,monkey,1,1
S10,bear,giraffe,1,1
S10,spider,pig,1,1
S10,narwhale,turtle,1,1
