subj,node1,node2,u-invite,rw
S99,goldenretriever,yorkie,1,1
S99,rat,vole,1,1
S99,woodpecker,eagle,1,1
S99,lemur,gorilla,1,1
S99,panda,kangaroo,1,1
S99,bluefootedbooby,puffin,1,1
S99,bear,alligator,1,1
S99,greathornedowl,elfowl,1,1
S99,eagle,squid,1,1
S99,snail,slug,1,1
S99,slug,meerkat,1,1
S99,tiger,meerkat,1,1
S99,dinosaur,fly,1,1
S99,stork,alligator,1,1
S99,platypus,otter,1,1
S99,bird,duck,1,1
S99,squirrel,hamster,1,1
S99,goat,ewe,1,1
S99,bloodhound,siberianhusky,1,1
S99,ostrich,emu,1,1
S99,possum,squirrel,1,1
S99,hog,warthog,1,1
S99,daddylonglegs,wolfspider,1,1
S99,goat,bat,1,1
S99,cheetah,lemur,1,1
S99,greatape,orangutan,1,1
S99,dinosaur,betafish,1,1
S99,fireant,caterpillar,1,1
S99,baboon,ape,1,1
S99,robin,bluejay,1,1
S99,snake,mountainlion,1,1
S99,rhinoceros,sheep,1,1
S99,cougar,toucan,1,1
S99,human,ape,1,1
S99,rat,guineapig,1,1
S99,beatle,roach,1,1
S99,lamb,cow,1,1
S99,cat,toucan,1,1
S99,guineapig,bat,1,1
S99,koalabear,frog,1,1
S99,ostrich,otter,1,1
S99,octopu,crab,1,1
S99,snake,squirrel,1,1
S99,octopu,squirrel,1,1
S99,monkey,orangutan,1,1
S99,horse,bear,1,1
S99,tibetanterrier,yorkie,1,1
S99,snake,dog,1,1
S99,albatross,tuna,1,1
S99,robin,caterpillar,1,1
S99,seal,walrus,1,1
S99,monkey,gorilla,1,1
S99,goose,moose,1,1
S99,komododragon,jellyfish,1,1
S99,canary,pigeon,1,1
S99,wildebeest,crocodile,1,1
S99,rabbit,groundhog,1,1
S99,emu,hummingbird,1,1
S99,scorpion,fox,1,1
S99,giraffe,squid,1,1
S99,eagle,vulture,1,1
S99,bluejay,crown,1,1
S99,labradoodle,labrador,1,1
S99,rabbit,mouse,1,1
S99,snake,rattlesnake,1,1
S99,leopard,whale,1,1
S99,squid,whale,1,1
S99,sealion,mouse,1,1
S99,fox,penguin,1,1
S99,reindeer,hummingbird,1,1
S99,hawk,hippopotamus,1,1
S99,peacock,kiwi,1,1
S99,germanshepherd,swissmountaindog,1,1
S99,parrot,jay,1,1
S99,parrot,bird,1,1
S99,elk,finch,1,1
S99,owl,toucan,1,1
S99,humpbackwhale,squid,1,1
S99,stingray,deer,1,1
S99,cow,moose,1,1
S99,dolphin,hamster,1,1
S99,pony,horse,1,1
