a,b,c,AB,AC,BC,probAB,probAC,probBC
haan,hond,vlo,23,5,38,0.348484848,0.075757576,0.575757576
duif,sardine,vlinder,2,61,3,0.03030303,0.924242424,0.045454545
cement,oprit,riool,49,13,4,0.742424242,0.196969697,0.060606061
bioscoop,camera,damp,62,1,3,0.939393939,0.015151515,0.045454545
krokodil,nijlpaard,sprinkhaan,62,1,3,0.939393939,0.015151515,0.045454545
bijl,spijker,taxi,59,4,3,0.893939394,0.060606061,0.045454545
beitel,knuppel,sjaal,62,0,4,0.939393939,0,0.060606061
datum,gif,lek,4,7,55,0.060606061,0.106060606,0.833333333
ansjovis,konijn,pad,10,26,30,0.151515152,0.393939394,0.454545455
adem,gezin,hotel,17,2,47,0.257575758,0.03030303,0.712121212
bloes,handdoek,zeppelin,55,2,9,0.833333333,0.03030303,0.136363636
herrie,stoet,zwam,59,2,5,0.893939394,0.03030303,0.075757576
dinosaurus,kangoeroe,meeuw,27,6,33,0.409090909,0.090909091,0.5
gorilla,riet,rover,14,27,25,0.212121212,0.409090909,0.378787879
agent,mouw,prins,16,38,12,0.242424242,0.575757576,0.181818182
doos,schat,sleutel,11,6,49,0.166666667,0.090909091,0.742424242
hert,pauw,zalm,51,8,7,0.772727273,0.121212121,0.106060606
alligator,kanarie,walvis,5,59,2,0.075757576,0.893939394,0.03030303
kalkoen,mot,varken,8,53,5,0.121212121,0.803030303,0.075757576
jeep,kanon,trui,46,16,4,0.696969697,0.242424242,b
eend,kikker,paling,36,9,21,0.545454545,0.136363636,0.318181818
gier,tijger,wesp,36,24,6,0.545454545,0.363636364,0.090909091
boot,granaat,schort,45,16,5,0.681818182,0.242424242,0.075757576
kat,mug,valk,9,31,26,0.136363636,0.46969697,0.393939394
eekhoorn,haring,worm,8,23,35,0.121212121,0.348484848,0.53030303
lezer,priester,wijk,45,2,19,0.681818182,0.03030303,0.287878788
hemd,raket,tank,6,5,55,0.090909091,0.075757576,0.833333333
beker,hagel,juf,22,43,1,0.333333333,0.651515152,0.015151515
panfluit,rasp,stok,11,39,16,0.166666667,0.590909091,0.242424242
leerling,maat,nest,49,11,6,0.742424242,0.166666667,0.090909091
haai,kakkerlak,olifant,7,47,12,0.106060606,0.712121212,0.181818182
hagedis,hommel,merel,6,16,44,0.090909091,0.242424242,0.666666667
dolfijn,pissebed,salamander,3,27,36,0.045454545,0.409090909,0.545454545
douche,luier,tekening,44,7,15,0.666666667,0.106060606,0.227272727
auto,oven,tang,9,33,24,0.136363636,0.5,0.363636364
boerin,duin,gebit,16,48,2,0.242424242,0.727272727,0.03030303
giraf,kameleon,mier,44,2,20,0.666666667,0.03030303,0.303030303
kruiwagen,step,trommel,53,5,8,0.803030303,0.075757576,0.121212121
arend,luis,pladijs,17,39,10,0.257575758,0.590909091,0.151515152
karper,pelikaan,spin,41,8,17,0.621212121,0.121212121,0.257575758
kolom,ober,zuur,12,9,45,0.181818182,0.136363636,0.681818182
kabeljauw,pinguïn,vleermuis,40,9,17,0.606060606,0.136363636,0.257575758
koe,rog,rups,17,27,22,0.257575758,0.409090909,0.333333333
balkon,blok,klauw,55,3,8,0.833333333,0.045454545,0.121212121
kever,kip,leguaan,23,21,22,0.348484848,0.318181818,0.333333333
diarree,jurk,soep,1,56,9,0.015151515,0.848484848,0.136363636
drumstel,koets,vork,11,46,9,0.166666667,0.696969697,0.136363636
kar,pistool,schaar,6,9,51,0.090909091,0.136363636,0.772727273
inktvis,krekel,zwaan,6,40,20,0.090909091,0.606060606,0.303030303
goudvis,libel,paard,50,7,9,0.757575758,0.106060606,0.136363636
horloge,koningin,vierkant,28,26,12,0.424242424,0.393939394,0.181818182
boa,snoek,vlieg,30,11,25,0.454545455,0.166666667,0.378787879
klarinet,topje,zaag,15,42,9,0.227272727,0.636363636,0.136363636
aap,forel,mus,9,38,19,0.136363636,0.575757576,0.287878788
panter,spaak,tube,10,6,50,0.151515152,0.090909091,0.757575758
bromfiets,slip,trompet,16,38,12,0.242424242,0.575757576,0.181818182
geweer,ketel,kostuum,30,31,5,0.454545455,0.46969697,0.075757576
egel,potvis,slang,8,30,28,0.121212121,0.454545455,0.424242424
banjo,dolk,kom,16,24,26,0.242424242,0.363636364,0.393939394
boel,gebed,gek,8,41,17,0.121212121,0.621212121,0.257575758
doorn,parel,pleister,10,51,5,0.151515152,0.772727273,0.075757576
akker,deeg,knuffel,41,2,23,0.621212121,0.03030303,0.348484848
banaan,fee,onweer,20,9,37,0.303030303,0.136363636,0.560606061
bokaal,korrel,magneet,34,11,21,0.515151515,0.166666667,0.318181818
haat,ochtend,toets,27,25,14,0.409090909,0.378787879,0.212121212
doedelzak,schop,theelepel,16,10,40,0.242424242,0.151515152,0.606060606
kleed,ploeg,zeef,23,4,39,0.348484848,0.060606061,0.590909091
pan,tamboerijn,tram,45,5,16,0.681818182,0.075757576,0.242424242
boog,caravan,cello,15,45,6,0.227272727,0.681818182,0.090909091
bever,ooievaar,zwaardvis,28,19,19,0.424242424,0.287878788,0.287878788
fles,jeans,tractor,26,19,21,0.393939394,0.287878788,0.318181818
klopper,touw,trein,28,11,27,0.424242424,0.166666667,0.409090909
diefstal,som,vouw,35,11,20,0.53030303,0.166666667,0.303030303
mixer,pyjama,vliegtuig,18,25,23,0.272727273,0.378787879,0.348484848
sweater,vijl,weegschaal,7,20,39,0.106060606,0.303030303,0.590909091
accordeon,katapult,rok,35,24,7,0.53030303,0.363636364,0.106060606
hamster,papegaai,schildpad,22,27,17,0.333333333,0.409090909,0.257575758
hyena,radijs,salto,15,41,10,0.227272727,0.621212121,0.151515152
piano,riem,slede,14,22,30,0.212121212,0.333333333,0.454545455
