a,b,c,ab,ac,bc
clown,finger,rabbit,15,21,4
carpenter,glue,stool,21,17,2
fish,gold,kiss,22,4,14
flower,plate,television,8,4,28
cloud,surgeon,tennis,4,14,22
jury,magic,race,6,24,10
crystal,powder,steam,23,5,12
cell,lock,roof,28,6,6
costume,guitar,tooth,26,8,6
beer,kitchen,wine,1,35,4
buggy,dew,kangaroo,4,19,17
drum,pint,sketch,18,15,7
fist,luggage,novel,3,8,29
material,pound,violence,14,0,26
monkey,princess,stone,24,5,11
cradle,kite,snail,24,9,7
bone,tongue,wood,27,13,0
cage,thumb,wolf,2,36,2
fence,mask,salt,32,2,6
bride,ear,navy,16,20,4
color,farm,pot,3,11,26
antique,liquid,mold,0,18,22
level,staff,taste,29,8,3
blood,child,water,6,28,6
coat,pants,tea,38,2,0
castle,engine,forest,3,35,2
coal,dish,ink,3,28,9
bus,chicken,meat,1,0,39
building,foot,table,1,29,10
duck,perfume,salad,3,32,5
advice,loss,unit,28,2,10
arm,bag,nose,8,31,1
branch,rocket,sheet,14,17,9
linen,trout,wheat,1,7,32
frog,lamp,mud,4,35,1
carpet,neighbor,traffic,13,3,24
hill,knight,turkey,28,8,4
city,heart,office,6,34,0
breakfast,camp,soldier,5,1,34
injury,labor,solo,30,2,8
ice,moon,sea,3,25,12
flight,marriage,wind,6,33,1
chair,path,village,2,0,38
glass,tree,wall,4,29,7
article,rage,spy,12,17,11
bucket,coin,rice,14,18,8
boss,step,team,0,37,3
balloon,lemon,whale,21,12,7
cork,meadow,pear,4,8,28
fear,guest,price,11,17,12
cloth,nun,shelf,23,17,0
bed,doctor,school,24,8,8
north,public,south,0,39,1
gang,stomach,wave,9,12,19
beach,cheese,rain,2,36,2
aunt,bridge,grave,1,21,18
oven,scissors,vase,9,16,15
body,captain,face,0,38,2
charm,loan,tap,16,12,12
essay,label,slice,35,0,5
actor,center,dust,31,5,4
damage,hole,machine,19,17,4
device,flow,model,7,22,11
meal,oil,student,21,18,1
fruit,hook,wound,4,2,34
ball,cat,eye,8,21,11
core,debate,praise,10,2,28
flame,pencil,sausage,3,28,9
boat,group,plane,5,33,2
book,hand,phone,6,23,11
band,ground,map,1,1,38
ace,chaos,height,11,17,12
bass,glow,twist,12,13,15
country,murder,news,1,6,33
muscle,nail,palm,3,19,18
mile,network,tax,16,1,23
circus,grass,hut,6,8,26
church,milk,river,4,16,20
bank,neck,skin,1,0,39
belt,pen,shoe,2,37,1
farmer,knee,soap,18,10,12
bacon,deer,pepper,14,24,2
coffee,dog,street,3,12,25
concrete,inn,servant,7,2,31
border,deck,shadow,14,21,5
pig,sand,winter,16,7,17
bird,garage,ocean,3,33,4
failure,habit,stock,20,13,7
birth,edge,fortune,2,32,6
blanket,cattle,goat,2,0,38
bathroom,paper,ring,20,5,15
joke,law,mission,5,3,32
cow,flag,tower,0,2,38
area,month,voice,24,13,3
army,letter,uncle,21,15,4
dream,game,master,13,3,24
courage,freedom,member,34,2,4
door,family,police,7,10,23
crisis,local,object,25,8,7
closet,museum,shoulder,34,5,1
