method,simnum,ssnum,hit,miss,falsealarms,correctrejections,cost,startseed
naiveRandomWalk,0,1,20,373,9,12318,382.0,0
conceptualNetwork,0,1,0,393,0,12327,393.0,0
pathfinder,0,1,20,373,9,12318,382.0,0
correlationBasedNetwork,0,1,0,393,0,12327,393.0,0
uinvite,0,1,20,373,9,12318,382.0,0
naiveRandomWalk,0,2,39,354,18,12309,372.0,0
conceptualNetwork,0,2,1,392,0,12327,392.0,0
pathfinder,0,2,37,356,17,12310,373.0,0
correlationBasedNetwork,0,2,14,379,124,12203,503.0,0
uinvite,0,2,39,354,18,12309,372.0,0
naiveRandomWalk,0,3,57,336,24,12303,360.0,0
conceptualNetwork,0,3,7,386,3,12324,389.0,0
pathfinder,0,3,51,342,21,12306,363.0,0
correlationBasedNetwork,0,3,28,365,176,12151,541.0,0
uinvite,0,3,57,336,24,12303,360.0,0
naiveRandomWalk,0,4,75,318,33,12294,351.0,0
conceptualNetwork,0,4,14,379,5,12322,384.0,0
pathfinder,0,4,66,327,29,12298,356.0,0
correlationBasedNetwork,0,4,33,360,201,12126,561.0,0
uinvite,0,4,73,320,32,12295,352.0,0
naiveRandomWalk,0,5,93,300,39,12288,339.0,0
conceptualNetwork,0,5,24,369,7,12320,376.0,0
pathfinder,0,5,75,318,32,12295,350.0,0
correlationBasedNetwork,0,5,25,368,251,12076,619.0,0
uinvite,0,5,88,305,33,12294,338.0,0
naiveRandomWalk,0,6,109,284,50,12277,334.0,0
conceptualNetwork,0,6,30,363,8,12319,371.0,0
pathfinder,0,6,86,307,42,12285,349.0,0
correlationBasedNetwork,0,6,27,366,291,12036,657.0,0
uinvite,0,6,104,289,43,12284,332.0,0
naiveRandomWalk,0,7,124,269,57,12270,326.0,0
conceptualNetwork,0,7,40,353,11,12316,364.0,0
pathfinder,0,7,92,301,48,12279,349.0,0
correlationBasedNetwork,0,7,21,372,306,12021,678.0,0
uinvite,0,7,118,275,53,12274,328.0,0
naiveRandomWalk,0,8,139,254,67,12260,321.0,0
conceptualNetwork,0,8,42,351,12,12315,363.0,0
pathfinder,0,8,95,298,54,12273,352.0,0
correlationBasedNetwork,0,8,25,368,329,11998,697.0,0
uinvite,0,8,133,260,63,12264,323.0,0
naiveRandomWalk,0,9,153,240,73,12254,313.0,0
conceptualNetwork,0,9,51,342,15,12312,357.0,0
pathfinder,0,9,102,291,56,12271,347.0,0
correlationBasedNetwork,0,9,31,362,341,11986,703.0,0
uinvite,0,9,147,246,69,12258,315.0,0
naiveRandomWalk,0,10,170,223,78,12249,301.0,0
conceptualNetwork,0,10,58,335,16,12311,351.0,0
pathfinder,0,10,109,284,56,12271,340.0,0
correlationBasedNetwork,0,10,29,364,352,11975,716.0,0
uinvite,0,10,165,228,72,12255,300.0,0
naiveRandomWalk,0,11,184,209,88,12239,297.0,0
conceptualNetwork,0,11,67,326,17,12310,343.0,0
pathfinder,0,11,112,281,61,12266,342.0,0
correlationBasedNetwork,0,11,37,356,365,11962,721.0,0
uinvite,0,11,177,216,83,12244,299.0,0
naiveRandomWalk,0,12,193,200,99,12228,299.0,0
conceptualNetwork,0,12,76,317,19,12308,336.0,0
pathfinder,0,12,115,278,66,12261,344.0,0
correlationBasedNetwork,0,12,38,355,376,11951,731.0,0
uinvite,0,12,187,206,93,12234,299.0,0
naiveRandomWalk,0,13,205,188,102,12225,290.0,0
conceptualNetwork,0,13,90,303,20,12307,323.0,0
pathfinder,0,13,120,273,63,12264,336.0,0
correlationBasedNetwork,0,13,42,351,375,11952,726.0,0
uinvite,0,13,199,194,94,12233,288.0,0
naiveRandomWalk,0,14,211,182,109,12218,291.0,0
conceptualNetwork,0,14,100,293,26,12301,319.0,0
pathfinder,0,14,122,271,62,12265,333.0,0
correlationBasedNetwork,0,14,41,352,376,11951,728.0,0
uinvite,0,14,207,186,96,12231,282.0,0
naiveRandomWalk,0,15,221,172,116,12211,288.0,0
conceptualNetwork,0,15,108,285,31,12296,316.0,0
pathfinder,0,15,124,269,57,12270,326.0,0
correlationBasedNetwork,0,15,36,357,381,11946,738.0,0
uinvite,0,15,217,176,98,12229,274.0,0
naiveRandomWalk,0,16,231,162,126,12201,288.0,0
conceptualNetwork,0,16,116,277,39,12288,316.0,0
pathfinder,0,16,127,266,53,12274,319.0,0
correlationBasedNetwork,0,16,41,352,376,11951,728.0,0
uinvite,0,16,224,169,107,12220,276.0,0
naiveRandomWalk,0,17,239,154,133,12194,287.0,0
conceptualNetwork,0,17,129,264,43,12284,307.0,0
pathfinder,0,17,129,264,57,12270,321.0,0
correlationBasedNetwork,0,17,48,345,384,11943,729.0,0
uinvite,0,17,229,164,111,12216,275.0,0
naiveRandomWalk,0,18,244,149,141,12186,290.0,0
conceptualNetwork,0,18,135,258,47,12280,305.0,0
pathfinder,0,18,126,267,63,12264,330.0,0
correlationBasedNetwork,0,18,54,339,384,11943,723.0,0
uinvite,0,18,233,160,115,12212,275.0,0
naiveRandomWalk,0,19,250,143,149,12178,292.0,0
conceptualNetwork,0,19,142,251,51,12276,302.0,0
pathfinder,0,19,126,267,54,12273,321.0,0
correlationBasedNetwork,0,19,62,331,376,11951,707.0,0
uinvite,0,19,239,154,121,12206,275.0,0
naiveRandomWalk,0,20,262,131,152,12175,283.0,0
