gender,gender-other,try?,understand?,feedback,id
F,,36,Y,Y," thank you, it was fun. Sorry if i misspelled words, i was trying to add as much as i could so i was going fast.",S101
F,,42,Y,Y," ",S102
F,,23,Y,Y," ",S103
M,,31,Y,Y," ",S104
F,,33,Y,Y," ",S105
M,,33,Y,Y," Sometimes I began to second guess myself as far as if I had already named a specific item or not, so I think a few times I may not have put an item down because I thought I may have already said it in the same trial. That\'s really all I have to add though, everything else was perfectly straight forward. ",S106
M,,47,Y,Y," ",S107
F,,35,Y,Y,,S108
M,,27,Y,Y," In the beginning i may have typed some fruits instead of vegetables. sorry about that.",S109
M,,23,Y,Y," Raise the pay.",S110
F,,28,Y,Y," ",S111
M,,22,Y,Y," ",S112
F,,27,Y,Y," ",S113
F,,43,Y,Y," ",S114
M,,24,Y,Y," Was very hard to think of more things after about ~1.5 minutes, leaving the rest of the time feeling empty and difficult. That was about it. ",S115
M,,27,Y,Y," ",S116
M,,28,Y,Y," ",S117
M,,29,Y,Y," ",S118
F,,49,Y,Y," ",S119
M,,28,Y,Y,"Would have been nice to see the items we listed; trying to keep track of the items we already entered so that we do not repeat them made the task quite difficult.",S120
