id,cond,game,category,item,firstkey,RT,RTstart,shortlist
S001,a,0,animals,horse,2192,3313,3313,0
S001,a,0,animals,dog,1000,1788,5101,0
S001,a,0,animals,cat,193,943,6044,0
S001,a,0,animals,bunny,171,799,6843,0
S001,a,0,animals,rabbit,243,1073,7916,0
S001,a,0,animals,hare,441,948,8864,0
S001,a,0,animals,chicken,472,1195,10059,0
S001,a,0,animals,swan,2141,3123,13182,0
S001,a,0,animals,duck,46,680,13862,0
S001,a,0,animals,swan,1491,2216,16078,0
S001,a,0,animals,shark,811,1537,17615,0
S001,a,0,animals,lion,250,880,18495,0
S001,a,0,animals,tiger,826,1352,19847,0
S001,a,0,animals,shark,8592,12158,32005,0
S001,a,0,animals,ray,1195,1633,33638,0
S001,a,0,animals,whale,789,1326,34964,0
S001,a,0,animals,dolphin,651,3090,38054,0
S001,a,0,animals,clownfish,2600,3798,41852,0
S001,a,0,animals,kangoroo,4797,5954,47806,0
S001,a,0,animals,panther,337,2347,50153,0
S001,a,0,animals,elephant,1211,2400,52553,0
S001,a,0,animals,gazelle,4680,6500,59053,0
S001,a,0,animals,chameleon,2103,4251,63304,0
S001,a,0,animals,spider,1597,2620,65924,0
S001,a,0,animals,moth,308,874,66798,0
S001,a,0,animals,bug,365,736,67534,0
S001,a,0,animals,mosquito,316,5962,73496,0
S001,a,0,animals,bee,2154,2540,76036,0
S001,a,0,animals,wasp,572,1878,77914,0
S001,a,0,animals,fly,872,1443,79357,0
S001,a,0,animals,butterfly,941,2452,81809,0
S001,a,0,animals,catterpillar,2622,5001,86810,0
S001,a,0,animals,bird,3138,3696,90506,0
S001,a,0,animals,phenoix,1354,3016,93522,0
S001,a,0,animals,dinosaur,2092,3263,96785,0
S001,a,0,animals,mammut,253,1387,98172,0
S001,a,0,animals,hummingbird,2186,3934,102106,0
S001,a,0,animals,pigeon,6067,7644,109750,0
S001,a,0,animals,eagle,1115,1838,111588,0
S001,a,1,supermarket items,salat,1684,4501,4501,0
S001,a,1,supermarket items,tomato,627,2134,6635,0
S001,a,1,supermarket items,cucmber,672,1936,8571,0
S001,a,1,supermarket items,toast,243,1112,9683,0
S001,a,1,supermarket items,sausage,1022,2073,11756,0
S001,a,1,supermarket items,salami,213,1178,12934,0
S001,a,1,supermarket items,prosciutto,292,2101,15035,0
S001,a,1,supermarket items,cheese,474,1398,16433,0
S001,a,1,supermarket items,gauda,184,1480,17913,0
S001,a,1,supermarket items,creamcheese,2172,4176,22089,0
S001,a,1,supermarket items,milk,239,1073,23162,0
S001,a,1,supermarket items,sourcream,281,2690,25852,0
S001,a,1,supermarket items,honey,1536,2419,28271,0
S001,a,1,supermarket items,tea,435,1016,29287,0
S001,a,1,supermarket items,coffee,475,1430,30717,0
S001,a,1,supermarket items,cocoa,488,1252,31969,0
S001,a,1,supermarket items,pasta,4281,5859,37828,0
S001,a,1,supermarket items,oil,381,2026,39854,0
S001,a,1,supermarket items,pesto,247,1343,41197,0
S001,a,1,supermarket items,chicken,123,1050,42247,0
S001,a,1,supermarket items,peas,1406,2485,44732,0
S001,a,1,supermarket items,mango,438,1193,45925,0
S001,a,1,supermarket items,rice,3302,3958,49883,0
S001,a,1,supermarket items,curry,306,1029,50912,0
S001,a,1,supermarket items,cinemon,237,1507,52419,0
S001,a,1,supermarket items,pepper,822,1517,53936,0
S001,a,1,supermarket items,slat,183,668,54604,0
S001,a,1,supermarket items,tabasco,4257,13861,68465,0
S001,a,1,supermarket items,ketchup,838,2413,70878,0
S001,a,1,supermarket items,mayonese,364,1989,72867,0
S001,a,1,supermarket items,mustard,831,1973,74840,0
S001,a,1,supermarket items,toiletpaper,804,2749,77589,0
S001,a,1,supermarket items,tissues,521,2254,79843,0
S001,a,1,supermarket items,kleenex,2312,3613,83456,0
S001,a,1,supermarket items,tampons,4546,5497,88953,0
S001,a,1,supermarket items,papercards,578,2194,91147,0
S001,a,1,supermarket items,overthecountermedicine,5434,10136,101283,0
S001,a,1,supermarket items,mascara,168,1998,103281,0
S001,a,1,supermarket items,nailpolish,391,2914,106195,0
S001,a,1,supermarket items,nailpolishremover,1223,4406,110601,0
S001,a,1,supermarket items,makeupremover,399,3598,114199,0
S001,a,1,supermarket items,concealer,1064,2561,116760,0
S001,a,2,animals,squirrel,3331,4602,4602,0
S001,a,2,animals,mouse,453,1040,5642,0
S001,a,2,animals,hamster,278,1903,7545,0
S001,a,2,animals,ant,3353,3717,11262,0
S001,a,2,animals,pig,4499,5698,16960,0
S001,a,2,animals,cow,250,935,17895,0
S001,a,2,animals,horse,996,1624,19519,0
S001,a,2,animals,bull,1568,2251,21770,0
S001,a,2,animals,donkey,2436,3284,25054,0
S001,a,2,animals,mouse,2287,2887,27941,0
S001,a,2,animals,rat,2867,3295,31236,0
S001,a,2,animals,polarbear,2250,3918,35154,0
S001,a,2,animals,grizzlybear,553,2924,38078,0
S001,a,2,animals,fox,715,1180,39258,0
S001,a,2,animals,brownbear,256,2053,41311,0
S001,a,2,animals,hyiene,1438,5272,46583,0
S001,a,2,animals,zebra,1549,2428,49011,0
S001,a,2,animals,antelope,2388,3488,52499,0
S001,a,2,animals,moonfish,6793,8545,61044,0
S001,a,2,animals,whaleshark,1861,5896,66940,0
S001,a,2,animals,turtle,277,1507,68447,0
S001,a,2,animals,algae,7647,8738,77185,0
S001,a,2,animals,jellyfish,1229,2604,79789,0
S001,a,2,animals,grasshopper,4519,8882,88671,0
S001,a,2,animals,blackwidow,851,2465,91136,0
S001,a,2,animals,antelope,4689,6022,97158,0
S001,a,2,animals,salmon,4525,5686,102844,0
S001,a,2,animals,tuna,690,1207,104051,0
S001,a,2,animals,eel,3124,3593,107644,0
S001,a,3,supermarket items,snickers,,4015,4015,0
S001,a,3,supermarket items,mars,211,725,4740,0
S001,a,3,supermarket items,peanutbutter,2420,4471,9211,0
S001,a,3,supermarket items,almondbutter,704,5986,15197,0
S001,a,3,supermarket items,butter,2142,2805,18002,0
