animal1,animal2,similarity,uinvite,priming,rw,windowgraph
polarbear,opossum,22,0,1,0,0
crab,octopus,72,0,0,1,0
bobcat,goat,57,0,0,0,0
kangaroo,dingo,75,1,1,1,1
robin,dog,38,0,1,0,0
coyote,bear,60,0,0,1,0
porcupine,alligator,53,0,0,0,0
owl,chicken,57,1,1,1,1
panda,rhinoceros,39,0,0,1,0
giraffe,ostrich,63,1,1,1,1
pig,walrus,36,0,0,0,0
polarbear,penguin,72,1,1,1,1
chimpanzee,rabbit,40,0,0,0,0
rhinoceros,tiger,63,0,0,1,0
hippopotamus,tuna,54,0,0,0,0
cricket,alligator,13,0,0,0,0
bear,tiger,61,1,1,1,1
tiger,dog,55,0,1,0,0
scorpion,seal,8,0,0,0,0
rabbit,rooster,58,1,1,1,1
rat,guineapig,76,1,1,1,1
wallaby,moose,38,0,0,0,0
whale,lizard,24,1,1,1,1
donkey,owl,38,0,0,0,0
crocodile,grizzlybear,14,1,1,1,1
dog,eagle,34,1,0,0,0
orca,mouse,9,0,0,0,0
chicken,octopus,7,1,1,1,1
dinosaur,woolymammoth,89,0,0,0,0
crocodile,monkey,50,0,0,0,0
dog,rabbit,57,1,0,0,0
buffalo,lemur,17,1,1,1,1
robin,humpbackwhale,23,0,0,0,0
whale,dolphin,75,0,0,1,0
bat,chicken,60,1,1,1,1
gerbil,pig,61,0,0,0,0
panther,walrus,11,0,0,1,0
blackbear,grizzlybear,98,1,1,0,1
panda,giraffe,46,0,0,1,0
rhinoceros,shark,1,1,1,1,1
hamster,mouse,94,0,0,1,0
monkey,ape,93,1,1,1,1
giraffe,bat,7,0,0,0,0
giraffe,gazelle,72,1,1,1,1
elephant,crow,11,0,0,1,0
coyote,hawk,35,0,0,1,0
bison,squid,4,0,0,1,0
penguin,catfish,37,1,1,1,1
human,alpaca,57,0,0,0,0
ferret,mouse,56,1,1,1,1
germanshepherd,terrier,100,1,1,1,1
lamb,goat,75,0,0,1,0
crow,spider,10,0,0,0,0
koalabear,camel,15,0,0,0,0
seal,hamster,11,0,0,0,0
eagle,squirrel,33,0,0,0,0
leopard,cougar,90,0,0,0,0
polarbear,horse,34,0,0,0,0
hyena,rattlesnake,4,1,1,1,1
snake,monkey,23,0,0,1,0
rabbit,walrus,16,0,0,0,0
lion,crab,13,0,0,0,0
lion,giraffe,63,1,1,1,1
bear,monkey,58,1,1,0,0
pheasant,poodle,30,0,0,0,0
horse,elephant,56,0,0,0,0
dolphin,hawk,33,1,1,1,1
chicken,lizard,46,0,0,0,0
giraffe,fly,6,0,0,0,0
duck,sheep,56,0,0,0,0
hornet,dog,5,0,0,0,0
lemur,jaguar,67,0,0,0,0
shark,blackbear,4,0,0,0,0
donkey,turkey,29,0,0,0,0
dog,cow,56,0,1,0,0
pig,sheep,72,1,1,1,1
anteater,salamander,39,0,0,1,0
octopus,snake,55,0,0,0,0
raccoon,bear,40,0,0,1,0
flamingo,dog,11,1,1,0,0
donkey,chicken,57,0,0,1,0
gorilla,chipmunk,44,1,1,1,1
koala,horse,8,0,1,0,0
eagle,penguin,55,0,0,0,0
ostrich,whale,15,1,1,1,1
ostrich,dog,19,1,0,0,0
goose,jaguar,41,0,0,0,0
ostrich,turkey,76,0,0,1,0
ostrich,fish,9,0,0,1,0
alligator,crocodile,100,0,0,1,0
walrus,octopus,53,0,0,0,0
hyena,bobcat,58,0,0,0,0
panther,crocodile,19,0,0,0,0
chicken,duck,94,1,1,1,1
ferret,dog,50,1,1,0,0
kangaroo,cat,29,1,0,0,0
eagle,rhinoceros,29,0,0,0,0
turkey,owl,72,1,1,1,1
monkey,lion,36,0,0,0,0
koala,polarbear,80,1,1,1,1
hummingbird,wolf,12,0,0,0,0
spider,wolf,22,0,0,0,0
clownfish,pig,6,0,0,0,0
grizzlybear,buffalo,36,0,0,0,0
bison,cow,92,0,0,1,0
shark,octopus,68,1,1,1,1
sheep,donkey,64,0,0,1,0
polarbear,skunk,19,1,0,0,0
hyena,mountainlion,76,0,0,0,0
opossum,tiger,20,1,1,0,0
fox,bluejay,36,0,0,0,0
cat,sparrow,14,0,0,0,0
lobster,crab,89,1,1,1,1
hyena,zebra,15,0,0,0,0
crow,bluebird,58,1,1,1,1
tortoise,turkey,7,1,1,1,1
koala,possum,74,0,0,1,0
dinosaur,cat,9,1,0,0,0
bee,wasp,98,1,1,1,1
ostrich,hawk,56,1,1,1,1
skunk,elephant,9,0,0,0,0
dog,monkey,30,0,0,0,0
llama,turtle,38,1,1,1,1
raccoon,coyote,52,0,0,0,0
shark,dolphin,83,1,1,1,1
lion,fish,5,0,0,0,0
falcon,gazelle,27,0,0,0,0
woodpecker,hummingbird,99,1,1,1,1
spider,hyena,6,0,0,0,0
gorilla,donkey,16,0,0,0,0
crocodile,lizard,77,0,0,1,0
sheep,horse,55,1,1,1,1
chicken,quail,75,0,0,0,0
panda,boar,44,0,0,0,0
bluejay,weasel,42,0,0,0,0
duck,penguin,62,0,0,0,0
moose,ox,61,0,0,1,0
flamingo,robin,54,1,1,1,1
rat,wolf,17,0,0,0,0
giraffe,turtle,16,0,0,0,0
owl,lion,53,0,0,0,0
kangaroo,robin,5,0,0,0,0
cow,duck,20,0,0,0,0
buffalo,giraffe,35,1,1,1,1
horse,pig,56,0,0,1,0
orangutan,cat,31,1,0,0,0
crocodile,dog,15,0,0,0,0
coyote,wolf,92,1,1,1,1
zebra,kangaroo,44,0,0,0,0
leopard,donkey,25,1,1,1,1
parrot,eagle,84,1,1,1,1
cow,leopard,23,0,0,0,0
octopus,squid,89,0,0,1,0
penguin,raven,59,1,1,1,1
mouse,kangaroo,11,0,0,1,0
cat,weasel,43,0,0,0,0
woolymammoth,elephant,95,1,1,1,1
penguin,pigeon,61,1,1,1,1
mouse,wolf,44,0,0,0,0
weasel,prayingmantis,3,0,0,0,0
bear,elephant,56,0,0,0,0
crocodile,rat,14,0,0,0,0
