method,simnum,listnum,hit,miss,fa,cr,cost,startseed
fe,0,1,3,390,0,12327,390.0,0
fe,0,2,5,388,0,12327,388.0,0
fe,0,3,8,385,0,12327,385.0,0
fe,0,4,11,382,0,12327,382.0,0
fe,0,5,14,379,0,12327,379.0,0
fe,0,6,17,376,0,12327,376.0,0
fe,0,7,20,373,0,12327,373.0,0
fe,0,8,23,370,0,12327,370.0,0
fe,0,9,26,367,0,12327,367.0,0
fe,0,10,29,364,0,12327,364.0,0
fe,0,11,30,363,0,12327,363.0,0
fe,0,12,33,360,0,12327,360.0,0
fe,0,13,35,358,0,12327,358.0,0
fe,0,14,37,356,0,12327,356.0,0
fe,0,15,40,353,0,12327,353.0,0
fe,0,16,43,350,0,12327,350.0,0
fe,0,17,45,348,0,12327,348.0,0
fe,0,18,48,345,0,12327,345.0,0
fe,0,19,51,342,0,12327,342.0,0
fe,0,20,54,339,0,12327,339.0,0
fe,0,21,56,337,0,12327,337.0,0
fe,0,22,59,334,0,12327,334.0,0
fe,0,23,61,332,0,12327,332.0,0
fe,0,24,64,329,0,12327,329.0,0
fe,0,25,67,326,0,12327,326.0,0
fe,0,26,70,323,0,12327,323.0,0
fe,0,27,72,321,0,12327,321.0,0
fe,0,28,74,319,0,12327,319.0,0
fe,0,29,76,317,0,12327,317.0,0
fe,0,30,79,314,0,12327,314.0,0
fe,0,31,81,312,0,12327,312.0,0
fe,0,32,83,310,0,12327,310.0,0
fe,0,33,85,308,0,12327,308.0,0
fe,0,34,87,306,0,12327,306.0,0
fe,0,35,90,303,0,12327,303.0,0
fe,0,36,92,301,0,12327,301.0,0
fe,0,37,94,299,0,12327,299.0,0
fe,0,38,95,298,0,12327,298.0,0
fe,0,39,96,297,0,12327,297.0,0
fe,0,40,98,295,0,12327,295.0,0
fe,0,41,99,294,0,12327,294.0,0
fe,0,42,102,291,0,12327,291.0,0
fe,0,43,103,290,0,12327,290.0,0
fe,0,44,106,287,0,12327,287.0,0
fe,0,45,108,285,0,12327,285.0,0
fe,0,46,110,283,0,12327,283.0,0
fe,0,47,113,280,0,12327,280.0,0
fe,0,48,116,277,0,12327,277.0,0
fe,0,49,118,275,0,12327,275.0,0
fe,0,50,120,273,0,12327,273.0,0
fe,1,1,3,390,0,12327,390.0,150
fe,1,2,6,387,0,12327,387.0,150
fe,1,3,9,384,0,12327,384.0,150
fe,1,4,12,381,0,12327,381.0,150
fe,1,5,15,378,0,12327,378.0,150
fe,1,6,18,375,0,12327,375.0,150
fe,1,7,21,372,0,12327,372.0,150
fe,1,8,24,369,0,12327,369.0,150
fe,1,9,27,366,0,12327,366.0,150
fe,1,10,30,363,0,12327,363.0,150
fe,1,11,33,360,0,12327,360.0,150
fe,1,12,36,357,0,12327,357.0,150
fe,1,13,39,354,0,12327,354.0,150
fe,1,14,41,352,0,12327,352.0,150
fe,1,15,44,349,0,12327,349.0,150
fe,1,16,46,347,0,12327,347.0,150
fe,1,17,49,344,0,12327,344.0,150
fe,1,18,51,342,0,12327,342.0,150
fe,1,19,54,339,0,12327,339.0,150
fe,1,20,57,336,0,12327,336.0,150
fe,1,21,60,333,0,12327,333.0,150
fe,1,22,63,330,0,12327,330.0,150
fe,1,23,66,327,0,12327,327.0,150
fe,1,24,69,324,0,12327,324.0,150
fe,1,25,71,322,0,12327,322.0,150
fe,1,26,74,319,0,12327,319.0,150
fe,1,27,77,316,0,12327,316.0,150
fe,1,28,80,313,0,12327,313.0,150
fe,1,29,83,310,0,12327,310.0,150
fe,1,30,85,308,0,12327,308.0,150
fe,1,31,88,305,0,12327,305.0,150
fe,1,32,90,303,0,12327,303.0,150
fe,1,33,92,301,0,12327,301.0,150
fe,1,34,94,299,0,12327,299.0,150
fe,1,35,96,297,0,12327,297.0,150
fe,1,36,97,296,0,12327,296.0,150
fe,1,37,100,293,0,12327,293.0,150
fe,1,38,103,290,0,12327,290.0,150
fe,1,39,106,287,0,12327,287.0,150
fe,1,40,108,285,0,12327,285.0,150
fe,1,41,109,284,0,12327,284.0,150
fe,1,42,111,282,0,12327,282.0,150
fe,1,43,113,280,0,12327,280.0,150
fe,1,44,116,277,0,12327,277.0,150
fe,1,45,118,275,0,12327,275.0,150
fe,1,46,120,273,0,12327,273.0,150
fe,1,47,122,271,0,12327,271.0,150
fe,1,48,123,270,0,12327,270.0,150
fe,1,49,125,268,0,12327,268.0,150
fe,1,50,127,266,0,12327,266.0,150
fe,2,1,3,390,0,12327,390.0,300
fe,2,2,6,387,0,12327,387.0,300
fe,2,3,9,384,0,12327,384.0,300
fe,2,4,12,381,0,12327,381.0,300
fe,2,5,15,378,0,12327,378.0,300
fe,2,6,18,375,0,12327,375.0,300
fe,2,7,21,372,0,12327,372.0,300
fe,2,8,24,369,0,12327,369.0,300
fe,2,9,27,366,0,12327,366.0,300
fe,2,10,30,363,0,12327,363.0,300
fe,2,11,31,362,0,12327,362.0,300
fe,2,12,34,359,0,12327,359.0,300
fe,2,13,37,356,0,12327,356.0,300
fe,2,14,40,353,0,12327,353.0,300
fe,2,15,42,351,0,12327,351.0,300
fe,2,16,44,349,0,12327,349.0,300
fe,2,17,47,346,0,12327,346.0,300
fe,2,18,50,343,0,12327,343.0,300
fe,2,19,53,340,0,12327,340.0,300
fe,2,20,55,338,0,12327,338.0,300
fe,2,21,57,336,0,12327,336.0,300
fe,2,22,60,333,0,12327,333.0,300
fe,2,23,62,331,0,12327,331.0,300
fe,2,24,65,328,0,12327,328.0,300
fe,2,25,67,326,0,12327,326.0,300
fe,2,26,69,324,0,12327,324.0,300
fe,2,27,71,322,0,12327,322.0,300
fe,2,28,73,320,0,12327,320.0,300
