id,listnum,category,item,rt,RTstart,shortlist
S101,0,tools,hammer,98252,98252,0
S101,0,tools,pliers,1361,99613,0
S101,0,tools,wrench,2264,101877,0
S101,0,tools,ratchet,1384,103261,0
S101,0,tools,vice,1046,104307,0
S101,0,tools,jackhammer,2865,107172,0
S101,0,tools,nails,1617,108789,0
S101,0,tools,ladder,1576,110365,0
S101,0,tools,saw,722,111087,0
S101,0,tools,sawhorse,12800,123887,0
S101,1,foods,bread,6093,6093,0
S101,1,foods,chicken,1185,7278,0
S101,1,foods,ham,655,7933,0
S101,1,foods,fish,2032,9965,0
S101,1,foods,pork,4328,14293,0
S101,1,foods,lettuce,4102,18395,0
S101,1,foods,tomato,1244,19639,0
S101,1,foods,carrots,1348,20987,0
S101,1,foods,cucumber,3689,24676,0
S101,1,foods,onions,2759,27435,0
S101,1,foods,garlic,1329,28764,0
S101,1,foods,cheese,3896,32660,0
S101,1,foods,crackers,1871,34531,0
S101,1,foods,rice,3256,37787,0
S101,1,foods,noodles,1737,39524,0
S101,1,foods,potatos,5846,45370,0
S101,1,foods,watermelon,5850,51220,0
S101,1,foods,apple,902,52122,0
S101,1,foods,lemon,1378,53500,0
S101,1,foods,lime,1208,54708,0
S101,1,foods,jackfruit,8038,62746,0
S101,1,foods,raspberry,4026,66772,0
S101,1,foods,blueberry,1632,68404,0
S101,1,foods,wheatgrass,15919,84323,0
S101,1,foods,frogleg,6895,91218,0
S101,1,foods,dough,5607,96825,0
S101,1,foods,biscuits,1850,98675,0
S101,1,foods,doughnuts,19383,118058,0
S101,1,foods,pie,4487,122545,0
S101,1,foods,eclair,15601,138146,0
S101,1,foods,icecream,2598,140744,0
S101,1,foods,pizza,4640,145384,0
S101,1,foods,radish,6633,152017,0
S101,1,foods,strawberry,2400,154417,0
S101,1,foods,soup,8176,162593,0
S101,1,foods,dumplings,5326,167919,0
S101,1,foods,bacon,4969,172888,0
S101,1,foods,eggs,3625,176513,0
S101,2,animals,cat,3496,3496,0
S101,2,animals,dog,1448,4944,0
S101,2,animals,rabbit,2056,7000,0
S101,2,animals,turtle,1607,8607,0
S101,2,animals,bird,1832,10439,0
S101,2,animals,giraffe,2425,12864,0
S101,2,animals,antelope,1599,14463,0
S101,2,animals,buffallo,2617,17080,0
S101,2,animals,deer,1255,18335,0
S101,2,animals,cow,1866,20201,0
