id,listnum,category,item,RT,RTstart,group
A101,0,fruits,strawberry,67072,67072,Experiment1
A101,0,fruits,kiwi,0,67072,Experiment1
A101,0,fruits,banana,0,67072,Experiment1
A101,0,fruits,pineapple,0,67072,Experiment1
A101,0,fruits,apple,0,67072,Experiment1
A101,0,fruits,pear,0,67072,Experiment1
A101,0,fruits,orange,0,67072,Experiment1
A101,0,fruits,lemon,0,67072,Experiment1
A101,0,fruits,lime,0,67072,Experiment1
A101,0,fruits,papaya,0,67072,Experiment1
A101,0,fruits,dragonfruit,0,67072,Experiment1
A101,0,fruits,tomato,0,67072,Experiment1
A101,0,fruits,mango,0,67072,Experiment1
A101,0,fruits,apple,59854,126926,Experiment1
A101,0,fruits,pineapple,0,126926,Experiment1
A101,0,fruits,dragonfruit,0,126926,Experiment1
A101,0,fruits,kiwi,0,126926,Experiment1
A101,0,fruits,lime,0,126926,Experiment1
A101,0,fruits,lemon,0,126926,Experiment1
A101,0,fruits,banana,0,126926,Experiment1
A101,0,fruits,mango,0,126926,Experiment1
A101,0,fruits,pear,0,126926,Experiment1
A101,0,fruits,prune,0,126926,Experiment1
A101,0,fruits,plum,0,126926,Experiment1
A101,0,fruits,peach,0,126926,Experiment1
A101,0,fruits,apple,14564,141490,Experiment1
A101,0,fruits,pineapple,2558,144048,Experiment1
A101,0,fruits,kiwi,3273,147321,Experiment1
A101,0,fruits,dragonfruit,2868,150189,Experiment1
A101,0,fruits,banana,1386,151575,Experiment1
A101,0,fruits,pineapple,4840,156415,Experiment1
A101,0,fruits,pear,2524,158939,Experiment1
A101,0,fruits,prune,1319,160258,Experiment1
A101,0,fruits,plum,1652,161910,Experiment1
A101,0,fruits,peach,3762,165672,Experiment1
A101,0,fruits,mango,2162,167834,Experiment1
A101,0,fruits,tomato,3846,171680,Experiment1
A101,1,vegetables,broccoli,5109,5109,Experiment1
A101,1,vegetables,carrot,3169,8278,Experiment1
A101,1,vegetables,celery,1925,10203,Experiment1
A101,1,vegetables,lettuce,6247,16450,Experiment1
A101,1,vegetables,corn,1262,17712,Experiment1
A101,1,vegetables,spinach,2602,20314,Experiment1
A101,1,vegetables,beet,5993,26307,Experiment1
A101,1,vegetables,ocra,15330,41637,Experiment1
A101,1,vegetables,bellpepper,24197,65834,Experiment1
A101,1,vegetables,parsley,8663,74497,Experiment1
A101,1,vegetables,cabbage,14952,89449,Experiment1
A101,1,vegetables,eggplant,4897,94346,Experiment1
A101,1,vegetables,squash,34575,128921,Experiment1
A101,1,vegetables,onion,6469,135390,Experiment1
A101,1,vegetables,cucumber,18941,154331,Experiment1
A101,2,animals,cheetah,5260,5260,Experiment1
A101,2,animals,lion,1346,6606,Experiment1
A101,2,animals,hyena,1439,8045,Experiment1
A101,2,animals,parrot,4736,12781,Experiment1
A101,2,animals,lovebird,2171,14952,Experiment1
A101,2,animals,cat,4299,19251,Experiment1
A101,2,animals,germanshepherd,5437,24688,Experiment1
A101,2,animals,terrier,2754,27442,Experiment1
A101,2,animals,poodle,6701,34143,Experiment1
A101,2,animals,russianblue,4662,38805,Experiment1
A101,2,animals,persian,1678,40483,Experiment1
A101,2,animals,humunukuapua,13158,53641,Experiment1
A101,2,animals,pufferfish,7629,61270,Experiment1
A101,2,animals,robin,5761,67031,Experiment1
A101,2,animals,giraffe,5046,72077,Experiment1
A101,2,animals,elephant,2787,74864,Experiment1
A101,2,animals,hippopotamus,1994,76858,Experiment1
A101,2,animals,monkey,1898,78756,Experiment1
A101,2,animals,shark,19954,98710,Experiment1
A101,2,animals,antelope,9434,108144,Experiment1
A101,2,animals,rhinoceros,18736,126880,Experiment1
A101,2,animals,pheasant,6187,133067,Experiment1
A101,2,animals,quail,3438,136505,Experiment1
A101,2,animals,snake,7978,144483,Experiment1
A101,2,animals,leopard,1946,146429,Experiment1
A101,2,animals,warthog,11222,157651,Experiment1
A101,2,animals,zebra,8461,166112,Experiment1
A101,2,animals,zebra,2766,168878,Experiment1
A101,3,vegetables,carrot,4571,4571,Experiment1
A101,3,vegetables,cucumber,2010,6581,Experiment1
A101,3,vegetables,eggplant,4719,11300,Experiment1
A101,3,vegetables,bellpepper,6765,18065,Experiment1
A101,3,vegetables,parsley,2521,20586,Experiment1
A101,3,vegetables,squash,13318,33904,Experiment1
A101,3,vegetables,cabbage,2918,36822,Experiment1
A101,3,vegetables,beet,3294,40116,Experiment1
A101,3,vegetables,onion,2207,42323,Experiment1
A101,3,vegetables,radish,13158,55481,Experiment1
A101,3,vegetables,broccoli,6556,62037,Experiment1
A101,3,vegetables,cauliflower,2786,64823,Experiment1
A101,3,vegetables,asparagus,14899,79722,Experiment1
A101,3,vegetables,ocra,1581,81303,Experiment1
A101,3,vegetables,artichoke,5259,86562,Experiment1
A101,3,vegetables,spinach,14862,101424,Experiment1
A101,3,vegetables,lettuce,3298,104722,Experiment1
A101,3,vegetables,kale,4738,109460,Experiment1
A101,3,vegetables,pea,2058,111518,Experiment1
A101,3,vegetables,blackbean,2621,114139,Experiment1
A101,3,vegetables,potato,10395,124534,Experiment1
A101,3,vegetables,zucchini,16951,141485,Experiment1
A101,4,fruits,dragonfruit,5605,5605,Experiment1
A101,4,fruits,mango,1855,7460,Experiment1
A101,4,fruits,apple,1171,8631,Experiment1
A101,4,fruits,pear,1011,9642,Experiment1
A101,4,fruits,prune,2439,12081,Experiment1
A101,4,fruits,plum,1544,13625,Experiment1
A101,4,fruits,peach,1513,15138,Experiment1
A101,4,fruits,kiwi,2352,17490,Experiment1
A101,4,fruits,strawberry,2042,19532,Experiment1
A101,4,fruits,blueberry,6035,25567,Experiment1
A101,4,fruits,pineapple,15816,41383,Experiment1
A101,4,fruits,rasberry,4337,45720,Experiment1
A101,4,fruits,blackberry,3640,49360,Experiment1
A101,4,fruits,orange,10536,59896,Experiment1
A101,4,fruits,lemon,1941,61837,Experiment1
A101,4,fruits,lime,1244,63081,Experiment1
A101,4,fruits,cantaloupe,8149,71230,Experiment1
A101,4,fruits,papaya,13495,84725,Experiment1
A101,4,fruits,grape,10184,94909,Experiment1
A101,4,fruits,watermelon,14364,109273,Experiment1
A101,4,fruits,pomegranate,2684,111957,Experiment1
A101,4,fruits,coconut,7301,119258,Experiment1
A101,4,fruits,banana,9099,128357,Experiment1
A101,4,fruits,cherry,11706,140063,Experiment1
A101,4,fruits,starfruit,16229,156292,Experiment1
A101,4,fruits,lilikoi,2302,158594,Experiment1
A101,4,fruits,guava,1790,160384,Experiment1
A101,5,animals,cheetah,4403,4403,Experiment1
A101,5,animals,cat,1986,6389,Experiment1
A101,5,animals,dog,1234,7623,Experiment1
A101,5,animals,lion,1961,9584,Experiment1
A101,5,animals,bird,2670,12254,Experiment1
A101,5,animals,fish,1534,13788,Experiment1
A101,5,animals,antelope,9248,23036,Experiment1
A101,5,animals,elephant,4089,27125,Experiment1
A101,5,animals,hyena,1026,28151,Experiment1
A101,5,animals,hyena,2471,30622,Experiment1
A101,5,animals,hippopotamus,14271,44893,Experiment1
A101,5,animals,zebra,7032,51925,Experiment1
A101,5,animals,peacock,6505,58430,Experiment1
A101,5,animals,pig,5475,63905,Experiment1
A101,5,animals,warthog,4171,68076,Experiment1
A101,5,animals,polarbear,12722,80798,Experiment1
A101,5,animals,grizzlybear,3348,84146,Experiment1
A101,5,animals,parrot,5651,89797,Experiment1
A101,5,animals,lovebird,2358,92155,Experiment1
A101,5,animals,sunconure,3705,95860,Experiment1
A101,5,animals,duck,5974,101834,Experiment1
A101,5,animals,goose,2391,104225,Experiment1
A101,5,animals,swan,1534,105759,Experiment1
A101,5,animals,horse,7613,113372,Experiment1
A101,5,animals,jaguar,8105,121477,Experiment1
A101,5,animals,monkey,1953,123430,Experiment1
A101,5,animals,snake,1066,124496,Experiment1
A101,5,animals,mouse,1028,125524,Experiment1
A101,5,animals,ant,3238,128762,Experiment1
A101,5,animals,llama,8030,136792,Experiment1
A101,5,animals,dolphin,11520,148312,Experiment1
A101,5,animals,fox,4916,153228,Experiment1
A101,5,animals,chicken,7095,160323,Experiment1
A101,5,animals,rooster,5834,166157,Experiment1
A101,6,vegetables,carrot,8008,8008,Experiment1
A101,6,vegetables,beet,2697,10705,Experiment1
A101,6,vegetables,onion,1857,12562,Experiment1
A101,6,vegetables,bellpepper,7925,20487,Experiment1
A101,6,vegetables,squash,2298,22785,Experiment1
A101,6,vegetables,basil,3633,26418,Experiment1
A101,6,vegetables,broccoli,25257,51675,Experiment1
A101,6,vegetables,eggplant,7254,58929,Experiment1
A101,6,vegetables,pepper,4602,63531,Experiment1
A101,6,vegetables,cucumber,10986,74517,Experiment1
A101,6,vegetables,lettuce,12667,87184,Experiment1
A101,6,vegetables,spinach,1795,88979,Experiment1
A101,6,vegetables,cauliflower,16352,105331,Experiment1
