#word,val
the,29449.18
to,22677.84
a,20415.27
you,41857.12
and,13387.84
it,18896.31
s,20731.39
of,11577.24
for,6895.1
I,39971.16
in,9773.41
on,6955.73
is,9013
that,14111.31
What,9842.45
be,5746.76
have,6161.41
are,5209.25
this,7978.73
No,5971.55
we,9011.9
me,9241.94
t,14379.18
there,4348.12
can,5247.45
here,4525.25
with,5048.33
but,4417.47
he,7637.2
now,3202.61
so,4244.16
my,6762.73
not,5424.96
do,6135.59
your,6445.39
at,3217.1
one,3072.24
up,3670
was,5654.73
go,3793.04
out,3865.31
How,3056.22
like,3998.96
if,3541.37
know,5721.18
just,4749.14
get,4583.76
Come,3140.98
they,4102.94
don,6295.78
see,2556.73
about,3631.49
right,4008.39
who,2222.94
good,2610.14
when,2034.1
time,1958.63
Let,2419.24
did,2341.37
from,2039.06
want,2759.18
think,2691.39
take,1891.04
Why,2248.76
m,6730.29
look,1947.27
an,1864.14
all,5161.86
back,2009.16
some,1727.24
re,6099.45
would,1767.88
been,1736.73
Where,1830.22
then,1489.53
him,3484.51
got,3306.49
as,2217.02
or,1705.29
going,2123.29
were,1662.82
could,1629.59
say,1639.78
something,1500.16
had,1675.92
way,1424.73
make,1387.75
by,1340.47
too,1371.57
us,1695.65
his,2124.78
ll,4394.06
more,1298.59
over,1323.29
didn,1580.84
them,1778.82
down,1490.27
never,1362.55
Well,2990.65
Yes,1996.76
d,1986.96
should,1061.94
will,2123.65
she,3732.88
tell,1724.49
only,1083.71
our,1400.49
give,1167.82
her,2835.82
need,1294.9
has,1133.92
little,1446.39
off,1179.51
thing,1088.67
man,1845.75
any,1099.37
mean,1243.98
much,973.25
said,1108.45
Oh,3289.82
sure,1099.82
am,1106.63
two,1066.35
really,1500.16
doing,1029.25
even,875.92
anything,907.25
sorry,1167.96
before,794.14
because,1071.02
people,1102.98
into,844.59
very,1241.25
first,840.57
again,792.71
nothing,853.61
these,904
put,828.45
please,1100.96
thought,808.47
better,794
still,788.73
Thank,1115.24
Yeah,2985.53
than,738.8
help,921.12
other,735.39
Maybe,926.45
last,723.1
day,801.82
those,753.02
wait,830.25
find,830.96
work,798.02
does,666.71
after,682.59
talk,855
life,796.65
long,675.16
away,730.9
keep,702.86
around,736.73
call,861.39
doesn,635.98
won,759.39
Hey,1727.04
told,699.59
ever,709.22
always,655.25
things,692.88
great,820.86
home,774.33
made,561.29
stop,707.27
believe,625.14
night,866.04
love,1114.98
everything,654.88
another,509.22
kind,590.69
isn,586
place,602.67
feel,627.24
hear,555.35
wrong,523.1
new,723.78
big,682.82
bad,545.18
every,549.16
through,549.53
their,655.16
leave,560.71
lot,569.92
coming,527.02
enough,501.33
must,699.24
Thanks,623.31
fine,598.08
might,516.35
getting,484.69
remember,542.47
nice,649.51
being,485.9
try,476.75
wanted,502.27
name,641.86
done,485.04
else,449.16
gonna,1996.16
ask,483.14
left,484.45
next,452.75
wouldn,463.29
Listen,544.78
years,568.69
happened,490.08
talking,497.75
care,485.25
God,903.16
own,459.2
three,542.24
old,608.94
came,463.73
mind,484.61
looking,432.67
trying,448.02
stay,515.65
understand,482.45
yourself,434.33
someone,446.12
wasn,431.06
same,417.18
guess,453.98
went,411.51
best,404.37
may,511.37
course,487.22
which,477.24
show,488.35
guy,762.61
today,433.8
while,349.43
seen,384.96
heard,387.75
without,354.65
hold,436.73
real,442.8
use,343.84
together,383.39
whole,385.49
haven,369.49
saw,402.49
Hello,585.43
once,344.88
took,342.24
yet,341.73
ready,387.8
found,396
idea,359.04
already,318.55
pretty,392.22
start,340.1
myself,342.55
used,344.14
Okay,2006.27
many,359.43
knew,368.96
head,371.51
since,314.98
couldn,339.92
room,439.51
matter,370.59
world,455.22
friend,419.29
Mr,1178.39
girl,557.12
bring,327.16
most,350.76
boy,529.82
until,302.47
hope,320.63
both,295.33
called,340.02
hard,307.84
guys,631.33
minute,377.49
run,350.55
looks,311.49
morning,439
live,344.59
Excuse,368.1
move,418.14
house,514
wants,306.96
few,301.82
Hi,558.12
meet,352.27
job,413
later,291.94
turn,306.47
dead,448.98
says,320.71
woman,434.63
alone,308.53
gone,296.76
watch,330.02
having,289.25
problem,330.06
ago,286.12
open,320.41
hell,470.82
saying,291.65
somebody,344.53
days,305.73
probably,280.84
tonight,412.69
second,284.57
worry,287.02
thinking,281.43
kill,452.57
everybody,344.22
lost,274
end,265.86
happen,254.27
forget,277.06
tomorrow,335.96
money,640.76
makes,241.1
taking,240.45
such,291.22
huh,438.24
face,289.16
part,261.51
soon,257.65
sit,311.35
late,269.73
under,261.92
whatever,246.75
anyone,255.25
hand,279.65
mother,479.92
happy,333.2
gave,243.69
actually,322.33
friends,305.45
exactly,247.2
each,253.25
knows,244.94
aren,234.24
supposed,252.25
father,554.49
Miss,467.65
stuff,306.92
mine,250.98
making,222.53
least,207.76
easy,265.71
working,250.49
anyway,238.51
chance,241.24
play,354.53
family,354.25
TRUE,253.35
gets,222.82
comes,228.55
check,278.98
door,292.06
change,240.35
means,218.35
deal,261.37
gotta,506.9
minutes,273.02
five,285.45
point,236.53
far,220.76
business,321
set,231.47
close,219.43
times,220.02
goes,217.27
car,483.06
word,235.55
son,410.76
Nobody,266.65
rest,212.96
sir,964.47
hurt,246.35
everyone,241.65
asked,216.25
hit,275
baby,509.37
bit,235.04
yours,204.73
hands,236.53
crazy,272.27
week,238.51
break,221.08
men,372.76
couple,223.41
either,182.51
year,277.92
waiting,211.12
beautiful,279.73
wish,235.12
almost,193.27
cause,310.04
afraid,247.67
cut,229.76
pay,254.61
four,255.78
stand,226.2
case,282.41
important,207.59
tried,186.84
anybody,226.92
different,209.53
hours,214.88
walk,215.86
telling,190.78
eat,251.88
reason,193.29
Shut,263.82
inside,211.27
wife,348.92
trouble,223.55
eyes,221.55
also,206.43
hate,214.59
read,241.22
behind,187.86
started,187.57
ahead,198.33
pick,198.39
side,200.92
person,212.88
damn,283.53
half,199.14
young,243.18
brought,172.27
sleep,227.94
funny,218.18
die,261.14
between,175.14
fun,235.49
kid,339.2
though,181.94
wanna,505.8
front,181.55
question,198.35
heart,244.18
seems,167.55
number,240.94
line,206.18
school,333.12
against,201.73
anymore,188.18
kids,301.1
phone,269.73
welcome,179.22
met,191.33
shouldn,158.49
high,195
outside,170.02
killed,290.04
sometimes,179
moment,187.04
needs,160.75
fact,172.57
sounds,156.27
drink,247.39
Dad,507.25
six,199.53
answer,176.2
feeling,168.18
hour,162.29
full,166.9
along,182.94
glad,171.37
speak,187.18
quite,202.59
buy,192.43
able,159.9
death,216.69
free,177.53
stupid,184.41
running,157.92
story,220.78
lose,164.35
send,179.78
trust,178.18
shot,227.43
hot,189.84
truth,192.18
honey,300.49
clear,171.82
till,166.73
lady,217.08
water,225.06
town,247.92
bed,187.12
living,156.53
seem,139.82
Mom,430.39
sound,143.39
happens,137.18
lives,139.69
save,162.31
taken,138.65
months,163.02
serious,148.35
touch,147.73
bet,171.82
news,164.69
office,203.9
leaving,141.39
body,195.53
dinner,202.67
married,238.49
fire,215.49
light,165.2
perfect,158.65
special,148.57
hang,147.75
luck,153.73
lucky,143.45
promise,153.12
uh,717.24
sick,165.43
weren,122.29
asking,128.35
sense,131.8
women,195.65
order,156.57
its,171.71
fast,137.45
brother,283.94
game,233.84
catch,135.51
sent,138
sort,148.71
himself,140.55
boys,224.16
alive,154.47
known,123.53
died,157.22
party,233.14
drive,153.14
playing,147.35
doctor,263.94
fight,201.08
kidding,133.76
figure,129.37
pull,146.45
throw,128.82
cool,195.88
calling,123.75
unless,113.69
looked,120.9
Hurry,173.65
girls,208.35
past,123.76
hair,153.55
takes,117.37
except,111.69
top,133.43
food,154.43
finally,117.43
straight,122.43
sweet,145.2
wonder,116.98
giving,110.06
drop,130.61
worked,115.24
small,124.96
plan,145.73
somewhere,111.53
less,111.1
blood,186.12
none,110.61
safe,143.2
sign,133.27
piece,124.49
cold,130.16
weeks,130.14
Bye,180.08
turned,105.65
clean,121.24
dear,223.43
Ah,206.57
follow,123.2
seeing,109.63
Mrs,310.94
learn,118.57
street,148.18
works,105.04
explain,111.18
ass,226.37
ain,436.24
husband,194.8
Wow,160
possible,114.04
police,236.16
wonderful,164
white,171.45
lie,120.25
felt,119.82
meant,104.24
step,118.67
air,139.02
fall,118.51
city,169.1
moving,119.69
scared,133.39
words,122.02
meeting,132.39
expect,103.9
rather,114.22
worth,109.2
country,161.84
absolutely,113.12
become,115.57
early,108.04
company,147.2
longer,98.94
children,175.1
thinks,102.65
ten,145
handle,108.41
shoot,164.94
control,130.63
careful,108.82
feet,120.73
worse,98.08
book,176.98
poor,129.08
forgot,98.92
eye,111.78
busy,106.53
beat,131.69
black,167.94
changed,100.94
talked,102.47
ones,101.51
picture,138.45
questions,117.96
broke,105
pass,108.12
tired,112.65
watching,99.63
em,251.94
quiet,117.22
anywhere,88.25
wear,109.33
finish,98.92
mistake,101.96
ride,135.37
fault,104.12
ladies,138.31
needed,94.47
quick,108.67
choice,97.55
act,109.12
cannot,126.76
given,95.12
hasn,90.69
child,157.65
caught,93.94
shall,185.12
worried,94.73
dog,192.84
sister,180.53
red,148.06
coffee,144.53
spend,93.27
kept,89.39
mouth,104.41
certainly,118.96
yesterday,96.76
sitting,94.39
attention,98.67
stick,97.12
daughter,171.35
date,141.53
power,149.02
gun,213.2
mad,113.41
loved,110.33
middle,89.2
gentlemen,154.39
decided,88.65
write,126.8
human,124.76
O,188.2
wake,105.22
Perhaps,136.06
missed,89.57
others,99.24
parents,140.73
month,95.18
across,94.14
Besides,84.86
table,105.63
appreciate,85.75
ran,84.24
simple,89.31
suppose,125.8
bitch,168.8
secret,109.51
personal,91.67
blow,97.57
short,85.63
instead,79.27
near,83.1
fair,94.75
terrible,94.02
dream,133.29
