method,simnum,listnum,hit,miss,fa,cr,cost,startseed
rw,0,10,295,30,1536,3089,1566.0,0
goni,0,10,84,241,36,4589,277.0,0
chan,0,10,39,286,60,4565,346.0,0
kenett,0,10,0,325,0,4625,325.0,0
fe,0,10,14,311,16,4609,327.0,0
uinvite_flat,0,10,269,56,694,3931,750.0,0
uinvite_hierarchical,0,10,21,304,0,4625,304.0,0
rw,0,11,304,21,1659,2966,1680.0,0
goni,0,11,101,224,53,4572,277.0,0
chan,0,11,37,288,63,4562,351.0,0
kenett,0,11,0,325,0,4625,325.0,0
fe,0,11,16,309,17,4608,326.0,0
uinvite_flat,0,11,279,46,718,3907,764.0,0
uinvite_hierarchical,0,11,25,300,7,4618,307.0,0
rw,0,12,306,19,1760,2865,1779.0,0
goni,0,12,133,192,65,4560,257.0,0
chan,0,12,46,279,53,4572,332.0,0
kenett,0,12,0,325,0,4625,325.0,0
fe,0,12,18,307,18,4607,325.0,0
uinvite_flat,0,12,284,41,727,3898,768.0,0
uinvite_hierarchical,0,12,17,308,2,4623,310.0,0
rw,0,13,308,17,1868,2757,1885.0,0
goni,0,13,147,178,89,4536,267.0,0
chan,0,13,44,281,55,4570,336.0,0
kenett,0,13,0,325,0,4625,325.0,0
fe,0,13,19,306,20,4605,326.0,0
uinvite_flat,0,13,289,36,744,3881,780.0,0
uinvite_hierarchical,0,13,24,301,4,4621,305.0,0
rw,0,14,312,13,1962,2663,1975.0,0
goni,0,14,172,153,127,4498,280.0,0
chan,0,14,44,281,55,4570,336.0,0
kenett,0,14,0,325,0,4625,325.0,0
fe,0,14,21,304,21,4604,325.0,0
uinvite_flat,0,14,291,34,764,3861,798.0,0
uinvite_hierarchical,0,14,12,313,0,4625,313.0,0
rw,0,15,315,10,2057,2568,2067.0,0
goni,0,15,130,195,61,4564,256.0,0
chan,0,15,41,284,58,4567,342.0,0
kenett,0,15,0,325,0,4625,325.0,0
fe,0,15,23,302,22,4603,324.0,0
uinvite_flat,0,15,297,28,768,3857,796.0,0
uinvite_hierarchical,0,15,13,312,3,4622,315.0,0
rw,0,16,316,9,2150,2475,2159.0,0
goni,0,16,152,173,80,4545,253.0,0
chan,0,16,45,280,54,4571,334.0,0
kenett,0,16,0,325,0,4625,325.0,0
fe,0,16,24,301,24,4601,325.0,0
uinvite_flat,0,16,296,29,780,3845,809.0,0
uinvite_hierarchical,0,16,8,317,1,4624,318.0,0
rw,0,17,318,7,2233,2392,2240.0,0
goni,0,17,163,162,101,4524,263.0,0
chan,0,17,45,280,56,4569,336.0,0
kenett,0,17,0,325,0,4625,325.0,0
fe,0,17,26,299,25,4600,324.0,0
uinvite_flat,0,17,301,24,779,3846,803.0,0
uinvite_hierarchical,0,17,16,309,2,4623,311.0,0
rw,0,18,321,4,2319,2306,2323.0,0
goni,0,18,180,145,125,4500,270.0,0
chan,0,18,45,280,54,4571,334.0,0
kenett,0,18,0,325,0,4625,325.0,0
fe,0,18,28,297,26,4599,323.0,0
uinvite_flat,0,18,306,19,784,3841,803.0,0
uinvite_hierarchical,0,18,11,314,1,4624,315.0,0
rw,0,1,82,243,200,4425,443.0,0
goni,0,1,19,306,21,4604,327.0,0
chan,0,1,26,299,78,4547,377.0,0
kenett,0,1,0,325,0,4625,325.0,0
fe,0,1,3,322,0,4625,322.0,0
uinvite_flat,0,1,79,246,179,4446,425.0,0
