method,simnum,listnum,hit,miss,fa,cr,cost,startseed
uinvite,0,1,0,393,0,12327,393.0,0
uinvite,0,2,13,380,0,12327,380.0,0
uinvite,0,3,35,358,0,12327,358.0,0
uinvite,0,4,60,333,2,12325,335.0,0
uinvite,0,5,86,307,4,12323,311.0,0
uinvite,0,6,104,289,4,12323,293.0,0
uinvite,0,7,131,262,5,12322,267.0,0
uinvite,0,8,151,242,8,12319,250.0,0
uinvite,0,9,170,223,11,12316,234.0,0
uinvite,0,10,195,198,14,12313,212.0,0
uinvite,0,11,218,175,18,12309,193.0,0
uinvite,0,12,236,157,27,12300,184.0,0
uinvite,0,13,251,142,30,12297,172.0,0
uinvite,0,14,269,124,36,12291,160.0,0
uinvite,0,15,286,107,42,12285,149.0,0
uinvite,0,16,300,93,45,12282,138.0,0
uinvite,0,17,308,85,50,12277,135.0,0
uinvite,0,18,318,75,56,12271,131.0,0
uinvite,0,19,327,66,64,12263,130.0,0
uinvite,0,20,332,61,67,12260,128.0,0
uinvite,0,21,338,55,75,12252,130.0,0
uinvite,0,22,343,50,78,12249,128.0,0
uinvite,0,23,347,46,81,12246,127.0,0
uinvite,0,24,351,42,86,12241,128.0,0
uinvite,0,25,356,37,95,12232,132.0,0
uinvite,0,26,360,33,104,12223,137.0,0
uinvite,0,27,363,30,112,12215,142.0,0
uinvite,0,28,367,26,118,12209,144.0,0
uinvite,0,29,371,22,125,12202,147.0,0
uinvite,0,30,372,21,131,12196,152.0,0
uinvite,0,31,374,19,141,12186,160.0,0
uinvite,0,32,377,16,145,12182,161.0,0
uinvite,0,33,378,15,152,12175,167.0,0
uinvite,0,34,380,13,161,12166,174.0,0
uinvite,0,35,381,12,166,12161,178.0,0
uinvite,0,36,382,11,174,12153,185.0,0
uinvite,0,37,382,11,178,12149,189.0,0
uinvite,0,38,383,10,184,12143,194.0,0
uinvite,0,39,384,9,192,12135,201.0,0
uinvite,0,40,384,9,203,12124,212.0,0
uinvite,0,41,385,8,214,12113,222.0,0
uinvite,0,42,385,8,223,12104,231.0,0
