method,simnum,listnum,hit,miss,fa,cr,cost,startseed
uinvite,0,1,0,393,0,12327,393.0,0
uinvite,0,2,13,380,0,12327,380.0,0
uinvite,0,3,36,357,0,12327,357.0,0
uinvite,0,4,60,333,2,12325,335.0,0
uinvite,0,5,86,307,4,12323,311.0,0
uinvite,0,6,104,289,4,12323,293.0,0
uinvite,0,7,130,263,5,12322,268.0,0
uinvite,0,8,151,242,8,12319,250.0,0
uinvite,0,9,171,222,10,12317,232.0,0
uinvite,0,10,195,198,14,12313,212.0,0
uinvite,0,11,218,175,18,12309,193.0,0
uinvite,0,12,236,157,24,12303,181.0,0
uinvite,0,13,251,142,30,12297,172.0,0
uinvite,0,14,269,124,36,12291,160.0,0
uinvite,0,15,286,107,43,12284,150.0,0
uinvite,0,16,301,92,43,12284,135.0,0
uinvite,0,17,309,84,51,12276,135.0,0
uinvite,0,18,317,76,57,12270,133.0,0
uinvite,0,19,328,65,62,12265,127.0,0
uinvite,0,20,332,61,67,12260,128.0,0
uinvite,0,21,338,55,75,12252,130.0,0
uinvite,0,22,343,50,77,12250,127.0,0
uinvite,0,23,347,46,81,12246,127.0,0
uinvite,0,24,352,41,88,12239,129.0,0
uinvite,0,25,356,37,96,12231,133.0,0
uinvite,0,26,360,33,103,12224,136.0,0
uinvite,0,27,363,30,114,12213,144.0,0
uinvite,0,28,367,26,117,12210,143.0,0
uinvite,0,29,371,22,123,12204,145.0,0
uinvite,0,30,372,21,131,12196,152.0,0
uinvite,0,31,374,19,140,12187,159.0,0
uinvite,0,32,377,16,143,12184,159.0,0
uinvite,0,33,378,15,151,12176,166.0,0
uinvite,0,34,379,14,161,12166,175.0,0
uinvite,0,35,380,13,169,12158,182.0,0
uinvite,0,36,381,12,173,12154,185.0,0
