subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5,rating,goniweight
S100,echidna,marmoset,1,1,0,0,0,0,1,1,22.0,27.94784472085e-05
S100,llama,chicken,0,1,0,0,0,0,1,0,39.25,40.00557342611049
S100,komododragon,hornet,0,0,0,0,0,1,0,0,17.25,40.000129152476714
S100,rhinoceros,penguin,0,1,0,0,0,0,1,0,24.0,40.0118025494105
S100,polarbear,fox,0,1,0,0,0,0,1,0,49.5,40.00923936948798
S100,lemur,armadillo,0,1,0,0,0,0,1,0,34.5,40.000914002142897
S100,shark,squirrel,0,1,0,0,0,0,1,0,24.25,40.0146538387041
S100,bessbug,hog,0,0,0,0,0,1,0,0,20.6666666667,36.95436413074e-05
S100,clownfish,eel,1,1,0,0,0,0,1,1,65.25,40.000486805489152
S100,mantis,antelope,0,0,0,0,0,1,0,0,23.0,47.94784472085e-05
S100,snake,hamster,0,1,0,0,0,0,0,0,29.0,40.0176342804744
S100,wolf,hornet,0,0,0,0,0,1,0,0,23.25,40.000586153548162
S100,cheetah,starfish,0,1,0,0,0,0,1,0,12.25,40.00322384451489
S100,wildcat,falcon,1,1,0,0,0,0,1,1,23.25,47.45110442579e-05
S100,brownbear,blackbear,1,1,0,1,1,0,1,1,93.0,40.000119217670813
S100,starfish,raptor,0,0,0,0,0,1,0,0,22.5,40.000109282864912
S100,cardinal,lion,0,1,0,0,0,0,1,0,29.0,40.00492766372693
S100,panther,trout,0,0,0,0,0,1,0,0,17.25,40.000307978982933
S100,giraffe,snake,0,1,0,0,0,0,1,0,26.5,40.00211611365693
S100,cassowary,lark,1,0,0,0,0,0,0,0,59.3333333333,39.93480590106e-06
S100,porcupine,beaver,0,1,0,0,0,0,1,1,67.25,40.00163924297367
S100,bass,worm,0,0,0,0,0,0,0,0,17.75,40.000104315461961
S100,emu,alligator,0,1,0,0,0,0,1,0,31.0,30.00396895495747
S100,stingray,octopus,0,1,0,0,0,0,1,1,57.75,40.000764980054382
S100,antelope,slug,0,0,0,0,0,1,0,0,13.5,40.000238435341625
S100,sealion,capybara,0,0,0,0,0,1,0,0,38.5,20.000298044177032
S100,zebra,penguin,0,1,1,0,0,0,1,0,35.75,40.0225321397836
S100,flamingo,frog,0,1,0,0,0,0,1,0,20.75,40.00561813273705
S100,buzzard,deer,1,1,0,0,1,0,1,1,31.6666666667,30.000307978982933
S100,komododragon,gecko,0,1,0,0,0,0,1,0,70.25,40.00103321981371
S100,elephant,parrot,0,1,0,0,0,0,1,0,22.5,40.0114747008157
S100,gecko,parakeet,0,0,0,0,0,1,0,0,24.0,40.000715306024876
S100,rhinoceros,salamander,0,1,0,0,0,0,1,0,36.5,40.0028413544877
S100,bass,raven,0,0,0,0,0,0,0,0,16.5,40.000104315461961
S100,giraffe,spider,0,1,0,0,0,0,1,0,19.0,40.000983545784205
S100,iguana,giraffe,0,1,0,0,0,0,1,0,19.25,40.000536479518657
S100,sealion,squid,0,0,0,1,0,0,0,0,55.75,40.000695436413074
S100,swordfish,squid,0,1,0,0,0,0,1,0,58.75,40.00027817456523
S100,hummingbird,armadillo,0,1,0,0,0,0,1,1,26.0,40.000238435341625
S100,squirrel,owl,0,1,0,0,0,0,1,0,48.0,40.0084445850159
S100,cardinal,bluejay,1,1,0,1,1,0,1,1,86.0,40.000556349130459
S100,lamb,frog,0,1,0,0,0,0,1,0,24.25,40.00309965944113
S100,canary,chipmunk,0,1,0,1,1,0,1,1,31.75,40.000695436413074
S100,ibex,cottonmouth,0,0,0,0,0,1,0,0,17.6666666667,31.49022088516e-05
S100,dragonfly,snake,0,0,0,0,0,1,0,0,28.75,40.000352685609488
S100,swordfish,orca,1,1,0,1,1,0,1,1,70.0,40.000139087282615
S100,zebra,cuttlefish,0,1,0,0,0,0,1,1,23.75,40.000834523695689
S100,tapir,toucan,1,1,0,0,1,0,1,1,32.0,20.000149022088516
S100,tiger,wildcat,0,1,0,0,0,0,1,1,82.25,40.00168394960023
S100,pony,donkey,0,1,0,1,0,0,1,1,80.75,40.00206643962742
S100,lemur,gorilla,0,1,0,1,0,0,1,0,34.3333333333,30.00571251339311
S100,ostrich,rat,0,1,0,0,0,0,1,0,26.0,40.0116038532924
S100,cottonmouth,quail,1,1,0,0,1,0,1,1,37.0,21.49022088516e-05
S100,hog,porcupine,0,0,0,0,0,1,0,0,51.5,40.000382490027191
S100,jaguar,leopard,0,1,0,1,0,0,1,0,90.0,40.00365600857159
