subj,node1,node2,irt5,irt9,irt95
S113,koala,wallaby,1,1,1
S113,bear,pig,0,1,0
S113,beaver,wolf,1,1,1
S113,dingo,platypus,1,1,1
S113,camel,donkey,1,1,1
S113,lion,possum,0,1,0
S113,pig,cheetah,1,1,0
S113,gerbil,guineapig,1,1,0
S113,possum,koala,1,0,1
S113,platypus,wallaby,1,1,1
S113,antelope,cheetah,1,1,1
S113,rabbit,hamster,1,1,1
S113,deer,moose,1,1,1
S113,ermine,mink,1,1,1
S113,otter,lion,1,0,0
S113,panther,leopard,1,1,0
S113,sheep,dingo,1,1,1
S113,panther,tiger,1,1,1
S113,tiger,pig,0,1,0
S113,gerbil,goat,1,1,1
S113,antelope,panda,1,0,0
S113,pony,rat,1,1,1
S113,antelope,hamster,0,1,0
S113,rat,possum,1,1,0
S113,horse,pig,1,1,0
S113,sheep,donkey,1,1,1
S113,tiger,possum,1,0,0
S113,bear,walrus,0,1,0
S113,ferret,mink,1,1,1
S113,bear,raccoon,0,0,1
S113,horse,dog,1,1,1
S113,bear,panda,1,1,1
S113,horse,cow,1,1,1
S113,sheep,pig,0,0,1
S113,otter,possum,0,1,0
S113,panther,rhinoceros,1,1,1
S113,weasel,lion,0,1,0
S113,rat,wolf,1,0,1
S113,walrus,panda,0,0,1
S113,bear,lion,1,1,1
S113,gazelle,cheetah,1,1,0
S113,mouse,wolf,0,1,0
S113,badger,donkey,1,1,1
S113,ermine,otter,1,1,1
S113,rabbit,mouse,0,1,0
S113,sheep,goat,1,1,1
S113,panda,possum,1,0,1
S113,bear,possum,1,0,0
S113,otter,panda,1,1,1
S113,weasel,zebra,1,1,1
S113,antelope,rat,0,0,1
S113,walrus,seal,1,1,1
S113,otter,pig,1,1,1
S113,kangaroo,wallaby,1,1,1
S113,deer,raccoon,1,1,1
S113,pig,cow,0,0,1
S113,puma,caribou,1,1,1
S113,gazelle,panda,0,1,1
S113,sheep,cat,1,1,0
S113,cat,cow,1,1,0
S113,cow,dog,1,1,1
S113,cat,dog,1,1,1
S113,moose,caribou,1,1,1
S113,badger,pony,1,1,1
S113,tiger,koala,1,1,1
S113,panther,cheetah,1,1,1
S113,rat,mouse,1,1,1
S113,tiger,cheetah,1,1,1
S113,tiger,leopard,1,1,1
S113,mouse,hamster,1,1,1
S113,lion,raccoon,0,1,0
S113,panther,lion,1,1,1
S113,weasel,mink,1,1,0
S113,lynx,mink,1,1,1
S113,dingo,wallaby,1,1,1
S113,weasel,otter,1,1,1
S113,tiger,lion,1,0,0
S113,lynx,cheetah,1,1,1
S113,lion,pig,1,1,1
S113,rhinoceros,elephant,1,1,1
S113,antelope,elephant,1,1,1
S113,possum,raccoon,1,1,1
S113,panda,koala,0,1,0
S113,deer,caribou,1,1,0
S113,cat,pig,1,1,0
S113,ferret,cow,1,1,1
S113,leopard,possum,0,0,1
S113,panther,walrus,1,0,0
S113,sheep,horse,1,1,1
S113,rhinoceros,leopard,1,1,1
S113,lion,cheetah,1,1,1
S113,dingo,kangaroo,1,1,1
S113,mouse,possum,1,1,1
S113,ermine,weasel,1,1,1
S113,gerbil,panda,1,1,0
S113,antelope,gazelle,1,1,1
S113,gazelle,puma,1,1,1
S113,bear,tiger,1,1,1
S113,guineapig,hamster,1,1,1
S113,panda,hamster,1,1,0
S113,horse,cat,1,1,1
S113,giraffe,zebra,1,1,1
S113,bear,seal,1,1,1
S113,gerbil,hamster,1,1,1
