subj,item1,item2,uinvite_flat
NA,fawn,peacock,0,
NA,fawn,pheasant,0,
NA,fawn,spidermonkey,0,
NA,fawn,prairiedog,0,
NA,fawn,tasmaniandevil,0,
NA,fawn,peccary,0,
NA,fawn,komododragon,0,
NA,fawn,swan,0,
NA,fawn,tyrannosaurusrex,0,
NA,fawn,scottishshetland,0,
NA,fawn,llama,0,
NA,fawn,kitten,0,
NA,fawn,kingcobra,0,
NA,fawn,stinkbug,0,
NA,fawn,parrot,0,
NA,fawn,urangutan,0,
NA,fawn,quahog,0,
NA,fawn,germansheperd,0,
NA,fawn,grasshopper,0,
NA,fawn,labradorretriever,0,
NA,fawn,panda,0,
NA,fawn,wildebeest,0,
NA,fawn,tarantula,0,
NA,fawn,velociraptor,0,
NA,fawn,kangaroo,0,
NA,fawn,stallion,0,
NA,fawn,mule,0,
NA,fawn,ibis,0,
NA,fawn,goldfish,0,
NA,fawn,tortoise,0,
NA,fawn,mantis,0,
NA,fawn,hamster,0,
NA,fawn,orangutan,0,
NA,fawn,raccoon,0,
NA,fawn,mussel,0,
NA,fawn,vole,0,
NA,fawn,gull,0,
NA,fawn,weevil,0,
NA,fawn,ocelot,0,
NA,fawn,poodle,0,
NA,fawn,frog,0,
NA,fawn,goldenretriever,0,
NA,fawn,ladybug,0,
NA,fawn,rabbit,0,
NA,fawn,fly,0,
NA,fawn,worm,0,
NA,fawn,seahorse,0,
NA,fawn,grubworm,0,
NA,fawn,seagull,0,
NA,fawn,shark,0,
NA,fawn,pony,0,
NA,fawn,spermwhale,0,
NA,fawn,jackrabbit,0,
NA,fawn,woodpecker,0,
NA,fawn,magpie,0,
NA,fawn,rhinoceros,0,
NA,fawn,goat,0,
NA,fawn,possum,0,
NA,fawn,maltese,0,
NA,fawn,hawk,0,
NA,fawn,jellyfish,0,
NA,fawn,xerus,0,
NA,fawn,platypus,0,
NA,fawn,nakedmolerat,0,
NA,fawn,narwhal,0,
NA,fawn,hedgehog,0,
NA,fawn,minnow,0,
NA,fawn,iguana,0,
NA,fawn,muskrat,0,
NA,fawn,monitor,0,
NA,fawn,redfox,0,
NA,fawn,heron,0,
NA,fawn,kinkajou,0,
NA,fawn,python,0,
NA,fawn,swordfish,0,
NA,fawn,salamander,0,
NA,fawn,giraffe,0,
NA,fawn,snake,0,
NA,fawn,mountainlion,0,
NA,fawn,turtle,0,
NA,fawn,fish,0,
NA,fawn,spider,0,
NA,fawn,goose,0,
NA,fawn,persian,0,
NA,fawn,whaleshark,0,
NA,fawn,zebra,0,
NA,fawn,hippopotamus,0,
NA,fawn,mantaray,0,
NA,fawn,pigeon,0,
NA,fawn,wolverine,0,
NA,fawn,sealion,0,
NA,fawn,liger,0,
NA,fawn,waterbear,0,
NA,fawn,gerbil,0,
NA,fawn,shrew,0,
NA,fawn,sugarglider,0,
NA,fawn,oppy,0,
NA,fawn,lemur,0,
NA,fawn,ostrich,0,
NA,fawn,redpanda,0,
NA,fawn,pelican,0,
NA,fawn,gazelle,0,
NA,fawn,wasp,0,
NA,fawn,pteordactyl,0,
NA,fawn,whale,0,
NA,fawn,sheep,0,
NA,fawn,horse,0,
NA,fawn,humpbackwhale,0,
NA,fawn,monkey,0,
NA,fawn,terrier,0,
NA,fawn,stork,0,
NA,fawn,opossum,0,
NA,fawn,starfish,0,
NA,fawn,goby,0,
NA,fawn,steer,0,
NA,fawn,mink,1,
NA,fawn,macaw,0,
NA,fawn,ram,0,
NA,fawn,rat,0,
NA,fawn,oriole,0,
NA,fawn,ray,0,
NA,fawn,koala,0,
NA,fawn,guineapig,0,
NA,fawn,ibex,0,
NA,fawn,tapir,0,
NA,fawn,salmon,0,
NA,fawn,oyster,0,
NA,fawn,sunbear,0,
NA,fawn,hyena,0,
NA,fawn,skunk,0,
NA,fawn,sparrow,0,
NA,fawn,nutria,0,
NA,fawn,gnat,0,
NA,fawn,scorpion,0,
NA,fawn,sabertoothedtiger,0,
NA,fawn,piranha,0,
NA,fawn,penguin,0,
NA,fawn,porcupine,0,
NA,fawn,grizzlybear,0,
NA,fawn,ferret,0,
NA,fawn,koi,0,
NA,fawn,jaguar,0,
NA,fawn,tabby,0,
NA,fawn,nightingale,0,
NA,fawn,orca,0,
NA,fawn,honeybadger,0,
NA,fawn,lion,0,
NA,fawn,seal,0,
NA,fawn,puma,0,
NA,fawn,woodchuck,0,
NA,fawn,viper,0,
NA,fawn,zebu,0,
NA,fawn,newt,0,
NA,fawn,manx,0,
NA,fawn,wallaby,0,
NA,fawn,swallow,0,
NA,fawn,groundhog,0,
NA,fawn,treefrog,0,
NA,fawn,sloth,0,
NA,fawn,sandshark,0,
NA,fawn,gopher,0,
NA,fawn,isopod,1,
NA,fawn,weasel,0,
NA,fawn,turkey,0,
NA,fawn,reindeer,0,
NA,fawn,yak,0,
NA,fawn,marmot,0,
