subj,node1,node2,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,zibb1,zibb2,zibb3,zibb4,zibb5,zibb6,zibb7,zibb8,zibb9
S100,rhinoceros,parrot,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,spider,bee,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,rat,vole,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,panda,kangaroo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,elephant,seal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,dog,gerbil,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,walrus,wolf,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,koala,buffalo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,guineapig,pig,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,hare,horse,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,platypus,bat,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,pigeon,ostrich,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,snail,slug,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,bear,deer,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,jellyfish,sheep,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,jaguar,gorilla,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,fawn,fox,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,platypus,otter,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,bird,duck,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,squirrel,hamster,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,salmon,seal,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,lemur,tapir,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,rhinoceros,swordfish,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,piranha,octopus,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,lion,puma,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
S100,beetle,hummingbird,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,chipmunk,rabbit,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,mongoose,owl,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
S100,wolverine,beaver,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
S100,pelican,cuttlefish,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,jellyfish,owl,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,chicken,mule,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,dog,lynx,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,bobcat,polarbear,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,panda,mosquito,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,jaguar,lynx,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
S100,crocodile,puma,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
S100,magpie,sparrow,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,tortoise,seal,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,goat,buffalo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,cassowary,alligator,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,snake,mountainlion,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,eagle,chipmunk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,rat,guineapig,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,octopus,fish,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,possum,turtle,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,woodpecker,polarbear,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,fly,moth,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,pelican,polarbear,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,komododragon,cheetah,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,skunk,armadillo,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,eel,alligator,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,seal,walrus,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,monkey,gorilla,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
S100,pigeon,tarantula,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,ape,gorilla,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
S100,llama,alligator,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,stingray,octopus,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,eagle,vulture,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,bluejay,owl,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,swallow,flamingo,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,hawk,parrot,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,butterfly,snail,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,cow,shrimp,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,snake,rattlesnake,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,snake,cockroach,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,grasshopper,antelope,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,squid,gecko,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,peacock,rooster,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,goose,skunk,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,emu,beaver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
