subj,method,item1,item2,edge
S101,uinvite_flat,cat,dog,1
S101,uinvite_flat,cat,rabbit,0
S101,uinvite_flat,dog,rabbit,1
S101,uinvite_flat,cat,turtle,0
S101,uinvite_flat,dog,turtle,0
S101,uinvite_flat,rabbit,turtle,1
S101,uinvite_flat,bird,cat,0
S101,uinvite_flat,bird,dog,0
S101,uinvite_flat,bird,rabbit,0
S101,uinvite_flat,bird,turtle,1
S101,uinvite_flat,cat,giraffe,0
S101,uinvite_flat,dog,giraffe,0
S101,uinvite_flat,giraffe,rabbit,0
S101,uinvite_flat,giraffe,turtle,0
S101,uinvite_flat,bird,giraffe,1
S101,uinvite_flat,antelope,cat,0
S101,uinvite_flat,antelope,dog,0
S101,uinvite_flat,antelope,rabbit,0
S101,uinvite_flat,antelope,turtle,0
S101,uinvite_flat,antelope,bird,0
S101,uinvite_flat,antelope,giraffe,1
S101,uinvite_flat,buffalo,cat,0
S101,uinvite_flat,buffalo,dog,0
S101,uinvite_flat,buffalo,rabbit,0
S101,uinvite_flat,buffalo,turtle,0
S101,uinvite_flat,bird,buffalo,0
S101,uinvite_flat,buffalo,giraffe,0
S101,uinvite_flat,antelope,buffalo,1
S101,uinvite_flat,cat,deer,0
S101,uinvite_flat,deer,dog,0
S101,uinvite_flat,deer,rabbit,0
S101,uinvite_flat,deer,turtle,0
S101,uinvite_flat,bird,deer,0
S101,uinvite_flat,deer,giraffe,0
S101,uinvite_flat,antelope,deer,0
S101,uinvite_flat,buffalo,deer,1
S101,uinvite_flat,cat,cow,0
S101,uinvite_flat,cow,dog,0
S101,uinvite_flat,cow,rabbit,0
S101,uinvite_flat,cow,turtle,0
S101,uinvite_flat,bird,cow,0
S101,uinvite_flat,cow,giraffe,0
S101,uinvite_flat,antelope,cow,0
S101,uinvite_flat,buffalo,cow,0
S101,uinvite_flat,cow,deer,1
S101,uinvite_flat,cat,pig,0
S101,uinvite_flat,dog,pig,0
S101,uinvite_flat,pig,rabbit,0
S101,uinvite_flat,pig,turtle,0
S101,uinvite_flat,bird,pig,0
S101,uinvite_flat,giraffe,pig,0
S101,uinvite_flat,antelope,pig,0
S101,uinvite_flat,buffalo,pig,0
S101,uinvite_flat,deer,pig,0
S101,uinvite_flat,cow,pig,1
S101,uinvite_flat,cat,hamster,0
S101,uinvite_flat,dog,hamster,1
S101,uinvite_flat,hamster,rabbit,0
S101,uinvite_flat,hamster,turtle,0
S101,uinvite_flat,bird,hamster,0
S101,uinvite_flat,giraffe,hamster,0
S101,uinvite_flat,antelope,hamster,0
S101,uinvite_flat,buffalo,hamster,0
S101,uinvite_flat,deer,hamster,0
S101,uinvite_flat,cow,hamster,0
S101,uinvite_flat,hamster,pig,1
S101,uinvite_flat,cat,gerbil,0
S101,uinvite_flat,dog,gerbil,0
S101,uinvite_flat,gerbil,rabbit,0
S101,uinvite_flat,gerbil,turtle,0
S101,uinvite_flat,bird,gerbil,0
S101,uinvite_flat,gerbil,giraffe,0
S101,uinvite_flat,antelope,gerbil,0
S101,uinvite_flat,buffalo,gerbil,0
S101,uinvite_flat,deer,gerbil,0
S101,uinvite_flat,cow,gerbil,0
S101,uinvite_flat,gerbil,pig,0
S101,uinvite_flat,gerbil,hamster,1
S101,uinvite_flat,cat,parrot,0
S101,uinvite_flat,dog,parrot,0
S101,uinvite_flat,parrot,rabbit,0
S101,uinvite_flat,parrot,turtle,0
S101,uinvite_flat,bird,parrot,0
S101,uinvite_flat,giraffe,parrot,0
S101,uinvite_flat,antelope,parrot,0
S101,uinvite_flat,buffalo,parrot,0
S101,uinvite_flat,deer,parrot,0
S101,uinvite_flat,cow,parrot,0
S101,uinvite_flat,parrot,pig,0
S101,uinvite_flat,hamster,parrot,0
S101,uinvite_flat,gerbil,parrot,1
S101,uinvite_flat,cat,parakeet,0
S101,uinvite_flat,dog,parakeet,0
S101,uinvite_flat,parakeet,rabbit,0
S101,uinvite_flat,parakeet,turtle,0
S101,uinvite_flat,bird,parakeet,0
S101,uinvite_flat,giraffe,parakeet,0
S101,uinvite_flat,antelope,parakeet,0
S101,uinvite_flat,buffalo,parakeet,0
S101,uinvite_flat,deer,parakeet,0
S101,uinvite_flat,cow,parakeet,0
S101,uinvite_flat,parakeet,pig,0
S101,uinvite_flat,hamster,parakeet,0
S101,uinvite_flat,gerbil,parakeet,0
S101,uinvite_flat,parakeet,parrot,1
S101,uinvite_flat,cat,snake,0
S101,uinvite_flat,dog,snake,0
S101,uinvite_flat,rabbit,snake,0
S101,uinvite_flat,snake,turtle,0
S101,uinvite_flat,bird,snake,0
S101,uinvite_flat,giraffe,snake,0
S101,uinvite_flat,antelope,snake,0
S101,uinvite_flat,buffalo,snake,0
S101,uinvite_flat,deer,snake,0
S101,uinvite_flat,cow,snake,0
S101,uinvite_flat,pig,snake,0
S101,uinvite_flat,hamster,snake,0
S101,uinvite_flat,gerbil,snake,0
S101,uinvite_flat,parrot,snake,0
S101,uinvite_flat,parakeet,snake,1
S101,uinvite_flat,cat,snail,0
S101,uinvite_flat,dog,snail,0
S101,uinvite_flat,rabbit,snail,0
S101,uinvite_flat,snail,turtle,0
S101,uinvite_flat,bird,snail,0
S101,uinvite_flat,giraffe,snail,0
S101,uinvite_flat,antelope,snail,0
S101,uinvite_flat,buffalo,snail,0
S101,uinvite_flat,deer,snail,0
S101,uinvite_flat,cow,snail,0
S101,uinvite_flat,pig,snail,0
S101,uinvite_flat,hamster,snail,0
S101,uinvite_flat,gerbil,snail,0
S101,uinvite_flat,parrot,snail,0
S101,uinvite_flat,parakeet,snail,0
S101,uinvite_flat,snail,snake,1
S101,uinvite_flat,alligator,cat,0
S101,uinvite_flat,alligator,dog,0
S101,uinvite_flat,alligator,rabbit,0
S101,uinvite_flat,alligator,turtle,0
S101,uinvite_flat,alligator,bird,0
S101,uinvite_flat,alligator,giraffe,0
S101,uinvite_flat,alligator,antelope,0
S101,uinvite_flat,alligator,buffalo,0
S101,uinvite_flat,alligator,deer,0
S101,uinvite_flat,alligator,cow,0
S101,uinvite_flat,alligator,pig,0
S101,uinvite_flat,alligator,hamster,0
S101,uinvite_flat,alligator,gerbil,0
S101,uinvite_flat,alligator,parrot,0
S101,uinvite_flat,alligator,parakeet,0
S101,uinvite_flat,alligator,snake,0
S101,uinvite_flat,alligator,snail,1
S101,uinvite_flat,cat,crocodile,0
S101,uinvite_flat,crocodile,dog,0
S101,uinvite_flat,crocodile,rabbit,0
S101,uinvite_flat,crocodile,turtle,0
S101,uinvite_flat,bird,crocodile,0
S101,uinvite_flat,crocodile,giraffe,0
S101,uinvite_flat,antelope,crocodile,0
S101,uinvite_flat,buffalo,crocodile,0
S101,uinvite_flat,crocodile,deer,0
S101,uinvite_flat,cow,crocodile,0
S101,uinvite_flat,crocodile,pig,0
S101,uinvite_flat,crocodile,hamster,0
S101,uinvite_flat,crocodile,gerbil,0
S101,uinvite_flat,crocodile,parrot,0
S101,uinvite_flat,crocodile,parakeet,0
S101,uinvite_flat,crocodile,snake,0
S101,uinvite_flat,crocodile,snail,1
S101,uinvite_flat,alligator,crocodile,1
S101,uinvite_flat,cat,guineapig,0
S101,uinvite_flat,dog,guineapig,0
S101,uinvite_flat,guineapig,rabbit,0
S101,uinvite_flat,guineapig,turtle,0
S101,uinvite_flat,bird,guineapig,0
S101,uinvite_flat,giraffe,guineapig,0
S101,uinvite_flat,antelope,guineapig,0
S101,uinvite_flat,buffalo,guineapig,0
S101,uinvite_flat,deer,guineapig,0
S101,uinvite_flat,cow,guineapig,0
S101,uinvite_flat,guineapig,pig,0
S101,uinvite_flat,guineapig,hamster,0
S101,uinvite_flat,gerbil,guineapig,0
S101,uinvite_flat,guineapig,parrot,0
S101,uinvite_flat,guineapig,parakeet,0
S101,uinvite_flat,guineapig,snake,0
S101,uinvite_flat,guineapig,snail,0
S101,uinvite_flat,alligator,guineapig,0
S101,uinvite_flat,crocodile,guineapig,1
S101,uinvite_flat,cat,rhinoceros,0
S101,uinvite_flat,dog,rhinoceros,0
S101,uinvite_flat,rabbit,rhinoceros,0
S101,uinvite_flat,rhinoceros,turtle,0
S101,uinvite_flat,bird,rhinoceros,0
S101,uinvite_flat,giraffe,rhinoceros,1
S101,uinvite_flat,antelope,rhinoceros,0
S101,uinvite_flat,buffalo,rhinoceros,0
S101,uinvite_flat,deer,rhinoceros,0
S101,uinvite_flat,cow,rhinoceros,0
S101,uinvite_flat,pig,rhinoceros,0
S101,uinvite_flat,hamster,rhinoceros,0
S101,uinvite_flat,gerbil,rhinoceros,0
S101,uinvite_flat,parrot,rhinoceros,0
S101,uinvite_flat,parakeet,rhinoceros,0
S101,uinvite_flat,rhinoceros,snake,0
S101,uinvite_flat,rhinoceros,snail,0
S101,uinvite_flat,alligator,rhinoceros,0
S101,uinvite_flat,crocodile,rhinoceros,0
S101,uinvite_flat,guineapig,rhinoceros,1
S101,uinvite_flat,cat,elephant,0
S101,uinvite_flat,dog,elephant,0
S101,uinvite_flat,elephant,rabbit,0
S101,uinvite_flat,elephant,turtle,0
S101,uinvite_flat,bird,elephant,0
S101,uinvite_flat,elephant,giraffe,0
S101,uinvite_flat,antelope,elephant,0
S101,uinvite_flat,buffalo,elephant,0
S101,uinvite_flat,deer,elephant,0
S101,uinvite_flat,cow,elephant,0
S101,uinvite_flat,elephant,pig,0
S101,uinvite_flat,elephant,hamster,0
S101,uinvite_flat,elephant,gerbil,0
S101,uinvite_flat,elephant,parrot,0
S101,uinvite_flat,elephant,parakeet,0
S101,uinvite_flat,elephant,snake,0
S101,uinvite_flat,elephant,snail,0
S101,uinvite_flat,alligator,elephant,0
S101,uinvite_flat,crocodile,elephant,0
S101,uinvite_flat,elephant,guineapig,0
S101,uinvite_flat,elephant,rhinoceros,1
S101,uinvite_flat,cat,panda,0
S101,uinvite_flat,dog,panda,0
S101,uinvite_flat,panda,rabbit,0
S101,uinvite_flat,panda,turtle,0
S101,uinvite_flat,bird,panda,0
S101,uinvite_flat,giraffe,panda,0
S101,uinvite_flat,antelope,panda,0
S101,uinvite_flat,buffalo,panda,0
S101,uinvite_flat,deer,panda,0
S101,uinvite_flat,cow,panda,0
S101,uinvite_flat,panda,pig,0
S101,uinvite_flat,hamster,panda,0
S101,uinvite_flat,gerbil,panda,0
S101,uinvite_flat,panda,parrot,0
S101,uinvite_flat,panda,parakeet,0
S101,uinvite_flat,panda,snake,0
S101,uinvite_flat,panda,snail,0
S101,uinvite_flat,alligator,panda,0
S101,uinvite_flat,crocodile,panda,0
S101,uinvite_flat,guineapig,panda,0
S101,uinvite_flat,panda,rhinoceros,0
S101,uinvite_flat,elephant,panda,1
S101,uinvite_flat,bear,cat,0
S101,uinvite_flat,bear,dog,0
S101,uinvite_flat,bear,rabbit,0
S101,uinvite_flat,bear,turtle,0
S101,uinvite_flat,bear,bird,0
S101,uinvite_flat,bear,giraffe,0
S101,uinvite_flat,antelope,bear,0
S101,uinvite_flat,bear,buffalo,0
S101,uinvite_flat,bear,deer,0
S101,uinvite_flat,bear,cow,0
S101,uinvite_flat,bear,pig,0
S101,uinvite_flat,bear,hamster,0
S101,uinvite_flat,bear,gerbil,0
S101,uinvite_flat,bear,parrot,0
S101,uinvite_flat,bear,parakeet,0
S101,uinvite_flat,bear,snake,0
S101,uinvite_flat,bear,snail,0
S101,uinvite_flat,alligator,bear,0
S101,uinvite_flat,bear,crocodile,0
S101,uinvite_flat,bear,guineapig,0
S101,uinvite_flat,bear,rhinoceros,0
S101,uinvite_flat,bear,elephant,0
S101,uinvite_flat,bear,panda,1
S101,uinvite_flat,cat,lion,0
S101,uinvite_flat,dog,lion,0
S101,uinvite_flat,lion,rabbit,0
S101,uinvite_flat,lion,turtle,0
S101,uinvite_flat,bird,lion,0
S101,uinvite_flat,giraffe,lion,0
S101,uinvite_flat,antelope,lion,0
S101,uinvite_flat,buffalo,lion,0
S101,uinvite_flat,deer,lion,0
S101,uinvite_flat,cow,lion,0
S101,uinvite_flat,lion,pig,0
S101,uinvite_flat,hamster,lion,0
S101,uinvite_flat,gerbil,lion,0
S101,uinvite_flat,lion,parrot,0
S101,uinvite_flat,lion,parakeet,0
S101,uinvite_flat,lion,snake,0
S101,uinvite_flat,lion,snail,0
S101,uinvite_flat,alligator,lion,0
S101,uinvite_flat,crocodile,lion,0
S101,uinvite_flat,guineapig,lion,0
S101,uinvite_flat,lion,rhinoceros,0
S101,uinvite_flat,elephant,lion,0
S101,uinvite_flat,lion,panda,1
S101,uinvite_flat,bear,lion,1
S101,uinvite_flat,cat,tiger,0
S101,uinvite_flat,dog,tiger,0
S101,uinvite_flat,rabbit,tiger,0
S101,uinvite_flat,tiger,turtle,0
S101,uinvite_flat,bird,tiger,0
S101,uinvite_flat,giraffe,tiger,0
S101,uinvite_flat,antelope,tiger,0
S101,uinvite_flat,buffalo,tiger,0
S101,uinvite_flat,deer,tiger,0
S101,uinvite_flat,cow,tiger,0
S101,uinvite_flat,pig,tiger,0
S101,uinvite_flat,hamster,tiger,0
S101,uinvite_flat,gerbil,tiger,0
S101,uinvite_flat,parrot,tiger,0
S101,uinvite_flat,parakeet,tiger,0
S101,uinvite_flat,snake,tiger,0
S101,uinvite_flat,snail,tiger,0
S101,uinvite_flat,alligator,tiger,0
S101,uinvite_flat,crocodile,tiger,0
S101,uinvite_flat,guineapig,tiger,0
S101,uinvite_flat,rhinoceros,tiger,0
S101,uinvite_flat,elephant,tiger,0
S101,uinvite_flat,panda,tiger,0
S101,uinvite_flat,bear,tiger,1
S101,uinvite_flat,lion,tiger,1
S101,uinvite_flat,cat,raccoon,0
S101,uinvite_flat,dog,raccoon,0
S101,uinvite_flat,rabbit,raccoon,0
S101,uinvite_flat,raccoon,turtle,1
S101,uinvite_flat,bird,raccoon,0
S101,uinvite_flat,giraffe,raccoon,0
S101,uinvite_flat,antelope,raccoon,0
S101,uinvite_flat,buffalo,raccoon,0
S101,uinvite_flat,deer,raccoon,0
S101,uinvite_flat,cow,raccoon,0
S101,uinvite_flat,pig,raccoon,0
S101,uinvite_flat,hamster,raccoon,0
S101,uinvite_flat,gerbil,raccoon,0
S101,uinvite_flat,parrot,raccoon,0
S101,uinvite_flat,parakeet,raccoon,0
S101,uinvite_flat,raccoon,snake,0
S101,uinvite_flat,raccoon,snail,0
S101,uinvite_flat,alligator,raccoon,0
S101,uinvite_flat,crocodile,raccoon,0
S101,uinvite_flat,guineapig,raccoon,0
S101,uinvite_flat,raccoon,rhinoceros,0
S101,uinvite_flat,elephant,raccoon,0
S101,uinvite_flat,panda,raccoon,1
S101,uinvite_flat,bear,raccoon,0
S101,uinvite_flat,lion,raccoon,0
S101,uinvite_flat,raccoon,tiger,0
S101,uinvite_flat,cat,ferret,0
S101,uinvite_flat,dog,ferret,0
S101,uinvite_flat,ferret,rabbit,0
S101,uinvite_flat,ferret,turtle,1
S101,uinvite_flat,bird,ferret,0
S101,uinvite_flat,ferret,giraffe,0
S101,uinvite_flat,antelope,ferret,0
S101,uinvite_flat,buffalo,ferret,0
S101,uinvite_flat,deer,ferret,0
S101,uinvite_flat,cow,ferret,0
S101,uinvite_flat,ferret,pig,0
S101,uinvite_flat,ferret,hamster,0
S101,uinvite_flat,ferret,gerbil,1
S101,uinvite_flat,ferret,parrot,0
S101,uinvite_flat,ferret,parakeet,0
S101,uinvite_flat,ferret,snake,1
S101,uinvite_flat,ferret,snail,0
S101,uinvite_flat,alligator,ferret,0
S101,uinvite_flat,crocodile,ferret,0
S101,uinvite_flat,ferret,guineapig,0
S101,uinvite_flat,ferret,rhinoceros,0
S101,uinvite_flat,elephant,ferret,0
S101,uinvite_flat,ferret,panda,0
S101,uinvite_flat,bear,ferret,0
S101,uinvite_flat,ferret,lion,0
S101,uinvite_flat,ferret,tiger,0
S101,uinvite_flat,ferret,raccoon,1
S101,uinvite_flat,cat,possum,0
S101,uinvite_flat,dog,possum,0
S101,uinvite_flat,possum,rabbit,0
S101,uinvite_flat,possum,turtle,0
S101,uinvite_flat,bird,possum,0
S101,uinvite_flat,giraffe,possum,1
S101,uinvite_flat,antelope,possum,0
S101,uinvite_flat,buffalo,possum,0
S101,uinvite_flat,deer,possum,0
S101,uinvite_flat,cow,possum,0
S101,uinvite_flat,pig,possum,0
S101,uinvite_flat,hamster,possum,0
S101,uinvite_flat,gerbil,possum,0
S101,uinvite_flat,parrot,possum,0
S101,uinvite_flat,parakeet,possum,0
S101,uinvite_flat,possum,snake,0
S101,uinvite_flat,possum,snail,0
S101,uinvite_flat,alligator,possum,0
S101,uinvite_flat,crocodile,possum,0
S101,uinvite_flat,guineapig,possum,0
S101,uinvite_flat,possum,rhinoceros,0
S101,uinvite_flat,elephant,possum,0
S101,uinvite_flat,panda,possum,0
S101,uinvite_flat,bear,possum,0
S101,uinvite_flat,lion,possum,0
S101,uinvite_flat,possum,tiger,0
S101,uinvite_flat,possum,raccoon,1
S101,uinvite_flat,ferret,possum,1
S101,uinvite_flat,cat,duck,0
S101,uinvite_flat,dog,duck,0
S101,uinvite_flat,duck,rabbit,0
S101,uinvite_flat,duck,turtle,0
S101,uinvite_flat,bird,duck,0
S101,uinvite_flat,duck,giraffe,0
S101,uinvite_flat,antelope,duck,0
S101,uinvite_flat,buffalo,duck,0
S101,uinvite_flat,deer,duck,0
S101,uinvite_flat,cow,duck,0
S101,uinvite_flat,duck,pig,0
S101,uinvite_flat,duck,hamster,0
S101,uinvite_flat,duck,gerbil,0
S101,uinvite_flat,duck,parrot,0
S101,uinvite_flat,duck,parakeet,0
S101,uinvite_flat,duck,snake,0
S101,uinvite_flat,duck,snail,0
S101,uinvite_flat,alligator,duck,0
S101,uinvite_flat,crocodile,duck,0
S101,uinvite_flat,duck,guineapig,0
S101,uinvite_flat,duck,rhinoceros,0
S101,uinvite_flat,duck,elephant,0
S101,uinvite_flat,duck,panda,0
S101,uinvite_flat,bear,duck,0
S101,uinvite_flat,duck,lion,0
S101,uinvite_flat,duck,tiger,0
S101,uinvite_flat,duck,raccoon,0
S101,uinvite_flat,duck,ferret,0
S101,uinvite_flat,duck,possum,1
S101,uinvite_flat,cat,kangaroo,0
S101,uinvite_flat,dog,kangaroo,0
S101,uinvite_flat,kangaroo,rabbit,0
S101,uinvite_flat,kangaroo,turtle,0
S101,uinvite_flat,bird,kangaroo,0
S101,uinvite_flat,giraffe,kangaroo,0
S101,uinvite_flat,antelope,kangaroo,0
S101,uinvite_flat,buffalo,kangaroo,0
S101,uinvite_flat,deer,kangaroo,0
S101,uinvite_flat,cow,kangaroo,0
S101,uinvite_flat,kangaroo,pig,0
S101,uinvite_flat,hamster,kangaroo,0
S101,uinvite_flat,gerbil,kangaroo,0
S101,uinvite_flat,kangaroo,parrot,1
S101,uinvite_flat,kangaroo,parakeet,0
S101,uinvite_flat,kangaroo,snake,0
S101,uinvite_flat,kangaroo,snail,0
S101,uinvite_flat,alligator,kangaroo,0
S101,uinvite_flat,crocodile,kangaroo,0
S101,uinvite_flat,guineapig,kangaroo,0
S101,uinvite_flat,kangaroo,rhinoceros,0
S101,uinvite_flat,elephant,kangaroo,0
S101,uinvite_flat,kangaroo,panda,1
S101,uinvite_flat,bear,kangaroo,0
S101,uinvite_flat,kangaroo,lion,0
S101,uinvite_flat,kangaroo,tiger,0
S101,uinvite_flat,kangaroo,raccoon,0
S101,uinvite_flat,ferret,kangaroo,0
S101,uinvite_flat,kangaroo,possum,0
S101,uinvite_flat,duck,kangaroo,1
S101,uinvite_flat,cat,eel,0
S101,uinvite_flat,dog,eel,0
