numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,other_limit,followtype,windowgraph_threshold,prior_samplesize,startGraph,windowgraph_size,triangle_limit,prune_limit,numedges,graph_seed,x_seed,truegraph,ll_tg,method,cost,ll,time,bestgraph,hit,miss,fa,cr
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,,windowgraph,181.0,-inf,0:00:00.910738,:qb_WTKIJacxtsR`IxbucPTOzSV?T,12,178,3,1032
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,185,2,4,:q_O?K?AA_?OOM?@@?ocCECAo?GKH@@@O{CHA@`_weCBB@wGGIIDo?Wm?BA`wGSSJ``?sCN?AbW?GYMHO?GGL??cW?OIRIp?gWWN_@PhMABJEG?GLBA@QkSMHJDw@ClDHOOWOOS_?OO[QU_Dg?KMMHpQXcw`__oc?ATJO?gscRNRQPLL@NsqqXNFHgg?SeX`fscK[RPP@Gi?PMo@?wobeca`_z,,windowgraph,175.0,-inf,0:00:00.055804,:qg@i_IoSjUqm?laDxO?FMRn{@@ap,12,173,2,1038
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,177,5,6,:q_O?K?AA_?OOM?@@?ocKGD__ocCEF`?o_U?@@`pCOJ@BagGiCBBAW?CGDCo__[RIGO?WQQOGo?GOdBAAACOJ??`@S?CDFo?_[WNJoOg[rA@aWOOIIKEWG[WYcbq@M?BADWGSgY__owaGDKEYHM?QJFGWS]O`aRsKIOaA@`A?@@as{CMGOoAppH@DBY@K|A@b@h\TBAAACKKMmHD^,,windowgraph,175.0,-inf,0:00:00.041138,:qj`JPQb_IEhEKfgEZ@EwYgwCn,7,170,5,1043
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,153,7,7,:q_O?K?AA_?OOM?@@?ocCFBAo_{GIE__og]DDBAW?EGFEO`C?AJFo_ocX@A`pSCCDEpOoob@BcghQABBAhPYIEIDggcWM_`_x]ADFO_waIKFO?Gk^@AqQ{SYR`AqC?CGCcwow|]`Fs[SgXacsSseaegdS?ACFOOg[j??br{?ANNppGghABBCf,,windowgraph,146.0,-inf,0:00:00.053889,:q_P?[cJRCtO|ch\CVoCmWVLwp]S[]raryNQQPYqQf[N,15,138,8,1064
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,181,8,11,:q_O?K?AA_?OOM?@@?ocCECApOsKGD`?o_aAAAAG?CGD___gYACAaG?CGD_@?gWT@@`?ouGE_?Oos^@@`@cCGGEcgGOZ??`?kCGDDoo__QL__pGiGPaDgWgUV_bWOKT@@`G?wmYaaPo{h?A@OsGWQKoog]IIEbg?scSaeBqQAC``@hCl??ap_uGOIhgGkWLaeG?OYMPO@q@Adaab{K]eT^,,windowgraph,168.0,-inf,0:00:00.048620,:qc_i?aqOldjguCIoBkOmcXbrkxbSKvGm@}]i,16,165,3,1041
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,,windowgraph,181.0,-inf,0:00:00.265675,:qb_WTKIJacxtsR`IxbucPTOzSV?T,12,178,3,1032
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,185,2,4,:q_O?K?AA_?OOM?@@?ocCECAo?GKH@@@O{CHA@`_weCBB@wGGIIDo?Wm?BA`wGSSJ``?sCN?AbW?GYMHO?GGL??cW?OIRIp?gWWN_@PhMABJEG?GLBA@QkSMHJDw@ClDHOOWOOS_?OO[QU_Dg?KMMHpQXcw`__oc?ATJO?gscRNRQPLL@NsqqXNFHgg?SeX`fscK[RPP@Gi?PMo@?wobeca`_z,,windowgraph,175.0,-inf,0:00:00.239836,:qg@i_IoSjUqm?laDxO?FMRn{@@ap,12,173,2,1038
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,177,5,6,:q_O?K?AA_?OOM?@@?ocKGD__ocCEF`?o_U?@@`pCOJ@BagGiCBBAW?CGDCo__[RIGO?WQQOGo?GOdBAAACOJ??`@S?CDFo?_[WNJoOg[rA@aWOOIIKEWG[WYcbq@M?BADWGSgY__owaGDKEYHM?QJFGWS]O`aRsKIOaA@`A?@@as{CMGOoAppH@DBY@K|A@b@h\TBAAACKKMmHD^,,windowgraph,175.0,-inf,0:00:00.285745,:qj`JPQb_IEhEKfgEZ@EwYgwCn,7,170,5,1043
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,153,7,7,:q_O?K?AA_?OOM?@@?ocCFBAo_{GIE__og]DDBAW?EGFEO`C?AJFo_ocX@A`pSCCDEpOoob@BcghQABBAhPYIEIDggcWM_`_x]ADFO_waIKFO?Gk^@AqQ{SYR`AqC?CGCcwow|]`Fs[SgXacsSseaegdS?ACFOOg[j??br{?ANNppGghABBCf,,windowgraph,146.0,-inf,0:00:00.294207,:q_P?[cJRCtO|ch\CVoCmWVLwp]S[]raryNQQPYqQf[N,15,138,8,1064
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,181,8,11,:q_O?K?AA_?OOM?@@?ocCECApOsKGD`?o_aAAAAG?CGD___gYACAaG?CGD_@?gWT@@`?ouGE_?Oos^@@`@cCGGEcgGOZ??`?kCGDDoo__QL__pGiGPaDgWgUV_bWOKT@@`G?wmYaaPo{h?A@OsGWQKoog]IIEbg?scSaeBqQAC``@hCl??ap_uGOIhgGkWLaeG?OYMPO@q@Adaab{K]eT^,,windowgraph,168.0,-inf,0:00:00.272667,:qc_i?aqOldjguCIoBkOmcXbrkxbSKvGm@}]i,16,165,3,1041
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,,windowgraph,181.0,-inf,0:00:00.071312,:qb_Xw]eDDpQ[ymOl?{HVK]saIiFWKRI{V?T,14,176,5,1030
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,167,2,2,:q_O?K?AA_?OOM?@@?oc?AD_?o_Y?@A@OsMCDBO?GIAA@aG?CMGbbWOQ?@@o?w_\ECCW?CIJGO?WOVEGcgOO^@CCQcKWN_?p`Y?DCbACWbA@ap{KGGIR@xaAAKo?OmAGJoA@M?ADgIhmABAdr|UCNJO_giCCCDbkOWSKOP`hTBA@`pEMPIGg`aCNJHwGKQXMRApd`,,windowgraph,154.0,-inf,0:00:00.068694,:qa_H?YWGf_yGybUFvOdbA@pgJ[s~fJQlYi[PvF}@b,17,150,4,1054
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,182,3,3,:q_O?K?AA_?OOM?@@?ocCECAoogYACBoOWOKG_?o_UAAA@wGOR@A@_{CEEBagOOVDDB@g}EI_?ogy?AAAgGSMI`@?hA?ADRAXUGNGPpPIOHER@hUCDCBw?gaRJPqPeGDBbXx?iW`@qCKQIGp?h}ABBA@GqEIIGgGGIHcdr[KGGITQxl@@BChx?pCAbss?k\iFSS?ADDcqkCIFGhCkGEGEjN,,windowgraph,178.0,-inf,0:00:00.083057,:qb?x?U[KgByWAk?GuQsan]HPykonIGxqMkxl?CqshDoBzN,15,167,11,1032
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,170,4,4,:q_O?K?AA_?OOM?@@?oc?AAAOOgY?ABO_W]CBAOOOKHDB@pK[XCA`g?GEGCo?WSL@@@`sCIHDcGWST?@BwG__S_@aPUAK_`PsOKFFPOpAAFEEWgm?@@@bS?EN_ew?MCFCb@{CKYMoq@Gt@IDgOk__PoQ@OlDGCaiMQJPsAPUIM_CAQYKOLHS{SKGFcGPDGelfwHQMYTJ^,,windowgraph,162.0,-inf,0:00:00.064347,:qebHweeIjDZgA}Vob[XIl_sG|ORWYexJ|Oj,13,157,5,1050
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,165,5,5,:q_O?K?AA_?OOM?@@?oc?GD_?O[?EDBOOOOJ@A@WGOJAA@W?KL??_p[?ECCooc?EDBp`?y?FGo?WUIMFdG_iEFHoAS?EE_?OSCMI``O{CCCIDRcCIIDo`?gUPaArPuGGEcRS?EHDcX@i?H_@r{Sw\bcwGg|JNGGwgvCAaaHQATMgCsc]T`@?kSSj_@PPT\CBCbN,,windowgraph,149.0,-inf,0:00:00.081742,:qeaI?QcEibjGY}Goa@kfGHnxq\z@Fw`aPf,17,148,1,1059
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,,windowgraph,181.0,-inf,0:00:00.067217,:qb_Xw]eDDpQ[ymOl?{HVK]saIiFWKRI{V?T,14,176,5,1030
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,167,2,2,:q_O?K?AA_?OOM?@@?oc?AD_?o_Y?@A@OsMCDBO?GIAA@aG?CMGbbWOQ?@@o?w_\ECCW?CIJGO?WOVEGcgOO^@CCQcKWN_?p`Y?DCbACWbA@ap{KGGIR@xaAAKo?OmAGJoA@M?ADgIhmABAdr|UCNJO_giCCCDbkOWSKOP`hTBA@`pEMPIGg`aCNJHwGKQXMRApd`,,windowgraph,154.0,-inf,0:00:00.060623,:qa_H?YWGf_yGybUFvOdbA@pgJ[s~fJQlYi[PvF}@b,17,150,4,1054
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,182,3,3,:q_O?K?AA_?OOM?@@?ocCECAoogYACBoOWOKG_?o_UAAA@wGOR@A@_{CEEBagOOVDDB@g}EI_?ogy?AAAgGSMI`@?hA?ADRAXUGNGPpPIOHER@hUCDCBw?gaRJPqPeGDBbXx?iW`@qCKQIGp?h}ABBA@GqEIIGgGGIHcdr[KGGITQxl@@BChx?pCAbss?k\iFSS?ADDcqkCIFGhCkGEGEjN,,windowgraph,178.0,-inf,0:00:00.094999,:qb?x?U[KgByWAk?GuQsan]HPykonIGxqMkxl?CqshDoBzN,15,167,11,1032
