numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_rw,time_rw,bestgraph_rw,hit_rw,miss_rw,fa_rw,cr_rw,ll_rw,cost_fe,time_fe,bestgraph_fe,hit_fe,miss_fe,fa_fe,cr_fe,ll_fe,cost_uinvite,time_uinvite,bestgraph_uinvite,hit_uinvite,miss_uinvite,fa_uinvite,cr_uinvite,ll_uinvite,cost_windowgraph,time_windowgraph,bestgraph_windowgraph,hit_windowgraph,miss_windowgraph,fa_windowgraph,cr_windowgraph,ll_windowgraph
6,0.3,steyvers,4,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,184,117,118,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-441.793229745,,,,158.0,0:00:00.006342,:q`?WGII?AOwOQN?AaG?YIH_?WGMCKEo_WSLMFp?gYADEBggiAC_opxA?BHP`kW]UJeG_k[TJpp@iyLcA`_}CDCBPsObFHO`P[rLHdaxaKHDAp`yU]QRPxpD?@`HWqKRKfXPhB?CawO[cRLhHP?mXTORXo{^POrXpIf_APWwmjUP@x?kXW^,87,97,61,980,-302.682780965,179.0,0:00:00.000461,:q`?XgMqWqAl`J,5,179,0,1041,-inf,156.0,0:00:01.439651,:q`?WGII?AOwOQN?AaG?YIH_?WGMCKEo_WSLMFp?gYADEBggiAC_opxA?BHP`kW]UJeG_k[TJpp@iyLcA`_}CDCBPsObFHO`P[rLHdaxaKHDAp`yU]QRPxpD?@`HWqKRKfXPhB?CawO[cRLhHP?mXTORXo{^POrXpIf_ApqlXCFcApd`,87,97,59,982,-302.59263323,174.0,0:00:00.040370,:qc@xCkRPATaDcL_A@QMKpjDzQF?VU,12,172,2,1039,-inf
6,0.3,steyvers,4,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,177,119,120,:q_O?K?AA_?OOM?@@?oc?AD_`gGGEF___wa?BA@PC?ACAaGGGJCAa@[GEEDO_w_R@@@p{_^@Cap{?MHGO__kWLa@Qc?CCCBhGk]Q_a@o}ACFCGGGJEDBbC_hHFdwW_\CCAwHG~??_`SCCFFqqH_w]_?OolB@COP?{kWMO@[CIEBhGG{nHFfW?giU`aBSXGgaAph}GMOq@xE?@ABQn,-442.997258294,,,,168.0,0:00:00.006280,:q`_gC[CDBOo{CCF_@?k?IIe_OkGECA``SaKFh?@Gk\AFcASoZDaAHXAAM_cGGS`IJDrK_]SJQQ{GEGFEJkC]^___o[UKNp`Gg]OMRQHo|?@@`aEnBGDApa?CCaqSCIFLgcaY]dSTrTCi^dBBQDCebAqaPPLLFs{OIMOts[siaT~,75,102,66,982,-292.279218693,172.0,0:00:00.000462,:qc_ioaq@o_[pb,5,172,0,1048,-inf,164.0,0:00:01.556255,:q`_gC[CDBOo{CCF_@?k?IIe_OkGECA``SaKFh?@Gk\AFcASoZDaAHXAAM_cGGS`IJDrK_gUcdwOKOMKVWG{~@@@pX}KHDBq@qYPMFg?GKKOtwX?gUKO?_cV@A`rYHGefhTD[tPIfxOos`PHgokgcSRRP|NCAbcL\FLIgd^,75,102,62,986,-291.450521758,167.0,0:00:00.038154,:qc?xWA[Bg@i_qZGkcJh]F_Nx??ZQNuBGvCij,14,163,4,1044,-inf
6,0.3,steyvers,4,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,193,121,125,:q_O?K?AA_?OOM?@@?oc?AAA@WGOJA@`WOKH??_p?e?AAA@S?CCAa`[?CDB@wGGMGEoOOS\?@?og]CCDbw?[ZJFCW?KOH_@@PMESdbaHMGE_`q@IILIDW_iQKIo?os[O_b`{s[\dcQh]CJEDRk?CLLFW_SW[Oo`XSz?@aqH`FAFBqxyADCb@kGi\fFw?h?`_?ogwr@EcAS?ECLHw?O_SJO`iIAFFCg__SdT~,-456.524615228,,,,185.0,0:00:00.006290,:q`_gKWJ@AOwGGHFe??gWSJa`wg[Z@AbgWWMJ`@@W}EF__`GmEFCp@PMQS_AqHMq?EpP?sj?@`?gWXACahh?n?FBqK_Y\NQ`XKnAKfG_cYOKegWpBEDbrPt@JIO`pyABAaRcWdEFBxQA?[MgsiYKWKfGWgubRo?X?lFEgdAmAAKfG?_gd,77,116,69,963,-302.363592109,188.0,0:00:00.000432,:qf`YxE{Mr?`v,5,188,0,1032,-inf,185.0,0:00:01.060395,:q`_gKWJ@AOwGGHFe??gWSJa`wg[Z@AbgWWMJ`@@W}EF__`GmEFCp@PMQS_AqHMq?EpP?sj?@`?gWXACahh?n?FBqK_Y\NQ`XKnAKfG_cYOKegWpBEDbrPt@JIO`pyABAaRcWdEFBxQA?[MgsiYKWKfGWgubRo?X?lFEgdAmAAKfG?_gd,77,116,69,963,-302.363592109,186.0,0:00:00.068133,:qe??sU]MgaypR?Jpg\Gz[UwFN,9,184,2,1030,-inf
6,0.3,steyvers,4,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,167,126,135,:q_O?K?AA_?OOM?@@?oc?CBAOOOQABA`w?CIG`AW?GF@@`@SKGEBoP[COHcbwGKZBEo_wqCGHoPxEAAA`gOKGDFBw_SVSaA@_sbDBaW?COPaBQxa?BECRcWSJ`a@xqWS_`PpEEIHraKGOL_@?p_z\Qoo_gW]OoOWOIV_ECsCCBA`dCSnAECQxyECEGW`uYdRtCI`\,-449.576884597,,,,146.0,0:00:00.006514,:q_O?KOF@AOGK]?DCOh_OIEBagWOKF_a@[?RP?o_WWbABa@_wb?@AA[CIHFo_o}ECDbw_YsGEBQ@CnFCAQC?ADDeWO{pCCCRcgVGFcapo|SLPPgwaR`a`pM[PIfRyDDCCOCmHJBDFBhxBCBDQ|`R??__o[URKPWOK]PKfcSKQKIEDDtXQLHX`PAgT~,87,80,66,992,-309.239986044,162.0,0:00:00.000454,:qa?xg]mCsFlhz,5,162,0,1058,-inf,144.0,0:00:01.917189,:q_O?KOF@AOGK]?DCOh_OIEBagWOKF_aw?ea@`?opECFCB@pE?ACCwGSQN`@`{KGJFp?tgOKEcAH]MHGO?GSUX`BrCOOPMQ`[_]QJFBtOtDEcQ[KSMHraHSy^Ogg_a?dpHWWgw\NGW_WiVkIW?CCEBarCUCBFcRHxDBCbA``P\USbQUWSOiD^,86,81,63,995,-308.929719319,162.0,0:00:00.030745,:q`?Hg]k?na`]GboQ~,6,161,1,1057,-inf
6,0.3,steyvers,4,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-535.148506006,,,,170.0,0:00:00.007496,:q`?WGI?A@oOWQCB_`W{a?BBO@?iAF`PpcKSM_@Pg}EE_a`_s[OeBWKCCHDrqCwcRbA`k[YNKOPhSn??`PpKt?Bo?o}OIDba{COQ`AbSS[NLgGPWm\NrQXWq\dArkkscgecD?cTJgwGWMGDcqpoy`bBaAMCHEcRPm?BCfgwcWRMFsYPVDFCApdTBBdrQIG[OQ@[{gXU~,91,93,77,964,-387.406002073,178.0,0:00:00.000440,:q`?W_MWFk@l_\H,6,178,0,1041,-inf,170.0,0:00:01.802931,:q`?WGI?A@oOWQCB_`W{a?BBO@?iAF`PpcKSM_@Pg}EE_a`_s[OeBWKCCHDrqCwcRbA`k[YNKOPhSn??`PpKt?Bo?o}OIDba{COQ`AbSS[NLgGPWm\NrQXWq\dArkkscgecD?cTJgwG[URJFBiEKMGGwOcYPLEw?KQ]baP`Kw^PhD[S[OJETSKMVLGg`p@GDrq`dZ,90,94,76,965,-387.235244183,171.0,0:00:00.049771,:q`_g?MHPBU?pE{McXPQR@QtBRUwnCA{RN,16,168,3,1038,-inf
6,0.3,steyvers,4,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,184,118,119,:q_O?K?AA_?OOM?@@?oc?CBAO?GKGD``?sCECAo?kKIFDOOWOIF`@Ooi?@A@OwqCFCbg?SKG``p_w`?AapkGECEo__WWR`aACGGFDOqkKIJ``pSKOPKO?HEGDBp@?s`?AbWOWeS`BQPyGEECqheEKGEwWsg^aFGpKy_Po?_ct?@`bAMEEIeblK{b``OwiMiaFCcKOeSP@qi}bQiWX`Kg``pPf,-550.235299059,,,,179.0,0:00:00.007454,:q_Oo?IAB`?ocGH?AOwGGHA_`GGONI_?OgqIFCbgoeEFCBaCkXAABW?CKGgQ`XUAGEtwOWTBBaAHQIFCBaHKh@DB@sg_[_BWpKhAEcg?OKRIeR{?IFECBXuYSIfzaIKRMgCc?SMKFWG__WKfRp|JEIeBPtFLNFw?CCBAap`HLDKqQHLEcgdSqaIIFhTSoebQiTsTPEBaapf,88,96,83,958,-393.530061896,178.0,0:00:00.000433,:q`_iGMsBCWRMT@,6,178,0,1041,-inf,175.0,0:00:02.037162,:q_Oo?IAB`?ocGH?AOwGGHA_`GGONI_?OgqIFCbgoeEFCBaCkXAABW?CKGgQ`XUAGEtwOWTBBaAHQIFCCQXQAIFQa@q?LbCqcGYQ_@?pKiXNo?g[WOLfXhOi^mGgpKy_QO@P_z@CCB@cy]NhWpSoYMrRp}?@@?ogkWQRPRKcaRPhIHTKgaa`yTTKHgsid\DSP_wgkX,88,96,79,962,-392.58608825,173.0,0:00:00.049799,:q`_gKIMCf?YGyeEjAjovAXltJe[zhNSlaR,14,170,3,1038,-inf
6,0.3,steyvers,4,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,181,120,120,:q_O?K?AA_?OOM?@@?oc?CBAo?OKGD_?_WU?A@`?sGECBAG?CED__oga?@Aapc?KH`@PcGEI`@@sCEDDbWo[OO_APsG_R_?OgkdBAaPPIADB@psSSV_`Pc[YUKpQs?EEDbrc?CECdwGGECBoo`YKHFDGOWSW``wpPB@@qSKKMb__`WwzDDcb\Gk__AQaEKGGGghWzd____[RBA@p?qIQO^,-535.043984042,,,,164.0,0:00:00.007576,:q`_GOM?@`@Wc]EC``pK?AD_@PC?ADBAwsGIFCA`ciD@AapcWMGbAYCOUQ``PGqAEFcxPQ?OHDWwseUKEWOg]O_?oo_a[_@`GwiWLOOOOML__o_slECAPpACBB@pOyTSOggHGs[NVCK[yb____waSKfSKCUUKertGk[SqQ`xBGDCB@g}amxW?SQQJidsKIFCBq@D@EHGDQv,94,87,77,967,-391.21277052,175.0,0:00:00.000439,:qa?hwqmBn_gXZ,6,175,0,1044,-inf,164.0,0:00:01.258537,:q`_GOM?@`@Wc]EC``pK?AD_@PC?ADBAwsGIFCA`ciD@AapcWMGbAYCOUQ``PGqAEFcxPQ?OHDWwseUKEWOg]O_?oo_a[_@`GwiWLOOOOML__o_slECAPpACBB@pOyTSOggHGs[NVCK[yb____waSKfSKCUUKertGk[SqQ`xBGDCB@g}amxW?SQQJidsKIFCBq@D@EHGDQv,94,87,77,967,-391.21277052,170.0,0:00:00.049167,:qa?wwQYJfbIOUiOhVAM?HfPo_XuUUuAAF,14,167,3,1041,-inf
6,0.3,steyvers,4,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,192,121,121,:q_O?K?AA_?OOM?@@?ocKGD__oc?AAA@g?GH??_pK?ABAP_we?BA`pS?IFCAgoe?@DbW?GEDDAw?c\BBa@S?IFDCgW_QIEcH`KhAAAPxIAMIPPPOl?Ccqhe?@BaQ{CEP_?PXkx@@cBcggYbBG__W__Db@c~BAA@aA?@@ers_QO`A@pTBAA@cIYEFDCwWs_T__o`miYNorQdVBFgC{?AHJew?OhBEcAlSsj,-542.645681093,,,,164.0,0:00:00.007501,:q`_g?IABaoO_Y?E`@@CkFFCawGKKFEO?GSMGco?GSSJEo?ggVGDbwwgZCAag?KQO_`@`KhJFcgwqIRJO@HOrH_cXPqxHIDgo{pCEBayAcTJEBHg~BAA@`Kk]OO`x_u]_`P?g_b`A@pTBCBAPOkme_b@iICBBBQ@xL@@`QhlBIHdRS?sgSiwGSQ`RoPH[v?ABacK_l`a`g{_TTjN,101,91,73,960,-392.245017978,186.0,0:00:00.000430,:q`_gT?@e@ZBV?F,6,186,0,1033,-inf,163.0,0:00:01.742803,:q`_g?IABaoOc?LAAAHWMMHDoOWWMK_?Og[PH_?OggUL_@POmOJFppOuGDDO?Wc`@ABAXQUNHPpcSeU_AQ`eR@GqbdqQSJP`xaGKFDsDGiUKERP}ECCBAXW{_`Br@k|@Aa@P@FACBaiEGECa`X\L@EBSSGEEEcBqYABAdRYESRIeg@hOhToOgdAf_aQxm?CFDGX@ZBDBPx?ijU^,101,91,72,961,-392.154081895,185.0,0:00:00.047656,:qfAIw}wPpaKobURlI|pGno@~,9,183,2,1031,-inf
6,0.3,steyvers,4,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-623.155219314,,,,169.0,0:00:00.008697,:q`?WGI?A@oOWQCB_`?k]P?@`_{?OI_`w?IMK`a`s?ILFoosCIIEBPpAWL_awGGQJfcAc?[QHp`OuMLFeGGoYTJo?GS[RLO?O[^?BBx?gUMJoP@ICIEegGS[NLgGPWm\NpPhKkXMq`XuUYQOqHh@AGCah\F@B@p?keUMFSKW[OKGwOcYPLEw?KQRNPpGoe[NgsamIEFCApdAi``qxhDCMGH?k\NIDrIv,102,82,87,954,-479.849754715,177.0,0:00:00.000442,:q`?W_MWFk@l_\HpK~,7,177,0,1041,-inf,168.0,0:00:02.179521,:q`?WGI?A@oOWQCB_`?k]P?@`_{?OI_`w?IMK`a`s?ILFoosCIIEBPpAWL_awGGQJfcAc?[QHp`OuMLFeGGoYTJo?GS[RLO?O[^?BBx?gUMJoP@ICIEeggw]ZOOap[y^abQXWq\dArkksc`cRQACOHDQyMAFDcqpoy`bBa@`FACbQHgv?@aQXyMHHfByLGja``p?kXTOox[saaFCC_UMfdAxdZ,100,84,84,957,-479.303045721,169.0,0:00:00.059339,:qa?wccPPBT@|_KPl_Zog\GexPQR@QtBRUwnCAqzN,19,165,4,1037,-inf
6,0.3,steyvers,4,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,naiverw,100,100,20,avg,185,118,118,:q_O?K?AA_?OOM?@@?ocGJ?A@WWON??oowaCDBO_WOMH_?o_SNAA`gGWYM_?_WOVDBAp{GMHEcGOKGQa@P{[YP_`?k?ACBaPkKMGDO_gk[PabrKcWQJo_sCCEECwGGKK_APh]ANJfiHUWQNoo_sb@AAQx|@DCbqpu?DEcc[c^LJgcc?Y^PHIPSmb_bSA`TBEcSqiA^SQPiPPDDbrKGIM_@QQLX,-600.694424701,,,,158.0,0:00:00.008727,:q_OGK?CB`o_k?H??_oc?F?@`pCUGFCaw?SRAA@g?CL?@?o_mEDBAp{GMHFOp?u]OGcw{UAFEBQS[OIHCwgk\MFdxGonAGoOOqADBAp_y?LJebsS]ZNRrKWUKEfwGKGLFcQSCIHFcqyAQ[Mo_gocbb@w?sc^PHGOOQJEbry@Cc_?P`SxFCAP`?a_QIDIiYPNhdIiAHLfsAaQaSIdkkrDHooxGeaV^,107,78,80,960,-477.976414839,178.0,0:00:00.000430,:qa?hoI_BkbjWrI\uHn,7,178,0,1040,-inf,139.0,0:00:05.999638,:q_OGK?CB`o_k?H?@`G?MEFCPW_[QJ_@PKGGE_`g?GECDoogWUN`@pGyEGfcAHMND_`p_sdFCAggk\MFdxGonAGoOOqADBB@s?YVLPPxk|NKr@h}ABABPxEADCbqX\@HMFWgocbb@w?s}aQO__c]^OGcc?AKIfHGp?cSIhhC}eTOPH|?gpIDQurDHooxGem,104,81,58,982,-472.711209553,167.0,0:00:00.060701,:qc@xOa_CDtpk_TYFrK@zG_mslAJU_gv|F,18,167,0,1040,-inf
