numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_uinvite,time_uinvite,bestgraph_uinvite,hit_uinvite,miss_uinvite,fa_uinvite,cr_uinvite,ll_uinvite
6,0.3,steyvers,1,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-455.467047734,,,,163.0,0:00:11.544054,:q`_OSMDCApGc?L@@`O{CNGf?@k?AA@rWKKGJhTO_c]P`CwGGlABA`XEEJcaq[[USIeRSgUWeeW?s_PHQG@Oq]a@P[SgX_@`Pgu\dCgWo_^bdr`xJJLEwwsiVRY`hP@@BDTKhHGJecyaIGEcBHxNGDEr`xQm`dCAQILQHTQr,74,99,64,988,-302.257791201
6,0.3,steyvers,1,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-547.472338738,,,,161.0,0:00:19.712853,:q`_OSM?Aa@WcKH?B@wGKIF_`xCw?L_?OOMZ@Foo_mdI_`@HEAAFcwGGWU`@`OkWP_?ogmQJJPpXOiUKegOgUSKRRK?ALGchC?gXNP?gmIS_@`Pgu\dBQSKWONpqxo{dbarPmIFEdQyLL[edAyAAABDTKKSOQQAxhMgaa@hc{fcAbXxQm`dCALHDEdCaTSk,86,87,74,978,-390.562894567
6,0.3,steyvers,1,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-634.176960421,,,,155.0,0:00:23.921858,:q`_OS?F?@P?kQH?BOOWOJ@BqHo?Z??__[?Z@EbwWOVQdOO_c]P`CwGGWU`@`OkWP_?xGkfFDdAhWqY`A`XKhLKo?Gs_PHQB[?MSKERsOIJGpQ`e?EDEbXuSQMop`?~FJfBqDJFDdrPmADBbQh\Ee__bcGMLIDsCCCEIopP@HDCArQ]IGEeRq]IILfdIyg_QJGgsg]QHTQr,94,79,76,976,-478.904835283
6,0.3,steyvers,1,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-712.50530374,,,,145.0,0:00:22.159165,:q`_OS?F?@?w_UHCbOO_UAFcR_?u?@@?w?s\@Foo_mdCDOO_cbAGcwGGWU_?_ocSJEO?[kfFDAq`WqY`A`XQYX_?Ph?aQcCQc?MSKERsOIJNpQ`e?EDEbXuSQKoo_WW^bdr`xAdbarPmADBbQh\Ee__b`yCFEdAy@L@@@akKSOQPP?kmfaa@hc{fdErqdSmdDCAPXDEdBqPSk,100,73,72,980,-569.82263815
6,0.3,steyvers,1,50,0.7,0.0,stationary,9,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-801.835782543,,,,139.0,0:00:27.233787,:q`_OS?F??__[OJCa@wsCGD_opCA?L_?OOM?LFOP_}ECDsg_iACCcWPCf@@BAs?CECa`Wq?BdcrC[SJIDbHiCIDbQc?YX_?Ph?aQLqAHQ?FKERsOIJLfwhOrABAbPkzIHFWWOKKGFwO[m[NGSk[UZ_`OwsiVPhgGGxAEdAyACEIoo_g_caa@OlNDCBRHxNILfdIh\IIGCaqILIFcahX,106,67,72,980,-657.393627232
6,0.3,steyvers,1,50,0.7,0.0,stationary,10,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-889.747557443,,,,135.0,0:00:39.066992,:q`?GGI?B_?OOMGD`@?sONE__o_UBBAaG?eZ@@?os?Z@EBwWOV@DcQS?GI_`@G}CR__``Y?ABAPOkXBcaq[[SJIDQpctADArC?YX_?Ph?aQcCQc?MXNP?gku^adBKGKILErkgdBA@a@}CFJeb`xJFLoOg[YVNGssCC[Mo`hOm_`DW_h?caa@Y]IGEeRq]SZNITQySSQPRhxGiU^,106,67,68,984,-753.771717479
6,0.3,steyvers,1,50,0.7,0.0,stationary,11,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-988.30185351,,,,138.0,0:00:45.691482,:q`?GGI?B_?OOMGD`?o_YGF_@gGOJ@``PC?CE_BWGGEE_BPsCWN``@[CUQ_@?giACCcYHMAAEDgOWQIDbG?MURba`XOkXLO`OkgW_BRK?ALGCQPmOPIO?wgq]a@PXk~CAdBK?KIGebXuSPHFWWOKONo_x[s[NGSk[sZMoOg[YVNGssCC[Mo`hOm_`DWWOSOQQ@OkmfSPP?sq]Rq`hk{fSidsgg_QJGhO{cTJN,114,59,79,973,-847.921720404
6,0.3,steyvers,1,50,0.7,0.0,stationary,12,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1074.21403409,,,,135.0,0:00:49.047415,:q`?GGI?B_?OOMGD`?o_YN?BOOWOJ@``PC?CE_BWGGEE_BPsCCK``?omAJGcg?OII_`@G}AR__``YCECa`Wq?Bcaq[[SJIDbHiCIDdBC?YSKo?GsaZcCQc?MWKfg_SUZNp?hOrEDCQPSs\NQaHuECBCB{GMVLFBqDJFDeriIADBbQyLL@@FGPOmZOOakOSOOHG?_SJRiGg_YOKfc{gYZNHtIySSQJGgsg]QIdf,116,57,78,974,-935.597392818
6,0.3,steyvers,1,50,0.7,0.0,stationary,13,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1152.16086241,,,,130.0,0:00:45.622529,:q`??KCD?@o?GGFCAo__YN?BOOWOJ@``PC?CEeoOOKL?AbPsCWN``?omAJGcg?OII_`@G}AR__asGKHDAp`]?BFP@XMMIDdApctADAq`a?DEdBK?ALGca`mOPIO?x_q]a@PXk~CAdBKWSPIebXs{adCWWOK^`@`X[w]OppXkya_`OwsiVROOPqCLIDsCGjCDGCc?CGDAsyaIGEcBHxNIEerq\QiVQaaPXDIFRqPSk,120,53,77,975,-1031.45120642
6,0.3,steyvers,1,50,0.7,0.0,stationary,14,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1248.23433446,,,,119.0,0:00:50.539261,:q`?GGI?B_?OOMGD____YNE_`?kCNBAaG?GLL___WY?DEbgGo^@@`?omAJHO?_SOI_`@G}aR__``Y?ABAPOkXBdcwwgUSJEhOkgWaaphQ?@CbQHOvGGdG?[[XNP?gk~CAdBHuGEDDRPs{adCWWOK^`@`X[w]OprXuADBdsYYAAMOOPP@@@DW_h?c`A@OlMg``P?s_XLfc{su]RiTSggcUPPhOy]QIdf,121,52,67,985,-1127.74188173
