numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_uinvite,time_uinvite,bestgraph_uinvite,hit_uinvite,miss_uinvite,fa_uinvite,cr_uinvite,ll_uinvite
6,0.3,steyvers,4,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,184,117,118,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-441.793229745,,,,159.0,0:00:10.884941,:q`?WGII?AOwOQN?AaG?YIH_?WGMCKEo_WSLMFp?gYADEBggiAC_oqC?EQbBQXYKNJDrCOUMIdww_t\Eq@Oo^AAa@gyGPbcgOgmXkP`GgUKNQrqQYNMGg?KHJEPaXczILGW?cVABcaXlHIGDrIiAZMFbyIEZMHS{?QJFIw_{_UKkN,84,100,59,982,-305.16242465
6,0.3,steyvers,4,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,184,119,121,:q_O?K?AA_?OOM?@@?ocCCBA@W?CCCAo_gYECA``CGEEBaWGGII_?OOUCD_`Ooe?A@bG?KGHFoOOSQO`@Owo`BDBa@EGHHoOOKKS_`?owjADbAsKKKFP@CwiUKO?OSnBDCwGGQP`bacOKMKPP@SzDEO_hAEGDFWXyIHECgOc_\_@a`Y?BDBSsWULGfWGGGHFO?GSU_fEB{odBDBdT@VABAhpz,-443.814162482,,,,162.0,0:00:12.802346,:q`?WCMF@@pGgY?C`@_weEG_ohKA?BAbWGGUMGPO{CSMFcW?eACB@phKhCCBgOSUU```WyGGDTQpaCKFdx{CQP`aaXQ|GIpP`YGHGFjLOk]`@PHICHGEraLJ?BDGgscSRPOokW\QIG_[OLLFw?CIJEDRY@MikFx`HJIFIkC?MNHftKW{^O^,86,98,64,977,-316.945833984
6,0.3,steyvers,4,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,174,122,123,:q_O?K?AA_?OOM?@@?ocKGD___kOJCAaG?GF?A@`?eABBAW_cV?@`O{S\AAp@GkXDFOOoq?@@a@hEABAaP[[[NHO_o[jFFCggWUK`@W_WUXa@P?caT____g[T___x]USMOOOwmW_`@Om?IOq`[OKZddG?[^??`?gwhMKGGGGEJ_daxa[NHIgGKb@HERSGyaoIgGKGKIDWGKak,-427.686921253,,,,151.0,0:00:18.639824,:qa??[EHG?`WWOJJ?@XKOP?Aa`cU@HDrgGqGGFcWGSRFFCgOWMOHdgg[^ABApcGMNGUWcGjFJqRcC[SKFgOcT?dApp}u^_Aqc[|?@App?gYOqAHGo\OO`XUMUKFcA]]UTOOXCz@HEhQISUJiGWgWSIiwW[agUJ^,77,97,54,997,-297.410955725
6,0.3,steyvers,4,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,186,124,125,:q_O?K?AA_?OOM?@@?ocGECAo?OQ?@@?og]?@@@Os?CBAaG_[PABa@[GEFDAwOOP@@O?OSMJ_?`[qCD_?Oge?A@`Pk?EDEpP_waT_?OpSnDB@w?OMMFppWs_P_@pWotBGCq`eMOLpbHuQWKfx_wbECeHHaCDEr@pSmWfDQx`J??_asWQSOGwhOjHKGtC?IEOGwg[PECdDCoaTKOoguKTKGC[cob,-417.880446699,,,,142.0,0:00:15.070418,:q`_?GIDE?o_cKGDd??_SPFDQwwkXACOOOm?DBawCkWL`@P_}?CCrPsKZKFoQh]sCAcbKkb?Bap`iEOHdBLcvEKfXH_~MGpap_tcAdh`q[VPOOXClCBDAkSgULqRAM?DBEBQMOKIqPhPP@ECY`UKLOGhHT?aPiEF,87,99,43,996,-289.750446018
6,0.3,steyvers,4,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-535.148506006,,,,167.0,0:00:21.746385,:q`?WGI?A@oOWQCB_`W{a?BBO@?iAF`PpcKSM_@Pg}EE_a`_s[OeBWKGQJfcHpGfEDBWws]W_bQh]?@AbaXi?F_@`{_SJFDwG_dAAEggw]ZOOap[y^ecqpczIDfXXhHPOSAPSmb_`pXKk[MgWow_b`BQHSsZ_?pHyMHEFByLHDFCApdTBBdrQIG[cAy`f,88,96,71,970,-391.332482947
6,0.3,steyvers,4,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,189,118,118,:q_O?K?AA_?OOM?@@?oc?ED_?OOOJ??___SLAA@Os?EECO__aCECo?oa?@A`pcSQJEOOWeABBaAC?CCBcAK?CBAbw?[d?@`Oo]ECGcwWSKOHdggc]R`aA{S]VabAXaeY_?_X_x?B@w?SKFIo__SRDLP?wwbBAgCSkcUPO`I@FBBCAh\FACgwWSSTaegiXP@BaCAUGDBCCCON@@`qIIs\_@?h`POHda~,-538.518952263,,,,160.0,0:00:15.640927,:q`?W?IF?@?wWUAC___sGH??`gcI?GbbHWqAHFoW?OMOGoOO]?Q_?_g[WPbcQ[OIECcH{_lNHpP`KpY`ooo_l?B@po{_PKoOOOIHLsb{waTOOoiAUNHDBqJEc`aQ@WmYPqPWo_ZQqbdh?`QocqaMGFFByAGDBBQXQGEFDCSCYMFgCQms[MgWgWMKHEDCOkVKi~,96,93,67,969,-390.50913176
6,0.3,steyvers,4,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,178,119,119,:q_O?K?AA_?OOM?@@?ocCGD`OOWOJ@_?OWONA@`?ga?BA@WGKSK_@@GuCBDo?GSOM`bG?cYM_?`?uEKEbaSGYRa@PCOJADbwGcd@@@AC?ABACG_SOJGDgOSSOHCwWw_Z_BQ`ug\_@?oo`ABop?{pDCDgOKQXLO@CCCCAdsc?CBDcGHGqdacr{KGDQOpp}CVQHw`\ZIJeramQX`CByB,-526.627901586,,,,155.0,0:00:22.915973,:q`??K?BD?_wK_L@a@pKKJ?@aWogXCEo_kk\JEPPGuOL`b@gwdAEcggaIJfcxHMACB@w?OKOGsAhWvAAa``GeTLOOO_[TLo?_szKIDW?O_PJTY`yABCAasKQIHecAQOR_`QXiCBA`pX@If```SWYRcCSc?EMNtAyPNVQhz`yoXUo`H?}_,85,93,62,985,-380.354616098
6,0.3,steyvers,4,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,179,120,121,:q_O?K?AA_?OOM?@@?oc?AC_?O[CCCAoO[?ACBOOOST@@?okCEH___WUABAbG?OKI`aGg_SJcA`[GEDCOQPMABA@`CCeT_OQX]?ACBacW`?@`PC?ECFDGGKJ@BDgOUAEGDb{CIEDEX?geTKo?Wwg[_CBYEOQa@PXOw__?O{CEGNo@?kg__`Ox@P?DB`xY[TJGgPhL?CAtS?QKMO_i\T,-509.896065226,,,,144.0,0:00:17.407164,:q_OoSS@C_?OscAB_`?sGF@__pKCCBDpP_y?EDOx?gVBDAwOS^JbAACWeT_DX`Sn?CBacW`?AaG_waWMPPhYGOJo_hGx@BCApmIVKfSKgeTKgSSOd?@cBCScaaA`Wow_RUCKGORNhW?GORIGGW|PSNhHpYCKLHg?_UaQO@GsxA,88,91,53,993,-376.35793772
6,0.3,steyvers,4,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-623.155219314,,,,155.0,0:00:25.329151,:q`?WGI?A@oOWQCB_`?k]P?@`_{?OI_`w?IMK`a`s?ILFoosCIIEbh_uAJ`AXx?h?EBaPMKIEppg{p@Db@hU?@AbaXi?ABbw?YOIDba{_dAAA`hiIMFesCGkVMfwgseUKfXOkzJQOqIACOHGwG[URJFSKW[OPo`hi?BCaqXyMHMGsamIEFCApdTBBdrQIG[drq`[ql,98,86,69,972,-489.044204521
6,0.3,steyvers,4,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,175,118,120,:q_O?K?AA_?OOM?@@?ocCGDa@W?GEE___WSPBA@WWSNCa@OoaABCOOgiIECBW?GGDCP?wm?@AaPSKOM`?oo_Z@Fo__cSM`pPO}EDCbacOX?@`?hMAY_?OXMGKJfGGKOHadB`x@IJEWp?jBOOSAE]XPOoh\@BDDrIIAANGCaaIFHO?WWYSjgdAeCBIgy@UIMLFW?GEECBgo_YTT~,-599.226318659,,,,142.0,0:00:22.589204,:q`??KAFF?@W?IAACPWOKMGDRO_aABCPW?KIEEoOOKGGa@OwmABCa`{KPABA@hEmAAaPs?EHDDGgcSNHdwg[QLFcG_ohDDCrSCaQJebc?AVMo?OOW[_aQXOi[ab`xO|IJDrL?i[mgGGW]TNgSddDIJtsSCKca`_xGm[_?ooshHJesQ`RAAAbQ@FEGPRk?CCAa@p`NECBPqT`,101,74,68,982,-481.944550796
6,0.3,steyvers,4,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,171,121,121,:q_O?K?AA_?OOM?@@?ocCD@@OOOOJ??_w?CED_?OWi?@@`GGi?@B@wOcV@@`?gaADCo?__bAB@wGgZA@`ACSONIopWs[SedA{?ABCOOxMCBA@PL?lDFfI`[p?HDWGSOQaAAIAINabwWcWTLuBsSSJIQBc?UL_aQHHBACBa@i?KIEdK?AcTsBY@Cb_?Ou@RSJeD[SQIGgDf,-604.941464665,,,,145.0,0:00:22.263840,:q`?WSGF?APoSCCCBoG?MMI_?OW_V@Aaw?CCE`@OwcV@@`?k?AECAPO}GHGo_WWNT@`HXUEGDbacgYSJo?GGdCBBa[?CCA``PA_TcCRcwnAHDRXuADCBASKPDBbqxuWNJGgWOQKLrbskaSfcw?kYNJhXHCcZPPOww_TKecKSWQLFsaeGOJGcamQOLGCQM?@BWDKsm]TIwWcSVU^,99,72,73,981,-485.267548083
6,0.3,steyvers,4,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,178,122,123,:q_O?K?AA_?OOM?@@?oc?AD_?OOQAA@`gGKL@CAW?KIEBo_{SKGCp`?uADBBX?eKHEcG?CEGbAAK?EDBaw?CP?A`p[KMKcA`pGjADbAp]OHGCXGw]PdBakwvBJeXOwi[___X?fINo?WkhBIGgg[kXcBR@u[^`?oxYAACCA[___SQ@iTOh_?QhaABIDW?CEGbdbK?ATTo?OKMK`Aqpf,-609.68183865,,,,141.0,0:00:24.911427,:q`?WKSCBAPG?CCCbOo_aBCA`g?IJECBWos\GbAPhAACCAgo_SJGCWW[VBCBPpIMJcap`EQIFCQPUCFEQQKcYMGop?gYMloqp[rKFDRPq?@@cxP_~BECAxiAEIGipeOLKFXGk~@@`?xOkd`AA@TJOPiH?gYNOHTAeATKFsSCQIIO?GOKRKPpXW|?To?gokWKo`Xx\,101,77,64,983,-482.64526708
