numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_windowgraph,time_windowgraph,bestgraph_windowgraph,hit_windowgraph,miss_windowgraph,fa_windowgraph,cr_windowgraph,ll_windowgraph
6,0.3,steyvers,1,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-455.467047762,,,,150.0,0:00:00.270066,:q`_OSMDDaPG?YADBoXCw?L__hlGEJhTO_ef@JO_ogUP`qwxOtSeeZwa?SKfg_SVDIO?ogiYhRAD[w]sBQh\LiEdIieScjegg_qZNHxPxRSOGscTGdTJN,57,116,34,1018,-434.285491823
6,0.3,steyvers,1,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-547.472338772,,,,148.0,0:00:00.315347,:q`_OSM?AapGc?L@A`wKa[L_?OSucBDsigCGHfoQsGKIDbAKMVFIEicsr@cOBHyGDDpQcWSTLSh`Am[NPpCsiVRY`hP@ECiXP@HVLPP@cu]Rqbqeg_QPSaTSk,61,112,36,1016,-550.066228082
6,0.3,steyvers,1,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-634.176960459,,,,136.0,0:00:00.371052,:q`_OS?F?@PWcQ?E_`?g]BGfBW?CD?Es_WmdT?`@LMAU`@`OkWP`qq[[gUiRRK?ALcOBHyGDDpQcWSTLSh`Am[NHWw_v@EdQyYDSOP`IeSOQPPXiIGKes{g{hiHGiPIiU^,71,102,34,1018,-674.860765502
6,0.3,steyvers,1,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-712.505303781,,,,130.0,0:00:00.422201,:q`_OS?F?@PWcQ?E_`?g]BGf?@k?AA@o@lGEJhTOGORR__asGKIDbAKMURbaa`YhLKo?GuOP_ERsOIJadGogiYhP?oo`VMFck[OZ_bQh\LAiGGodRIGHHX[tDCERY]S]SqaaQIcQidf,78,95,35,1017,-743.212505663
6,0.3,steyvers,1,50,0.7,0.0,stationary,9,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-801.83578259,,,,133.0,0:00:00.481740,:q`_OS?F??_gkQH?BOO_SN@cR_?uCB_BXcKGJhTOGOQPhoOPYCECa`WobBdcwwggUiRRK?ALcCQc?q]a@P[Sh?BAbTGzCBBAD[w]Qpp@mALIdssIg_bATKg_ccAqxiIGKes{g{hdDCYQIcTJEF,80,93,40,1012,-826.039846825
6,0.3,steyvers,1,50,0.7,0.0,stationary,10,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-889.747557495,,,,129.0,0:00:00.554440,:q`_OS?F??_gOUHC_@gGOIF_pPCw?L___[?ZK``@[CdT?`@HEf@@DgOWSJECW[mMIIDi`aYX_?Pk_aS_ERsOIJadG?WSYhP?oo`VMFck[OZ_bQh\LAiGGodRIGHH?kmYaa@hcufdFdKggbQPRiPSkW^,84,89,40,1012,-919.941300311
6,0.3,steyvers,1,50,0.7,0.0,stationary,11,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-988.301853568,,,,124.0,0:00:00.588373,:q`_OS?F??_gOOJCaO?sCGDBoWgaL?EoOOM?LeOo_mAQdOO_cbR__asGKHDAp`EFJHppPOlSKRRK?ALcCQc?q]a@P[Sh?BAbTCdCECIxo{dbaB[CYTRObdP@ECqaAQOJJedCSOLKes{g{hdDCYQI\QIdbB,89,84,40,1012,-1007.78984361
6,0.3,steyvers,1,50,0.7,0.0,stationary,12,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1074.21403416,,,,124.0,0:00:00.647165,:q`_OS?F??_gOOJCaO?sCGF_pPCY?L___[?ZK``@[CdDDOO_cbR__asGKHDAp`EFJbaa`YgWedBK?ALcCQc?q]a@P[Sh?BAbSgaQaBAD[w]Qpp@mALIdssGxSOP`Kg_c_A@X[tDCBRHlNINIXPPEcUPRiPSk,90,83,41,1011,-1108.42632413
6,0.3,steyvers,1,50,0.7,0.0,stationary,13,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1152.16086248,,,,119.0,0:00:00.649697,:q`_OS?F??_gOOJCaO?sCGF_pPCY?L___[?ZK``@[CUQaagGOQPhoOPYCECa`WobBdcwwggUiEHhOr??bQ@QOPIOBHyGDDpQc?KILQaHGhCECHX[w]Qpp@mATJhgPqg_bAXQQ?GDdrSSOLKes{g{hdDCYPXDMhCihX,95,78,41,1011,-1197.51279501
6,0.3,steyvers,1,50,0.7,0.0,stationary,14,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1248.23433454,,,,118.0,0:00:00.699374,:q`_OS?F??_gOOJCaO?sCGF_pPCY?L___[?YMeOo_mAJHPPSCGHGswPYCECa`WobBdcwwggUiEHhOr??aPh?hGGdG@c|CAawhQ?CBAbSgaQIP@`AUVMFck[OZ_dQyLLAMTCCWRIQPPXiIGEeRY]S]SqaaLGkafSaTSk,96,77,41,1011,-1332.01927015
