numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_windowgraph,time_windowgraph,bestgraph_windowgraph,hit_windowgraph,miss_windowgraph,fa_windowgraph,cr_windowgraph,ll_windowgraph
6,0.3,steyvers,4,50,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,184,117,118,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-441.7932297,,,,149,00:00.2,:q`?WSS@B`PxC?LH_oO[GWL`Rw_SL@ApPSCH@gOASWZEFeHWwnFCEjguOIFrg_SbQ`DzCgU]dvCS?HKbFZSmCQHsBIiA[NGjXpIf_At[O]U,61,123,26,1015,-426.5099192
6,0.3,steyvers,4,50,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,171,119,119,:q_O?K?AA_?OOM?@@?oc?BA@`G?CFA@`W?GEH__o_]ADDo?OSQJ_?pCGGJ_?OOuEDDqPS_WO_?__gYO__p[?CHDo`GkZCDbw?GF?@@@OuCHDO__mOKGO`Gsn?@A`hQ?DCbWWaGDGDr{?YVLo_gwlDJHG?GIKOOOWOKUaaPPk|CNp?pY?@RikKGYg_?TS_WOHqCK?AAAbDF,-443.5224878,,,,149,00:00.2,:qa?g[[H@_@O{AWEaQI??LREO?PEAJGo@GmCBDqG?GFCDQ`cCUUeO`kOdDCbWW_[PagHxm[UnhGOp@CBBsT@@ZNtc{CsihgWMiOOPStc?AKV^,54,117,32,1022,-428.7049794
6,0.3,steyvers,4,50,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,200,120,123,:q_O?K?AA_?OOM?@@?ocCCBA@W?KGE_?_WOLA@`OsECBBAWGOKFDp?oqACBAGW[WLFO?OOR?AAQCCEDCqPWq?AEBg_WWL`@Ow_ZCBA@sGMGIP@hKj?CcXHCcYaA@sKKFECQ{CO[eDRKWW\_?`paCBBAP`MKKIfw?GK]b@qhqCBAapxuUPHeg`?yf`?pGkX?FDGW[WMRO_gW]\PP_wkY_`@@pyADB@pC?CEJGWGGGECA~,-480.7656128,,,,183,00:00.3,:q`?G_GF??oockEHa@gGYACboOO_V?aai_[SMjBX?yOVhpBLGlACEWpStRIrPxuW\No_xOpReFxAMOLIo`YIUKPSS{cUK_BacoaempPxUm]_`gyEAG,54,146,37,988,-439.5894255
6,0.3,steyvers,4,50,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,167,124,124,:q_O?K?AA_?OOM?@@?ocCDAAO?GOJ??`GGM?DDOOWaAABO_WQGF___WuGF_bGGKHA@pPpEEHDo__[]P`BgOwpA@eW_cWLHoQSG[W``Po}AAFcWO[b?JEw?WM^OO`p_zFFCA`i?GCasIICXLOAxcyb`ESs?ACCDRscUaQoo__QLMO?o\?aaBSKW[YNgx?swhcigOxN,-416.1759298,,,,134,00:00.2,:q`?G_CDE@OWCCJKCOWCONA@pIWMBP`aww{aRdRwwyGLHqaSwpDFO`c[aY`dgCIhHDfcCwr?ECa|c~GIfhIHJBMFScWNCEgXWsobcFDKwkifD~,60,107,27,1031,-406.099417
6,0.3,steyvers,4,50,0.7,0,stationary,6,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-535.148506,,,,165,00:00.3,:q`?WS?CB__ocIJHCOos?OIbr_{y?L``hPAiACax{wfEEcWws^@Eo?hi?FnA@WyPADEhqAC^mqrkgUcoSAQMAJMp`p@FLLO?[[QRPhD[w_UKtrSOI[OQy`f,57,127,38,1003,-554.0144701
6,0.3,steyvers,4,50,0.7,0,stationary,6,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,194,118,118,:q_O?K?AA_?OOM?@@?ocCECAoo_Y?AA@WGKGD__ocCEC`o?GIGFCAP[KIEEOOWOJ@@`G?CKG``OocUN_?o_YKHDcwGOMNHdGGOeTa@P?{`CAbwGOeT_BACOQIDdgWOKFJQPPOqYMPp?gnBBaQ`Wn?@?p@AKFMo?o[W\iFGxWy^Pp?wcV@@aQ@aCMHGWX\@CJFgg{|@AAQhp@?BDCdxTCCasaq?OOiG_[k\Nh^,-532.8022898,,,,159,00:00.3,:q_OoKEKBApgSUBCCR_|CEC_?WsaL@Bag`MOHGRq[OaT_CHPaGFFtBc_THFDrcGSOePrmSW\PQw?Kp@DBWXOrCNRsTSw_RPaaPP]TQPXP?c`CCIUg^PH^,64,130,29,1002,-474.7779707
6,0.3,steyvers,4,50,0.7,0,stationary,6,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,182,119,120,:q_O?K?AA_?OOM?@@?oc?AA@oocCGE`?og]CDCoowcTCCagGKGHDOogcV@@?o_ST@AAgOKGN_?ogw^@A@Ooe?AA`pKCERba`_sh?@cgWgYM_cQSCCCJo?_SKS_`OoeQNJO_wo[R`?o_UWLGPAHeGFEbaSSWLKOo_dDUKGc[G|LFHZATNFCBq@EC]dDApu]\TqrA]yjUO`@KxBCapquABHd^,-534.8171929,,,,158,00:00.3,:q`?GGI?@_O_kCF@dAW{QRHDopSuc?_`ACGIH_cwwkWScch_uANGCgOsnCIEGheQKGcgOce[`bAKotOLpwiIwajFs[WOLnGjA]ON_aiemUWRpIHWxBToQn,60,122,36,1007,-571.5215265
6,0.3,steyvers,4,50,0.7,0,stationary,6,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,167,121,121,:q_O?K?AA_?OOM?@@?ocKJ?@?ocGECBoo{GEFCO?ocT?@@pC_QI`@?gq?D_`?gw^@@?ok?INGO?oeER__o_U?DDDWWSiU``Q{?KI`Aa{?IQhdGo{cZ_CAkGSV_@QPmCCFcBC?_T``Qxa?AABcKGEPKPQhWs^_@`PeESMSyXOx?Abr[?OIEO_`ISe`CQ{G_WOhG?ch,-556.0368329,,,,147,00:00.3,:q_OoKSBB`o_W]SB_APSGMGcRoOUACFPX{?RHacXSMaSa@_{W[V_CalMKQLrbHmjV`EHXSlFJFw_}?AGsQpiIEHeWxqfXMQsCgWcTrqQES]OHh`]_WQODYr,58,109,38,1020,-534.5056411
6,0.3,steyvers,4,50,0.7,0,stationary,7,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-623.1552193,,,,161,00:00.3,:q`?WS?CB__ocIJHCOos?OIbr_{y?L``hPAgN`AP[}?MHp`hEMLFuo?CIY_@wC_SMcO`OstMOOb|KzJMq`YQE_gCc[CVEFCC[st?@ppHLEcTra@WrVLP?hp@Jje^,61,123,38,1003,-666.7393605
6,0.3,steyvers,4,50,0.7,0,stationary,7,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,181,118,118,:q_O?K?AA_?OOM?@@?oc?CC_?OSGH?@?okCEC_?OOMCJ_?OOqCEBa@KKGDCagOoZ?EBQCGWLGO@hCdAEcW_Y?PHCqc?EGEO`hKlHFBwgWeVbaGOskW`?ogYWLGCbc?AAEO_WgVAEDbsGGMIebkCCBDbGOuCEBbgW_mY`CbsGGHFegOc]\jegWXR@@@@OtFCAbrK?cRIFGWgV@BadcCU\P~,-629.9398661,,,,147,00:00.3,:q_OGKIDDc`W[sAK`@_waFHERH_udPboAPQ?BbbQXYKMFpQ[[PP_@`L?d??``[GSJIOaxoz?FBqhuAGDbReA\GJehHyCNIEkqanCGHgGGULaEiHOw^`arQMGIUQ~,68,113,34,1010,-571.2190348
