numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,startGraph,prune_limit,other_limit,triangle_limit,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,method,cost,ll,time,bestgraph,hit,miss,fa,cr
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,-413.471542998,uinvite_irt,150.0,-294.932331806,0:02:30.838261,:q_O?KOCBb_W?GFD_?w?KIIe_?wiBCB@x_}CE`bAKSVECcxs[UQeBq@YACJq``]EPgdQsGIWcdhKCIEHFg@WvEIp@PAGHLfBsOMHKfj{K]ONFw?R?b`@`?tDAIdcKSWSMfcsoYOJixxdD?@fByUIESjgOgu[Poo`[|,87,103,47,988
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,197,2,6,:q_O?K?AA_?OOM?@@?oc?AAAO?OQACB@wGGIE_?_[WR?@`PCGEDBAG?GGDEo?WOT@@`@_uCBEBPsGULb@pCGIGEp?o_YS`BQPUIPa@`@OjAEBQCGEMGCWWwgUKo?GKZIEcBPmKUKO_gc[S_@Po{p?A@PO{xABCahYGECDBCGQMIOqpu?ABAGWhBAACC[OOHDbQ[S_TSp@XLEe`b@iiEGGjGO_f?A``H?x?CURih^,-423.840526367,uinvite_irt,163.0,-303.500518704,0:02:42.995116,:q`_WgIB??`GG]L@`@@?e?B`@gOQ?Fa@PcGEMdbWoaLBAbQc?^GGp?o_jY@a`_s_P`bape?@@`Ph[vBDCBSWfAHpppyGIEPOsGg]aAPtWz?Hei@DB?@DCIMAHDba[SWhaCsYXRfTOOW`Mk_`P@MIHGCg?[ObRPPHcyiV~,85,112,51,977
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,175,7,7,:q_O?K?AA_?OOM?@@?ocGJCAoOOOL@@@G?KGG_`?sOT?@`@cKKFaB@kSSJEbw?CGMa@OwyECEbwggUNbA@WyABGCg_wd@APA@MACIO?WSUU`AqkW\AAARc?CLLq`_uYNGdw?KK]Np?okjCCfb{?EOOrQIUEFFCakSu^_BAAAIZNiGH?i[ffsKWibRixXdIha@ppGlEFDRaLZTT~,-396.197472062,uinvite_irt,127.0,-288.80579213,0:02:28.261935,:q`_?KCD@@`H??AA_`GcoECDO@cEZLFOGk?YMaa`{WONdcAHGfMHOO[CWLGTBCKIUddWsccRMO?PkxIErPx]YONQqkOQ]No?X?mXOsSS_SQIo_gWMZNhx`?bAA`apk}g_aAhgx^Op`YLMjbabITRFHDjaHFJIjEF,90,85,42,1008
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,177,8,13,:q_O?K?AA_?OOM?@@?ocCGD_?Os?AD_?_WSP@AoO{WN?@a@KGGECO?OSKI`@@C?AHEbg__[P_`Oow_Qab@s?CDCO?OKOL___guECFCASCQNIdwXE?HGP?g{_VeBgWSeS`@`{KOL`aPx}GIJfBsKPA@`PCGOTaA@pKhBjhWWslBCCTKGIUPoPgwd?CDRKWMKIFX?skh`A@g{l@AaA~,-407.230327348,uinvite_irt,138.0,-301.422892599,0:03:46.180487,:q`?GCE?@@oOSYBI?oOks?BCAWOONI`@@C?MMaBaKCIFDba@IOK_O?OKOHEoOgaqGCdwXER?ABqCqEDBP?o{jBEqPx_~CDCAxcw]``?o_vAIfwPT@CDdBEMmd`bqhXN?GgtKGiUMGtKw_[RQAk[[\RP`Wskb`Bry@Ija`sQL`,89,88,50,998
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,172,14,19,:q_O?K?AA_?OOM?@@?oc?AAAoOOKJ@@`GOUAABoOOKL??__WaACBAWGKNBCBGG_Z@@?o_UGHbagOcYQecQS?AAEPOomAABagGKGEbBAHQACBEX[SWPKo__gYOKoOP]AONO?GOXDDCRIA]YMgWOKOKFRAc?EJGrccGKJJoQX_|??`P?o\@AcRiYAAAaQ{{k`QQbqeaeToXxv,-410.62772343,uinvite_irt,142.0,-307.141865025,0:02:43.303991,:q`_GGIKA_QO?IN@B@w?GIG_`?gYEF_AH?oZAASowiCHEciHI]PHdWkKMG```tQnJko__SSVKpqxiAONOOP}IGMq@xgy``bCSogZ_?qHc|QQP`Xo~?GEG?CGGCbbkCaaROOWOIIJecdXLINIXXtLhffTA~,78,94,48,1005
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,-496.355842445,uinvite_irt,142.0,-382.505924564,0:02:49.364257,:q_O?KICBb_W?GFDBO?[?EDDRO?GMIf`?o]WN`@OsKQKGo?gkZECcwGyMJECh_{_U_`A{OSKJoqKCGPJO_haQRJOPHiAEEcbs?vABDR{OKIGP@Hkw]a@pHyO^`bq@w~?A@QTD?b`@`CGiUOpP`Oy]RR@h?mjfeSS?E[NhWgX\ADFC[KGVN^,98,92,50,985
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,192,2,2,:q_O?K?AA_?OOM?@@?oc?CD``GGGH?A@Os?ABA@WWOII__o_YCBAA`[?IH_@pOkZ?@@?oa?O`?oggWO__opAULaBPxQ?@Aa`[?CIDoOX?fAAaQp]IHHo?WOIMFo?WSQOaaQCGGDBCGws_ZaaQ[OgTNpPOoYW_?o_U_]``G@XD?AaWGSUV``@yI?BAaAs_SKJEGgoYWRIW?gcYTPPQe?CBBbI]ADDBq{gWU,-537.14387174,uinvite_irt,176.0,-395.422422562,0:04:11.576633,:q`??KOF?AQ?c?GE`@?kSMI`?wOWQJcoowkZ?@@?oa@BDCWpEMJEpp{CEIIO`l?eU___kKQIHdg?SYMLO?WSRAGvpgw`BJSQ`Su^_a`g}?XNP?p?|CDgx@csaaDsCCnNNO?WTEh`a@_skdSOOhxGeSo?GgWQTR`x?cVTJDkGIEKggG{mXVQ``J,83,109,67,966
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,173,3,3,:q_O?K?AA_?OOM?@@?ocCH??__[CCBAoOcCCCAo?GM?AAagGKGGDOOO]CDEoOWSOJ_`@KGGDEP?sCGH_?ok?ABDoOWs`BDCgGK\@@BbKCqY``psKQIHo?WSOY`Ab@u?@DFgwws[`FwOcZIEEbyMMMOoO`Oyb``RSHD@@cAtg}b_?o_oj@CAq@]GLNgH`aECAabsHCcTO_W{d,-490.761089801,uinvite_irt,148.0,-392.796270209,0:04:44.442885,:q`_OS?CB_pWcSLI?__ge?@_@O{SNA`@PGgZ?@ApcCGGCpP?oZCaAPWuCDFo?GKVGGO?XIABEbgG[OXieRS[VHDbA[KOH`FWGGiVbbbd}CSdBBP|FFFgXHOyba`p`\BagDjHs{bQo?WSWMIdrqAAGGDssGKLPrBC?EDB@pGg}eRrcQLKi`bqQLR,89,84,64,988
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,183,4,4,:q_O?K?AA_?OOM?@@?ocGGD_?o_Y?@@`GwaKFCo?[?ECBO_gYAAA@W?CCBBaG?ICBBa@cCCCCBwOOML`?pxE?A@cASCOKFOp?qCBBawOOKL`?oxa?@@o?os[PeCQp]CCAbWOS|?BBAtCm\OOO[KKRKO?waIGFew_W[WLOb`u_RIERP}aQKhwOo]TQQ@yU?BBHWGKOM`Ar@hFPORq`c~RKeb~,-517.084032643,uinvite_irt,150.0,-392.940640664,0:02:49.464534,:q`_g?EBCAo?WY?BAQ_oeFE`@`CQAFCOGw_X@AA@kGMN`@qK?CBCcg?COKFQ@Woh?@?pWwdADO__w_W___g}AAA@`PEaUJoogsf]a```WzCBa``\@@@bxOweYNPWg_WZ```p[oYksAXOrEKhw?WWTQIH@PGd_@S[suaPqppcsbbcTK{_^fCq`h\,93,90,60,982
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,166,5,5,:q_O?K?AA_?OOM?@@?oc?AA@o?WUABA@O{CL?@`WGWRECawGKIJaag?SNDDBg?OPCAag?cUKdCG@MKHDcwGS[Q``O{OINJeGpKlGGo?kkeYaA`xGpA@`?hyAPLoO`CvYMoOaEECAfg`w~?FCBs?QJHebkOIcdcrSCEFDFwWSPDBhG?CEGFEWW{o[QIx[w`?BaDiz,-510.993655805,uinvite_irt,135.0,-400.523845882,0:04:07.355476,:q`??KCD?__gGIEDBO?GOJA__wGeKJ__o_mZ?ba`o}`DDQPki?R_``GmADDB`xEGDBaIPaKR`aGOSTJHpASKIEBbr@yvCGgJPuACLGW?S\AA@p@}[]Qo@GkeYMgxgxGdfcrSKM[Ngsty]WSO?W_a^``b@o{cRIx?lNFGCh?kqk,87,79,56,1003
