id,game,category,item,RT,RTstart,shortlist
1,0,animals,dog,3383,3383,0
1,0,animals,cat,2168,5551,0
1,0,animals,bird,2846,8397,0
1,0,animals,platypus,7012,15409,0
1,0,animals,fish,2719,18128,0
1,0,animals,whale,1459,19587,0
1,0,animals,rat,1772,21359,0
1,0,animals,mouse,5042,26401,0
1,0,animals,scorpion,7008,33409,0
1,0,animals,bear,4751,38160,0
1,0,animals,deer,5555,43715,0
1,0,animals,tiger,10473,54188,0
1,0,animals,lion,1304,55492,0
1,0,animals,butterfly,2275,57767,0
1,0,animals,elephant,2579,60346,0
1,0,animals,capibaira,11151,71497,0
1,0,animals,snake,2830,74327,0
1,0,animals,crocodile,6636,80963,0
1,0,animals,eagle,9010,89973,0
1,0,animals,dolphin,8394,98367,0
1,0,animals,panda,1369,99736,0
1,0,animals,wasp,18415,118151,0
1,0,animals,bee,1542,119693,0
1,1,supermarket items,pasta,4767,4767,0
1,1,supermarket items,potato,1941,6708,0
1,1,supermarket items,peach,3289,9997,0
1,1,supermarket items,cereal,2859,12856,0
1,1,supermarket items,apple,4319,17175,0
1,1,supermarket items,banana,2946,20121,0
1,1,supermarket items,shampoo,5493,25614,0
1,1,supermarket items,wine,4299,29913,0
1,1,supermarket items,yogurt,2935,32848,0
1,1,supermarket items,milk,3548,36396,0
1,1,supermarket items,orangejuice,5201,41597,0
1,1,supermarket items,soup,3571,45168,0
1,1,supermarket items,kale,3287,48455,0
1,1,supermarket items,spinach,4648,53103,0
1,1,supermarket items,colliflower,9276,62379,0
1,1,supermarket items,orange,6814,69193,0
1,1,supermarket items,facewash,4542,73735,0
1,1,supermarket items,gum,1867,75602,0
1,1,supermarket items,powerade,3691,79293,0
1,1,supermarket items,popcorn,6495,85788,0
1,1,supermarket items,tea,1582,87370,0
1,1,supermarket items,coffee,2480,89850,0
1,1,supermarket items,cheese,7529,97379,0
1,1,supermarket items,butter,2563,99942,0
1,1,supermarket items,bread,2072,102014,0
1,1,supermarket items,browny,13427,115441,0
1,1,supermarket items,cooky,2456,117897,0
1,2,animals,dog,3123,3123,0
1,2,animals,cat,1154,4277,0
1,2,animals,fish,1096,5373,0
1,2,animals,eagle,2407,7780,0
1,2,animals,canary,2277,10057,0
1,2,animals,panda,3614,13671,0
1,2,animals,koala,1972,15643,0
1,2,animals,dolphin,3085,18728,0
1,2,animals,squid,2984,21712,0
1,2,animals,lion,4207,25919,0
1,2,animals,tiger,1892,27811,0
1,2,animals,whale,3418,31229,0
1,2,animals,rhino,14077,45306,0
1,2,animals,pirana,6617,51923,0
1,2,animals,opossum,9284,61207,0
1,2,animals,rat,1693,62900,0
1,2,animals,mouse,1317,64217,0
1,2,animals,goldfish,8523,72740,0
1,2,animals,elephant,3169,75909,0
1,2,animals,squirrel,6095,82004,0
1,2,animals,chipmunk,6109,88113,0
1,2,animals,monkey,4528,92641,0
1,2,animals,marmoset,5069,97710,0
1,2,animals,gorilla,4465,102175,0
1,2,animals,chimpanzee,6971,109146,0
1,2,animals,human,3958,113104,0
1,3,supermarket items,apple,4586,4586,0
1,3,supermarket items,peach,1392,5978,0
1,3,supermarket items,strwberry,4104,10082,0
1,3,supermarket items,raspberry,8215,18297,0
1,3,supermarket items,orangejuice,5939,24236,0
1,3,supermarket items,bread,1434,25670,0
1,3,supermarket items,cheese,1965,27635,0
1,3,supermarket items,butter,2156,29791,0
1,3,supermarket items,ham,2849,32640,0
1,3,supermarket items,beef,1590,34230,0
1,3,supermarket items,chicken,2532,36762,0
1,3,supermarket items,fish,3453,40215,0
1,3,supermarket items,oliv,8014,48229,0
1,3,supermarket items,spinach,3073,51302,0
1,3,supermarket items,kale,1608,52910,0
1,3,supermarket items,pineapple,3668,56578,0
1,3,supermarket items,shampoo,3433,60011,0
1,3,supermarket items,conditioner,2759,62770,0
1,3,supermarket items,pudding,6978,69748,0
1,3,supermarket items,pasta,1788,71536,0
1,3,supermarket items,potato,4316,75852,0
1,3,supermarket items,milk,5564,81416,0
1,3,supermarket items,yogurt,2698,84114,0
1,3,supermarket items,icecream,4164,88278,0
1,3,supermarket items,frozenpizza,13827,102105,0
1,3,supermarket items,gum,1280,103385,0
1,3,supermarket items,redbull,6595,109980,0
1,3,supermarket items,cocacola,5766,115746,0
1,4,animals,hippo,9042,9042,0
1,4,animals,rhino,2400,11442,0
1,4,animals,sheep,3410,14852,0
1,4,animals,giraffe,3169,18021,0
1,4,animals,bee,2735,20756,0
1,4,animals,bat,2946,23702,0
1,4,animals,canary,6586,30288,0
1,4,animals,cat,1612,31900,0
1,4,animals,dolphin,9033,40933,0
1,4,animals,elephant,4759,45692,0
1,4,animals,anteater,2711,48403,0
1,4,animals,rat,2412,50815,0
1,4,animals,mouse,1378,52193,0
1,4,animals,hyena,5498,57691,0
1,4,animals,lion,2593,60284,0
1,4,animals,tiger,1560,61844,0
1,4,animals,puma,3334,65178,0
1,4,animals,cheetah,2737,67915,0
1,4,animals,human,3553,71468,0
1,4,animals,chimpanzee,3509,74977,0
1,4,animals,gorilla,3046,78023,0
1,4,animals,dog,5867,83890,0
1,4,animals,leopard,8166,92056,0
1,4,animals,squid,4834,96890,0
1,4,animals,squirrel,8003,104893,0
1,4,animals,squid,4572,109465,0
1,4,animals,whale,2091,111556,0
1,4,animals,octopus,2049,113605,0
1,4,animals,wasp,2696,116301,0
1,4,animals,bear,3043,119344,0
1,5,supermarket items,bread,7092,7092,0
1,5,supermarket items,toothpaste,3770,10862,0
1,5,supermarket items,toothbrush,4212,15074,0
1,5,supermarket items,tampon,4644,19718,0
1,5,supermarket items,vitamin,3072,22790,0
1,5,supermarket items,shampoo,8612,31402,0
1,5,supermarket items,conditioner,3151,34553,0
1,5,supermarket items,popcorn,3860,38413,0
1,5,supermarket items,kettlecorn,4674,43087,0
1,5,supermarket items,cheese,3771,46858,0
1,5,supermarket items,butter,1846,48704,0
1,5,supermarket items,ham,1525,50229,0
1,5,supermarket items,beef,3155,53384,0
1,5,supermarket items,chicken,2178,55562,0
1,5,supermarket items,bacon,2648,58210,0
1,5,supermarket items,rib,3338,61548,0
1,5,supermarket items,potato,6311,67859,0
1,5,supermarket items,gum,3646,71505,0
1,5,supermarket items,fabreze,5567,77072,0
1,5,supermarket items,pineapple,8092,85164,0
1,5,supermarket items,apple,1949,87113,0
1,5,supermarket items,spinach,1899,89012,0
1,5,supermarket items,kale,1188,90200,0
