method,simnum,listnum,hit,miss,fa,cr,cost,startseed
rw,0,1,53,340,45,12282,385.0,0
goni,0,1,4,389,1,12326,390.0,0
chan,0,1,50,343,44,12283,387.0,0
kenett,0,1,14,379,244,12083,623.0,0
fe,0,1,3,390,0,12327,390.0,0
rw,0,2,100,293,86,12241,379.0,0
goni,0,2,22,371,8,12319,379.0,0
chan,0,2,80,313,67,12260,380.0,0
kenett,0,2,17,376,352,11975,728.0,0
fe,0,2,6,387,0,12327,387.0,0
rw,0,3,146,247,121,12206,368.0,0
goni,0,3,48,345,21,12306,366.0,0
chan,0,3,87,306,83,12244,389.0,0
kenett,0,3,19,374,386,11941,760.0,0
fe,0,3,9,384,0,12327,384.0,0
rw,0,4,184,209,157,12170,366.0,0
goni,0,4,73,320,30,12297,350.0,0
chan,0,4,100,293,91,12236,384.0,0
kenett,0,4,24,369,408,11919,777.0,0
fe,0,4,12,381,0,12327,381.0,0
rw,0,5,212,181,189,12138,370.0,0
goni,0,5,107,286,36,12291,322.0,0
chan,0,5,109,284,91,12236,375.0,0
kenett,0,5,14,379,430,11897,809.0,0
fe,0,5,15,378,0,12327,378.0,0
rw,0,6,245,148,222,12105,370.0,0
goni,0,6,121,272,45,12282,317.0,0
chan,0,6,109,284,99,12228,383.0,0
kenett,0,6,17,376,433,11894,809.0,0
fe,0,6,18,375,0,12327,375.0,0
rw,0,7,265,128,245,12082,373.0,0
goni,0,7,160,233,68,12259,301.0,0
chan,0,7,120,273,84,12243,357.0,0
kenett,0,7,21,372,441,11886,813.0,0
fe,0,7,21,372,0,12327,372.0,0
rw,0,8,289,104,273,12054,377.0,0
goni,0,8,181,212,83,12244,295.0,0
chan,0,8,122,271,65,12262,336.0,0
kenett,0,8,20,373,448,11879,821.0,0
fe,0,8,24,369,0,12327,369.0,0
rw,0,9,304,89,299,12028,388.0,0
goni,0,9,198,195,106,12221,301.0,0
chan,0,9,121,272,58,12269,330.0,0
kenett,0,9,20,373,448,11879,821.0,0
fe,0,9,27,366,0,12327,366.0,0
rw,0,10,319,74,325,12002,399.0,0
goni,0,10,226,167,114,12213,281.0,0
chan,0,10,123,270,50,12277,320.0,0
kenett,0,10,27,366,441,11886,807.0,0
fe,0,10,30,363,0,12327,363.0,0
rw,0,11,329,64,356,11971,420.0,0
goni,0,11,238,155,130,12197,285.0,0
chan,0,11,122,271,44,12283,315.0,0
kenett,0,11,25,368,443,11884,811.0,0
fe,0,11,33,360,0,12327,360.0,0
rw,0,12,340,53,377,11950,430.0,0
goni,0,12,252,141,139,12188,280.0,0
chan,0,12,127,266,42,12285,308.0,0
kenett,0,12,35,358,436,11891,794.0,0
fe,0,12,36,357,0,12327,357.0,0
rw,0,13,344,49,409,11918,458.0,0
goni,0,13,263,130,150,12177,280.0,0
chan,0,13,129,264,36,12291,300.0,0
kenett,0,13,38,355,433,11894,788.0,0
fe,0,13,39,354,0,12327,354.0,0
rw,0,14,349,44,435,11892,479.0,0
goni,0,14,277,116,157,12170,273.0,0
chan,0,14,139,254,27,12300,281.0,0
kenett,0,14,27,366,444,11883,810.0,0
fe,0,14,42,351,0,12327,351.0,0
rw,0,15,359,34,468,11859,502.0,0
goni,0,15,285,108,166,12161,274.0,0
chan,0,15,138,255,23,12304,278.0,0
kenett,0,15,202,191,272,12055,463.0,0
fe,0,15,45,348,0,12327,348.0,0
rw,0,16,363,30,491,11836,521.0,0
goni,0,16,293,100,172,12155,272.0,0
chan,0,16,137,256,24,12303,280.0,0
kenett,0,16,216,177,258,12069,435.0,0
fe,0,16,48,345,0,12327,345.0,0
rw,0,17,366,27,515,11812,542.0,0
goni,0,17,299,94,176,12151,270.0,0
chan,0,17,140,253,25,12302,278.0,0
kenett,0,17,221,172,253,12074,425.0,0
fe,0,17,51,342,0,12327,342.0,0
rw,0,18,367,26,539,11788,565.0,0
goni,0,18,305,88,181,12146,269.0,0
chan,0,18,141,252,22,12305,274.0,0
kenett,0,18,209,184,265,12062,449.0,0
fe,0,18,53,340,0,12327,340.0,0
rw,0,19,371,22,552,11775,574.0,0
goni,0,19,313,80,194,12133,274.0,0
chan,0,19,142,251,22,12305,273.0,0
kenett,0,19,217,176,257,12070,433.0,0
fe,0,19,54,339,0,12327,339.0,0
rw,0,20,371,22,567,11760,589.0,0
goni,0,20,324,69,201,12126,270.0,0
chan,0,20,145,248,19,12308,267.0,0
kenett,0,20,219,174,255,12072,429.0,0
fe,0,20,57,336,0,12327,336.0,0
rw,0,21,374,19,590,11737,609.0,0
goni,0,21,330,63,219,12108,282.0,0
chan,0,21,143,250,18,12309,268.0,0
kenett,0,21,228,165,246,12081,411.0,0
fe,0,21,59,334,0,12327,334.0,0
rw,0,22,375,18,612,11715,630.0,0
goni,0,22,336,57,225,12102,282.0,0
chan,0,22,143,250,17,12310,267.0,0
kenett,0,22,228,165,246,12081,411.0,0
fe,0,22,62,331,0,12327,331.0,0
rw,0,23,376,17,630,11697,647.0,0
goni,0,23,340,53,240,12087,293.0,0
chan,0,23,144,249,16,12311,265.0,0
kenett,0,23,227,166,247,12080,413.0,0
fe,0,23,63,330,0,12327,330.0,0
rw,0,24,379,14,656,11671,670.0,0
goni,0,24,346,47,246,12081,293.0,0
chan,0,24,142,251,18,12309,269.0,0
kenett,0,24,235,158,239,12088,397.0,0
fe,0,24,66,327,0,12327,327.0,0
rw,0,25,381,12,678,11649,690.0,0
goni,0,25,347,46,259,12068,305.0,0
chan,0,25,142,251,19,12308,270.0,0
kenett,0,25,223,170,251,12076,421.0,0
fe,0,25,69,324,0,12327,324.0,0
rw,0,26,382,11,696,11631,707.0,0
goni,0,26,344,49,270,12057,319.0,0
chan,0,26,144,249,16,12311,265.0,0
kenett,0,26,235,158,239,12088,397.0,0
fe,0,26,72,321,0,12327,321.0,0
