method,simnum,listnum,hit,miss,fa,cr,cost
uinvite_flat_noirt,0,1,59,334,39,12288,373.0
uinvite_flat_noirt,0,2,114,279,66,12261,345.0
uinvite_flat_noirt,0,3,155,238,101,12226,339.0
uinvite_flat_noirt,0,4,199,194,136,12191,330.0
uinvite_flat_noirt,0,5,223,170,155,12172,325.0
uinvite_flat_noirt,0,6,248,145,179,12148,324.0
uinvite_flat_noirt,0,7,271,122,200,12127,322.0
uinvite_flat_noirt,0,8,282,111,230,12097,341.0
uinvite_flat_noirt,0,9,304,89,274,12053,363.0
uinvite_flat_noirt,0,10,323,70,302,12025,372.0
uinvite_flat_noirt,0,11,333,60,343,11984,403.0
uinvite_flat_noirt,0,12,342,51,361,11966,412.0
uinvite_flat_noirt,0,13,346,47,389,11938,436.0
uinvite_flat_noirt,0,14,354,39,401,11926,440.0
uinvite_flat_noirt,0,15,355,38,387,11940,425.0
uinvite_flat_noirt,0,16,361,32,403,11924,435.0
uinvite_flat_noirt,0,17,362,31,401,11926,432.0
