method,simnum,listnum,hit,miss,fa,cr,cost
uinvite_noirt,0,1,59,334,39,12288,373.0
uinvite_noirt,0,2,109,284,63,12264,347.0
uinvite_noirt,0,3,131,262,87,12240,349.0
uinvite_noirt,0,4,145,248,102,12225,350.0
uinvite_noirt,0,5,161,232,110,12217,342.0
uinvite_noirt,0,6,175,218,119,12208,337.0
uinvite_noirt,0,7,186,207,130,12197,337.0
uinvite_noirt,0,8,193,200,130,12197,330.0
uinvite_noirt,0,9,190,203,129,12198,332.0
uinvite_noirt,0,10,196,197,124,12203,321.0
uinvite_noirt,0,11,199,194,119,12208,313.0
uinvite_noirt,0,12,203,190,124,12203,314.0
uinvite_noirt,0,13,202,191,119,12208,310.0
