subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5
S100,seal,sandshark,0,0,0,0,0,1,0,0
S100,rhinoceros,parrot,0,1,0,0,0,0,1,0
S100,otter,mole,1,1,0,0,0,0,1,1
S100,anteater,duck,0,0,0,0,0,1,0,0
S100,lemur,gorilla,0,1,0,1,0,0,1,0
S100,rat,vole,0,1,0,1,0,0,1,0
S100,panda,kangaroo,0,1,0,0,0,0,1,0
S100,cougar,mongoose,1,0,0,0,0,0,0,0
S100,woodchuck,raptor,1,1,0,0,1,0,1,1
S100,bear,raccoon,0,1,0,0,0,0,1,0
S100,wildebeest,beetle,0,0,0,0,0,1,0,0
S100,walrus,wolf,0,1,0,0,0,0,1,0
S100,koala,buffalo,0,1,0,0,0,0,1,0
S100,crocodile,elephant,0,1,0,0,0,0,1,0
S100,guineapig,pig,0,1,0,0,0,0,1,0
S100,bear,alligator,0,1,0,0,0,0,1,0
S100,hare,horse,0,1,0,0,0,0,0,0
S100,kingcobra,bass,0,0,0,0,0,1,0,0
S100,platypus,bat,0,1,0,0,0,0,1,0
S100,crow,turtle,0,1,0,0,0,0,1,0
S100,snail,pika,0,0,0,0,0,1,0,0
S100,mule,yak,0,0,0,0,0,1,0,0
S100,snail,slug,0,1,0,0,1,0,1,0
S100,hawk,parakeet,0,1,0,0,0,0,1,0
S100,jellyfish,sheep,0,1,0,0,0,0,1,0
S100,jaguar,gorilla,0,1,0,0,0,0,1,0
S100,cheetah,deer,0,1,0,0,0,0,1,0
S100,fawn,fox,0,1,0,0,0,0,1,1
S100,lemur,boar,0,0,0,0,0,1,0,0
S100,platypus,otter,0,1,0,1,0,0,1,1
S100,snake,penguin,0,1,0,0,0,0,1,0
S100,squirrel,hamster,0,1,0,0,0,0,1,0
S100,hippopotamus,bobcat,0,1,0,0,0,0,1,0
S100,salmon,seal,0,1,0,1,0,0,1,1
S100,ostrich,emu,1,1,0,1,1,0,1,1
S100,woodpecker,robin,1,1,0,0,1,0,1,1
S100,chameleon,woodchuck,0,0,0,0,0,1,0,0
S100,piranha,octopus,0,1,0,0,0,0,1,0
S100,giraffe,lizard,0,1,0,0,0,0,1,0
S100,mouse,octopus,0,1,0,0,0,0,1,0
S100,honeybadger,badger,0,1,0,0,1,0,1,1
S100,beetle,hummingbird,0,1,0,0,0,0,1,1
S100,ocelot,puppy,0,0,0,0,0,1,0,0
S100,chihuahua,pitbull,1,1,0,0,1,0,1,1
S100,chipmunk,rabbit,0,1,0,1,0,0,1,0
S100,elephant,seal,0,1,0,0,0,0,1,0
S100,lizard,human,0,1,0,0,0,0,1,1
S100,opossum,vulture,1,1,0,1,1,0,1,1
S100,tiger,buffalo,0,1,0,0,0,0,0,0
S100,wolverine,clownfish,0,0,0,0,0,1,0,0
S100,mongoose,owl,0,1,0,0,0,0,1,1
S100,wolverine,beaver,0,1,0,1,0,0,1,1
S100,salamander,armadillo,1,0,0,0,0,0,0,0
S100,donkey,squirrel,0,1,0,0,0,0,1,0
S100,spermwhale,chinchilla,0,0,0,0,0,1,0,0
S100,jellyfish,owl,0,1,0,1,0,0,1,0
S100,chicken,mule,0,1,0,0,0,0,0,0
S100,sloth,parakeet,0,0,0,1,0,0,0,0
S100,donkey,cow,0,1,0,1,0,0,1,0
S100,bobcat,polarbear,0,1,0,0,0,0,1,1
S100,turtle,lizard,0,1,0,1,0,0,1,0
S100,jaguar,lynx,1,1,0,0,0,0,1,1
S100,crocodile,puma,1,1,0,0,0,0,1,1
S100,magpie,sparrow,0,1,0,0,0,0,1,1
S100,persian,buzzard,0,0,0,0,0,1,0,0
S100,parrot,salmon,1,0,0,0,0,0,0,1
S100,human,owl,0,0,0,0,0,1,0,0
S100,wildebeest,buffalo,0,1,0,0,0,0,1,1
S100,woodpecker,orangutan,1,1,0,0,0,0,1,1
S100,crocodile,lizard,0,1,0,0,0,0,1,0
S100,goat,buffalo,0,1,0,0,0,0,1,0
S100,swallow,lobster,0,0,0,0,0,1,0,0
S100,flamingo,rabbit,0,1,0,0,0,0,1,0
S100,rat,pig,0,1,0,0,0,0,1,0
S100,killerwhale,penguin,1,1,0,0,1,0,1,1
S100,snake,cricket,1,1,0,0,0,0,1,1
S100,platypus,giraffe,0,1,0,0,0,0,0,0
S100,snake,mountainlion,0,1,0,0,0,0,1,0
S100,aardvark,manatee,1,1,0,0,1,0,1,1
S100,bluewhale,warthog,0,0,0,0,0,1,0,0
S100,shark,deer,0,1,0,0,0,0,1,0
S100,chihuahua,panda,0,0,0,0,0,1,0,0
S100,cockatoo,penguin,0,0,0,0,0,0,0,1
S100,shrew,hornet,0,0,0,0,0,1,0,0
S100,lion,wolf,0,1,0,0,1,0,1,0
S100,human,ape,1,1,0,1,1,0,1,1
S100,rat,guineapig,0,1,0,1,0,1,1,0
S100,wolverine,fox,0,1,0,0,0,0,1,0
S100,kinkajou,arcticfox,1,1,0,0,1,0,1,1
S100,lamb,cow,0,1,0,1,0,0,1,0
S100,octopus,fish,0,1,0,0,0,0,1,0
S100,possum,turtle,0,1,0,1,0,0,1,0
S100,spider,humpbackwhale,0,1,0,0,0,0,1,1
S100,python,bear,0,0,0,0,0,1,0,0
S100,kangaroo,mouse,0,1,0,0,0,0,0,0
S100,crocodile,flamingo,0,1,0,0,0,0,1,0
S100,magpie,lizard,0,0,0,0,0,1,0,0
S100,monkey,orangutan,0,1,0,1,0,0,1,0
S100,woodpecker,polarbear,0,1,0,0,0,0,1,1
S100,guineapig,cat,0,1,0,0,0,0,0,0
S100,fly,moth,0,1,0,1,1,0,1,0
S100,clownfish,eel,1,1,0,0,0,0,1,1
S100,snake,dog,0,1,0,0,1,0,1,0
S100,pelican,polarbear,0,1,0,1,0,0,1,1
S100,ibis,centipede,0,0,0,0,0,1,0,0
S100,skunk,armadillo,0,1,0,0,0,0,1,0
S100,spidermonkey,lemur,1,1,0,0,0,0,1,1
S100,eel,alligator,0,1,0,0,0,0,1,0
S100,seal,walrus,0,1,0,1,0,0,1,0
S100,monkey,gorilla,1,1,0,1,1,0,1,1
S100,chihuahua,germanshepherd,1,1,0,0,1,0,1,1
S100,pigeon,tarantula,0,1,0,0,0,0,1,0
S100,pigeon,ostrich,0,1,0,0,0,0,1,0
S100,canary,pigeon,0,0,0,1,0,0,0,0
S100,llama,alligator,0,1,1,0,0,0,1,0
S100,woodpecker,tortoise,0,0,0,0,0,1,0,0
S100,lion,whale,0,1,0,0,0,0,0,0
S100,stingray,octopus,0,1,0,0,0,0,1,1
S100,newt,firefly,0,0,0,0,0,1,0,0
S100,snake,piranha,0,0,0,1,0,0,0,0
S100,heron,sheep,0,0,0,0,0,1,0,0
S100,eagle,vulture,1,1,0,1,0,0,1,1
S100,bluejay,owl,0,1,0,0,0,0,1,0
S100,anaconda,manx,0,1,0,0,1,0,1,0
S100,hawk,parrot,0,1,0,1,0,0,1,0
S100,stinkbug,carpetbeetle,1,1,0,0,0,0,1,1
S100,butterfly,snail,0,1,0,1,1,0,1,0
S100,chameleon,newt,1,1,0,1,1,0,1,1
S100,hyena,koi,0,0,0,0,0,1,0,0
S100,woodchuck,budgie,0,0,0,0,0,1,0,0
S100,dormouse,wolf,0,0,0,0,0,1,0,0
S100,cow,shrimp,0,1,0,0,0,0,0,0
S100,snake,rattlesnake,0,1,0,0,0,0,1,0
S100,hare,sheep,0,1,0,0,0,0,1,0
S100,otter,mongoose,0,0,0,0,0,1,0,0
S100,lion,puma,0,1,0,1,0,0,1,1
S100,crow,buzzard,1,1,0,0,1,0,1,1
S100,monkey,lion,0,1,0,0,0,0,1,0
S100,ostrich,seal,0,1,0,0,0,0,1,0
S100,bear,pika,1,1,0,0,1,0,0,1
S100,quahog,moose,0,0,0,0,0,1,0,0
S100,dinosaur,butterfly,1,1,0,0,0,0,1,1
S100,squid,gecko,0,1,0,0,0,0,1,1
S100,peacock,rooster,0,1,0,0,0,0,1,0
S100,komododragon,hornet,0,0,0,0,0,1,0,0
S100,goose,skunk,0,1,0,0,0,0,1,0
S100,zebra,gorilla,0,1,0,0,0,0,1,0
S100,emu,beaver,0,1,0,0,0,0,1,0
S100,koala,deer,0,1,0,0,0,0,1,0
S100,salmon,ox,0,0,0,0,0,1,0,0
S100,lizard,deer,0,1,0,0,0,0,1,0
S100,sheep,koala,0,1,0,0,0,0,1,0
S100,cow,oxen,0,0,0,1,0,0,0,0
S100,lemur,rabbit,0,1,0,0,0,0,1,0
S100,puma,mosquito,0,0,0,0,0,1,0,0
S100,mule,meerkat,0,0,0,0,0,1,0,0
S100,jellyfish,koi,0,0,0,0,0,1,0,0
S100,pheasant,oxen,0,0,0,0,0,1,0,0
S100,carp,beaver,1,1,0,0,0,0,1,1
S100,rhinoceros,mouse,0,1,0,0,0,0,1,0
S100,kitten,kinkajou,0,0,0,0,0,1,0,0
S100,tarantula,rattlesnake,1,1,0,0,0,0,1,1
S100,bluebird,finch,0,1,0,0,0,0,1,0
S100,stork,cat,1,0,0,0,0,0,0,0
S100,pony,horse,1,1,0,1,1,0,1,1
S100,bullfrog,lynx,0,0,0,0,0,1,0,0
S100,kangaroo,flamingo,0,1,0,0,0,0,1,0
S100,wallaby,gecko,1,1,0,0,0,0,1,1
S100,crow,gazelle,0,1,0,0,0,0,1,0
S100,llama,tapir,0,1,0,0,0,0,1,0
S100,brownbear,groundhog,0,0,0,0,0,1,0,0
S100,leopard,wolf,0,1,0,0,0,0,1,0
S100,goose,lemur,0,1,0,0,0,0,1,0
S100,monkey,tiger,0,1,0,0,1,0,1,0
S100,bat,lizard,0,1,0,0,0,0,1,0
S100,dingo,octopus,0,1,0,0,0,0,1,0
S100,parrot,owl,0,1,0,0,0,1,1,0
S100,hawk,giraffe,0,1,0,0,0,0,1,0
S100,aardvark,quail,0,0,0,0,0,1,0,0
S100,monkey,bear,0,1,0,0,0,0,1,0
S100,nutria,capybara,1,1,0,0,1,0,1,1
S100,rat,bird,0,1,0,0,0,0,1,0
S100,anaconda,viper,1,1,0,1,1,0,1,1
S100,dog,clam,0,0,0,0,0,0,0,1
S100,tarantula,pig,0,1,0,0,0,0,1,0
S100,daddylonglegs,lizard,1,1,0,0,1,0,1,1
S100,dragonfly,hog,0,0,0,0,0,1,0,0
S100,hippopotamus,fish,0,1,0,0,0,0,1,0
S100,tiger,leopard,0,1,0,1,0,0,1,0
S100,mule,deer,0,1,0,0,0,0,1,0
S100,hawk,finch,0,0,0,1,0,0,0,0
S100,monkey,hyena,0,1,0,0,0,0,1,0
S100,shark,axolotl,1,1,0,0,0,0,1,1
S100,elk,crane,0,0,0,0,0,1,0,0
S100,lemur,tapir,0,1,0,1,1,0,1,1
S100,polarbear,rooster,0,0,0,0,0,1,0,0
S100,fawn,sealion,0,0,0,0,0,1,0,0
S100,wasp,cattle,0,0,0,0,0,1,0,0
S100,parrot,flamingo,0,1,0,0,0,0,1,0
S100,koala,firefly,0,0,0,0,0,1,0,0
S100,panda,seal,0,1,0,0,0,0,1,0
S100,rhinoceros,wolf,0,1,0,0,0,0,0,0
S100,rhinoceros,swordfish,0,1,0,0,0,0,1,0
S100,donkey,gorilla,0,1,0,0,0,0,1,0
S100,echidna,zebra,0,0,0,0,0,1,0,0
S100,crow,chicken,0,1,0,0,0,0,1,0
S100,cat,leopard,0,0,0,0,0,1,0,0
S100,bronco,crane,0,0,0,0,0,1,0,0
S100,iguana,bluejay,0,1,0,0,0,0,1,1
S100,redfox,crane,0,0,0,0,0,1,0,0
S100,boaconstrictor,snake,0,1,0,0,0,0,1,1
S100,lion,gerbil,0,1,0,0,0,0,0,0
S100,rooster,mosquito,0,1,0,0,0,0,1,0
S100,rooster,owl,0,1,0,0,0,0,1,1
S100,falcon,rattlesnake,0,0,0,0,0,1,0,0
S100,turtle,wren,0,0,0,0,0,1,0,0
S100,warthog,meerkat,1,1,0,0,1,0,1,1
S100,hippopotamus,tapir,0,1,0,0,0,0,1,0
S100,axolotl,penguin,1,1,0,0,0,0,1,1
S100,dog,bat,0,1,0,0,0,0,1,0
S100,butterfly,fox,0,1,0,0,0,0,1,0
S100,polarbear,pufferfish,1,1,0,0,0,0,1,1
S100,dolphin,worm,0,1,0,0,0,0,1,0
S100,polarbear,penguin,0,1,0,1,0,0,1,1
S100,crow,hawk,0,1,0,1,0,0,1,1
S100,macaw,chicken,1,1,0,0,0,0,1,1
S100,iguana,salamander,1,1,0,1,1,0,1,1
S100,redfox,fox,1,1,0,0,1,0,1,1
S100,horse,owl,0,1,0,0,0,0,1,0
S100,cat,rooster,0,1,0,0,0,0,1,0
S100,panda,finch,0,0,0,0,0,0,0,1
S100,sandshark,stingray,1,1,0,0,1,0,1,1
S100,ibex,cottonmouth,0,0,0,0,0,1,0,0
S100,panda,chimpanzee,0,1,0,1,0,0,1,0
S100,whaleshark,conure,0,0,0,0,0,1,0,0
S100,dog,fish,0,1,0,0,0,0,1,0
S100,salmon,crab,0,1,0,0,0,0,1,1
S100,robin,ox,0,0,0,0,0,1,0,0
S100,bonobo,gecko,1,1,0,0,0,0,1,1
S100,gazelle,tapir,0,0,0,0,0,1,0,0
S100,narwhal,bluewhale,0,1,0,1,0,0,1,1
S100,steer,pig,0,1,0,0,0,0,1,1
S100,oyster,manatee,0,0,0,0,0,1,0,0
S100,beetle,mole,1,1,0,0,0,0,1,1
S100,iguana,adder,0,0,0,0,0,1,0,0
S100,gull,shrimp,0,0,0,0,0,1,0,0
S100,crocodile,hippopotamus,0,1,0,1,0,0,1,0
S100,vulture,robin,0,0,0,0,0,1,0,0
S100,honeybadger,parakeet,1,1,0,0,0,0,1,1
S100,dinosaur,deer,1,1,0,0,0,0,1,1
S100,blackbear,lion,0,1,0,0,0,0,1,1
S100,macaw,macaque,0,0,0,0,0,1,0,0
S100,ostrich,frog,0,1,0,0,0,0,1,0
S100,chicken,moose,0,1,0,0,0,0,1,0
S100,anteater,oxen,0,0,0,0,0,1,0,0
S100,ferret,honeybadger,0,0,0,0,0,1,0,0
S100,walrus,penguin,0,1,0,1,0,0,1,0
S100,fish,rabbit,0,1,0,0,0,0,1,0
