subj,item1,item2,bb5,bb6,bb7,bb8,bb9,zibb5,zibb6,zibb7,zibb8,zibb9
S100,caterpillar,butterfly,0,0,0,0,0,1,0,0,0,0
S100,ibis,octopus,0,0,0,0,0,1,0,0,0,0
S100,komododragon,flea,1,1,0,0,0,1,1,0,0,0
S100,antelope,buffalo,1,0,0,0,0,1,1,0,0,0
S100,dolphin,orca,1,0,0,0,0,1,1,0,0,0
S100,woodchuck,raptor,1,1,0,0,0,1,1,0,0,0
S100,sloth,eel,1,1,0,0,0,0,0,0,0,0
S100,stingray,octopus,0,0,0,0,0,1,0,0,0,0
S100,otter,mole,1,1,0,0,0,1,1,0,0,0
S100,monkey,wildcat,0,0,0,0,0,1,0,0,0,0
S100,seagull,moose,0,0,0,0,0,1,0,0,0,0
S100,fly,crane,1,1,0,0,0,1,1,0,0,0
S100,chicken,rooster,1,1,1,1,1,1,1,1,1,1
S100,giraffe,hippopotamus,0,0,0,0,0,1,1,1,1,1
S100,grasshopper,wren,1,1,0,0,0,1,1,0,0,0
S100,snail,slug,0,0,0,0,0,1,0,0,0,0
S100,mantis,cicada,1,1,0,0,0,1,1,0,0,0
S100,bonobo,monkey,1,1,0,0,0,1,1,0,0,0
S100,tapir,toucan,1,1,0,0,0,1,1,0,0,0
S100,fawn,fox,0,0,0,0,0,1,0,0,0,0
S100,anteater,jaguar,0,0,0,0,0,1,0,0,0,0
S100,platypus,otter,0,0,0,0,0,1,0,0,0,0
S100,sealion,walrus,1,1,1,0,0,1,1,1,0,0
S100,beaver,ewe,1,1,0,0,0,1,1,0,0,0
S100,salamander,gnat,1,1,0,0,0,1,1,0,0,0
S100,peccary,howlermonkey,1,1,0,0,0,1,1,0,0,0
S100,salmon,seal,0,0,0,0,0,1,0,0,0,0
S100,ostrich,emu,1,1,1,1,1,1,1,1,1,1
S100,sparrow,bat,0,0,0,0,0,1,0,0,0,0
S100,woodpecker,robin,1,1,0,0,0,1,1,0,0,0
S100,bull,oxen,1,1,0,0,0,1,1,0,0,0
S100,lion,puma,1,1,1,0,0,1,1,0,0,0
S100,beetle,hummingbird,0,0,0,0,0,1,0,0,0,0
S100,snake,fisher,0,0,0,0,0,1,1,0,0,0
S100,chihuahua,pitbull,1,1,0,0,0,1,1,0,0,0
S100,lizard,mongoose,0,0,0,0,0,1,0,0,0,0
S100,parrot,assassinbug,1,1,0,0,0,0,0,0,0,0
S100,sandshark,hammerheadshark,1,1,0,0,0,1,1,0,0,0
S100,monkey,chimpanzee,1,0,0,0,0,1,1,1,1,0
