filename,cutoff,hit,fa,cost
bb_a05,0.0,385,10485,10493
bb_a05,0.05,385,10485,10493
bb_a05,0.1,381,10457,10469
bb_a05,0.15,359,9587,9621
bb_a05,0.2,331,7134,7196
bb_a05,0.25,296,4818,4915
bb_a05,0.3,266,2395,2522
bb_a05,0.35,245,2366,2514
bb_a05,0.4,201,119,311
bb_a05,0.45,184,75,284
bb_a05,0.5,161,69,301
bb_a05,0.55,138,67,322
bb_a05,0.6,130,48,311
bb_a05,0.65,127,48,314
bb_a05,0.7,125,47,315
bb_a05,0.75,122,47,318
bb_a05,0.8,112,25,306
bb_a05,0.85,111,25,307
bb_a05,0.9,69,0,324
bb_a05,0.95,4,0,389
bb_a05,1.0,0,0,393
bb_a1,0.0,385,10485,10493
bb_a1,0.05,385,10485,10493
bb_a1,0.1,377,10345,10361
bb_a1,0.15,352,8619,8660
bb_a1,0.2,312,4839,4920
bb_a1,0.25,271,2405,2527
bb_a1,0.3,247,2374,2520
bb_a1,0.35,209,123,307
bb_a1,0.4,175,74,292
bb_a1,0.45,152,68,309
bb_a1,0.5,111,34,316
bb_a1,0.55,108,34,319
bb_a1,0.6,92,32,333
bb_a1,0.65,85,32,340
bb_a1,0.7,66,10,337
bb_a1,0.75,49,1,345
bb_a1,0.8,35,0,358
bb_a1,0.85,22,0,371
bb_a1,0.9,1,0,392
bb_a1,0.95,0,0,393
bb_a1,1.0,0,0,393
bb_a2,0.0,385,10485,10493
bb_a2,0.05,385,10485,10493
bb_a2,0.1,367,10099,10125
bb_a2,0.15,340,7149,7202
bb_a2,0.2,295,2441,2539
bb_a2,0.25,245,176,324
bb_a2,0.3,212,133,314
bb_a2,0.35,186,77,284
bb_a2,0.4,137,30,286
bb_a2,0.45,106,28,315
bb_a2,0.5,58,1,336
bb_a2,0.55,57,1,337
bb_a2,0.6,27,0,366
bb_a2,0.65,21,0,372
bb_a2,0.7,13,0,380
bb_a2,0.75,2,0,391
bb_a2,0.8,0,0,393
bb_a2,0.85,0,0,393
bb_a2,0.9,0,0,393
bb_a2,0.95,0,0,393
bb_a2,1.0,0,0,393
bb_a3,0.0,385,10485,10493
bb_a3,0.05,385,10485,10493
bb_a3,0.1,363,9591,9621
bb_a3,0.15,324,4857,4926
bb_a3,0.2,270,213,336
bb_a3,0.25,224,135,304
bb_a3,0.3,186,80,287
bb_a3,0.35,140,31,284
bb_a3,0.4,94,3,302
bb_a3,0.45,62,1,332
bb_a3,0.5,23,0,370
