method,simnum,subjects,hit,miss,fa,cr,cost,startseed
rw,0,1,73,320,21,12306,341,
goni,0,1,11,382,2,12325,384,
kenett,0,1,14,379,199,12128,578,
fe,0,1,3,390,0,12327,390,
rw,0,2,132,261,49,12278,310,
goni,0,2,33,360,3,12324,363,
kenett,0,2,13,380,305,12022,685,
fe,0,2,6,387,0,12327,387,
rw,0,3,174,219,78,12249,297,
goni,0,3,63,330,11,12316,341,
kenett,0,3,14,379,370,11957,749,
fe,0,3,9,384,0,12327,384,
rw,0,4,210,183,107,12220,290,
goni,0,4,89,304,19,12308,323,
kenett,0,4,12,381,399,11928,780,
fe,0,4,12,381,0,12327,381,
rw,0,5,235,158,131,12196,289,
goni,0,5,113,280,27,12300,307,
kenett,0,5,13,380,407,11920,787,
fe,0,5,15,378,0,12327,378,
rw,0,6,255,138,172,12155,310,
goni,0,6,138,255,36,12291,291,
kenett,0,6,17,376,421,11906,797,
fe,0,6,18,375,0,12327,375,
rw,0,7,271,122,203,12124,325,
goni,0,7,161,232,49,12278,281,
kenett,0,7,16,377,428,11899,805,
fe,0,7,20,373,0,12327,373,
rw,0,8,289,104,236,12091,340,
goni,0,8,181,212,61,12266,273,
kenett,0,8,19,374,428,11899,802,
fe,0,8,22,371,0,12327,371,
rw,0,9,308,85,264,12063,349,
goni,0,9,204,189,68,12259,257,
kenett,0,9,20,373,433,11894,806,
fe,0,9,25,368,0,12327,368,
rw,0,10,323,70,284,12043,354,
goni,0,10,225,168,90,12237,258,
kenett,0,10,21,372,438,11889,810,
fe,0,10,28,365,0,12327,365,
rw,0,11,337,56,309,12018,365,
goni,0,11,242,151,95,12232,246,
kenett,0,11,21,372,447,11880,819,
fe,0,11,31,362,0,12327,362,
rw,0,12,346,47,337,11990,384,
goni,0,12,250,143,117,12210,260,
kenett,0,12,24,369,444,11883,813,
fe,0,12,34,359,0,12327,359,
rw,0,13,359,34,363,11964,397,
goni,0,13,272,121,126,12201,247,
kenett,0,13,34,359,437,11890,796,
fe,0,13,37,356,0,12327,356,
rw,0,14,364,29,388,11939,417,
goni,0,14,282,111,141,12186,252,
kenett,0,14,27,366,444,11883,810,
fe,0,14,40,353,0,12327,353,
rw,0,15,369,24,408,11919,432,
goni,0,15,293,100,158,12169,258,
kenett,0,15,209,184,265,12062,449,
fe,0,15,43,350,0,12327,350,
rw,0,16,370,23,438,11889,461,
goni,0,16,301,92,165,12162,257,
kenett,0,16,213,180,261,12066,441,
fe,0,16,46,347,0,12327,347,
rw,0,17,375,18,454,11873,472,
goni,0,17,312,81,177,12150,258,
kenett,0,17,218,175,256,12071,431,
fe,0,17,48,345,0,12327,345,
rw,0,18,376,17,482,11845,499,
goni,0,18,318,75,177,12150,252,
kenett,0,18,219,174,255,12072,429,
fe,0,18,51,342,0,12327,342,
rw,0,19,378,15,504,11823,519,
goni,0,19,322,71,183,12144,254,
kenett,0,19,223,170,251,12076,421,
fe,0,19,53,340,0,12327,340,
rw,0,20,380,13,531,11796,544,
goni,0,20,331,62,186,12141,248,
kenett,0,20,221,172,253,12074,425,
fe,0,20,56,337,0,12327,337,
rw,0,21,380,13,554,11773,567,
goni,0,21,334,59,201,12126,260,
kenett,0,21,236,157,238,12089,395,
fe,0,21,58,335,0,12327,335,
rw,0,22,381,12,572,11755,584,
goni,0,22,337,56,210,12117,266,
kenett,0,22,235,158,239,12088,397,
fe,0,22,61,332,0,12327,332,
rw,0,23,382,11,595,11732,606,
goni,0,23,340,53,217,12110,270,
kenett,0,23,237,156,237,12090,393,
fe,0,23,64,329,0,12327,329,
rw,0,24,384,9,621,11706,630,
goni,0,24,345,48,234,12093,282,
kenett,0,24,241,152,233,12094,385,
fe,0,24,67,326,0,12327,326,
rw,0,25,387,6,647,11680,653,
goni,0,25,348,45,242,12085,287,
kenett,0,25,243,150,231,12096,381,
fe,0,25,69,324,0,12327,324,
rw,0,26,387,6,673,11654,679,
goni,0,26,350,43,250,12077,293,
kenett,0,26,242,151,232,12095,383,
fe,0,26,71,322,0,12327,322,
rw,0,27,388,5,693,11634,698,
goni,0,27,351,42,247,12080,289,
kenett,0,27,248,145,226,12101,371,
fe,0,27,74,319,0,12327,319,
rw,0,28,390,3,707,11620,710,
goni,0,28,352,41,262,12065,303,
kenett,0,28,247,146,227,12100,373,
fe,0,28,75,318,0,12327,318,
rw,0,29,390,3,726,11601,729,
goni,0,29,355,38,273,12054,311,
kenett,0,29,251,142,223,12104,365,
fe,0,29,78,315,0,12327,315,
rw,0,30,390,3,745,11582,748,
goni,0,30,354,39,291,12036,330,
kenett,0,30,260,133,214,12113,347,
fe,0,30,81,312,0,12327,312,
rw,0,31,390,3,780,11547,783,
goni,0,31,354,39,296,12031,335,
kenett,0,31,255,138,219,12108,357,
fe,0,31,81,312,0,12327,312,
rw,0,32,390,3,803,11524,806,
goni,0,32,359,34,301,12026,335,
kenett,0,32,260,133,214,12113,347,
fe,0,32,82,311,0,12327,311,
rw,0,33,390,3,824,11503,827,
goni,0,33,360,33,309,12018,342,
kenett,0,33,262,131,212,12115,343,
fe,0,33,84,309,0,12327,309,
rw,0,34,391,2,843,11484,845,
goni,0,34,364,29,318,12009,347,
kenett,0,34,260,133,214,12113,347,
fe,0,34,87,306,0,12327,306,
rw,0,35,391,2,863,11464,865,
goni,0,35,365,28,320,12007,348,
kenett,0,35,257,136,217,12110,353,
fe,0,35,90,303,0,12327,303,
rw,0,36,391,2,880,11447,882,
goni,0,36,366,27,330,11997,357,
kenett,0,36,262,131,212,12115,343,
fe,0,36,92,301,0,12327,301,
rw,0,37,391,2,897,11430,899,
goni,0,37,366,27,328,11999,355,
kenett,0,37,260,133,214,12113,347,
fe,0,37,94,299,0,12327,299,
rw,0,38,391,2,912,11415,914,
goni,0,38,368,25,335,11992,360,
kenett,0,38,266,127,208,12119,335,
fe,0,38,96,297,0,12327,297,
rw,0,39,391,2,931,11396,933,
goni,0,39,367,26,334,11993,360,
kenett,0,39,265,128,209,12118,337,
fe,0,39,98,295,0,12327,295,
rw,0,40,392,1,944,11383,945,
goni,0,40,369,24,345,11982,369,
kenett,0,40,266,127,208,12119,335,
fe,0,40,101,292,0,12327,292,
rw,0,41,392,1,966,11361,967,
goni,0,41,370,23,352,11975,375,
kenett,0,41,264,129,210,12117,339,
fe,0,41,104,289,0,12327,289,
rw,0,42,392,1,982,11345,983,
goni,0,42,370,23,358,11969,381,
kenett,0,42,268,125,206,12121,331,
fe,0,42,107,286,0,12327,286,
rw,0,43,392,1,1006,11321,1007,
goni,0,43,374,19,360,11967,379,
kenett,0,43,266,127,208,12119,335,
fe,0,43,110,283,0,12327,283,
rw,0,44,392,1,1024,11303,1025,
goni,0,44,375,18,366,11961,384,
kenett,0,44,260,133,214,12113,347,
fe,0,44,110,283,0,12327,283,
rw,0,45,392,1,1037,11290,1038,
goni,0,45,375,18,382,11945,400,
kenett,0,45,261,132,213,12114,345,
fe,0,45,113,280,0,12327,280,
rw,0,46,392,1,1058,11269,1059,
goni,0,46,376,17,390,11937,407,
kenett,0,46,266,127,208,12119,335,
fe,0,46,115,278,0,12327,278,
rw,0,47,392,1,1076,11251,1077,
goni,0,47,375,18,391,11936,409,
kenett,0,47,268,125,206,12121,331,
fe,0,47,118,275,0,12327,275,
rw,0,48,392,1,1099,11228,1100,
goni,0,48,374,19,393,11934,412,
kenett,0,48,268,125,206,12121,331,
fe,0,48,119,274,0,12327,274,
rw,0,49,392,1,1120,11207,1121,
goni,0,49,377,16,400,11927,416,
kenett,0,49,266,127,208,12119,335,
fe,0,49,121,272,0,12327,272,
rw,0,50,392,1,1137,11190,1138,
goni,0,50,378,15,405,11922,420,
kenett,0,50,272,121,202,12125,323,
fe,0,50,124,269,0,12327,269,
rw,1,1,66,327,29,12298,356,
goni,1,1,9,384,2,12325,386,
kenett,1,1,11,382,190,12137,572,
fe,1,1,3,390,0,12327,390,
rw,1,2,122,271,56,12271,327,
goni,1,2,36,357,7,12320,364,
kenett,1,2,17,376,322,12005,698,
fe,1,2,6,387,0,12327,387,
rw,1,3,164,229,91,12236,320,
goni,1,3,60,333,18,12309,351,
kenett,1,3,20,373,379,11948,752,
fe,1,3,9,384,0,12327,384,
rw,1,4,207,186,119,12208,305,
