max_converge,theta,numgraphs,edgestotweak,numkeep,maxlen,jeff,numperseed,beta,offset,numnodes,numlinks,probrewire,numedges,graph_seed,numx,trim,x_seed,cost_orig,cost_irt,cost_noirt,time_irt,time_noirt,bestgraph_irt,bestgraph_noirt,disconnected_graph,hit_orig,miss_orig,fa_orig,cr_orig,hit_irt,miss_irt,fa_irt,cr_irt,hit_noirt,miss_noirt,fa_noirt,cr_noirt
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,0,5,1,0,20,15,14,03:20.8,01:54.1,2fc6ougxjfmx4k7e262lag25v4vx6ndpqzhu82szgefq,2fc5jekfa9ceicvqgj34fh6u5e49uc80r5o5zeozjaqe,0,25,5,15,60,22,8,7,68,21,9,5,70
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,1,5,1,1,27,25,21,03:10.9,02:09.8,2mm2q92tkct1k9bv4nanm8yj68f2msnrfzmlhr70vgem,2mltil4b9ujfulbgj9nlqnvn1hu9whbiz0dkzbb6iryu,0,25,5,22,53,19,11,14,61,19,11,10,65
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,2,5,1,2,19,16,11,04:05.4,02:09.6,140p7ob8w2tp5qxrsrvejdsmm0lllmbpommm3xf6ztau,140p7oafdgbbz859374t318vreg9zfi5lgqyyd0mvksm,0,27,3,16,59,22,8,8,67,21,9,2,73
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,3,5,1,3,22,15,21,04:47.2,01:26.2,2tv8rd39dmzlkdhvfjce50ch2unyhyvmq0gbdkssj3ui,20vmntfka9xk2rre0ucgp3g757erryqe8r0spaev09ca,0,25,5,17,58,23,7,8,67,19,11,10,65
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,4,5,1,4,21,16,13,03:59.5,01:57.4,2qh9zqw7nwk61u8dn54u987n4g3y1yn5wvvwutsbt352,1pveotueccex14d4l7uzozlodhhrxjinzyn60oo1mzuu,0,26,4,17,58,23,7,9,66,21,9,4,71
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,5,5,1,5,25,16,16,05:43.2,01:53.3,2u3psgdos8e30zme5wsqx5ounds577k8juaucdvz0zq8,1vk10jpqfunalloxafz8ckt0329te3w6tiv59zy58ji8,0,27,3,22,53,23,7,9,66,22,8,8,67
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,6,5,1,6,14,15,15,03:38.2,01:41.3,elfacwu1qztk6cs9fpm8qc8l0qalegmg3u8qki3eoue,ekf0p9pwdb4pltb62heqmsr5j19fecjej6bl5xt5vls,0,28,2,12,63,22,8,7,68,19,11,4,71
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,7,5,1,7,25,12,15,04:53.3,02:38.0,17o684jv8ld72i5zubr9dmycdgexjhfoxg54f3td4qhk,17o52oncha9shkh14mfpn3ch98x0ajftll9g05knkaa0,0,24,6,19,56,23,7,5,70,19,11,4,71
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,8,5,1,8,28,17,12,06:21.6,02:06.8,144qttccolgale9xqrxvjy59maer8mmk8p0jdis0kx0o,7eaa8a4xsr6ifd52go2w9hbmlvzomzv203khlwx4wso,0,23,7,21,54,22,8,9,66,20,10,2,73
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,9,5,1,9,24,22,10,05:30.5,02:32.5,1m8x3edzht1jcomobxrhnp6x7811cf2up2f6wbnlbhxm,1t1cuaxtzy2eu2p4qrzw0hbxkn48805xls381ej1fs,0,27,3,21,54,20,10,12,63,21,9,1,74
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,10,5,1,10,19,23,20,03:11.5,02:18.5,1mc03qwxx4rp25ywngxz5hwwvg093wg54ky689l10hdu,2ffrah2s90qj8hd77hwm5pcve4kee9wbf5gf3rx1xc76,0,26,4,15,60,18,12,11,64,18,12,8,67
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,11,5,1,11,14,15,9,04:23.8,01:30.2,1n4njsd46whmae4tn1oz54km60lsw68zs82cxdwzkmm8,1n4noyu9q0y60144mmwh2dkkemcc4q71tr0nwxqv9wqw,0,28,2,12,63,22,8,7,68,24,6,3,72
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,12,5,1,12,19,14,13,04:51.5,02:20.2,exzar1yt3em0c0r8lzdxklwgkoya7boggmxo4347402,eors8hquc3yw4to4y7o39c94qci89q3pfz2m2124jye,0,26,4,15,60,22,8,6,69,22,8,5,70
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,13,5,1,13,24,12,15,04:51.7,01:57.5,t5l9lm32fmd88km6kk8lvuopa8t5vknff5az06uzity,t4jutq4y3l5h849y2h40aw00fzl02j86zkprnrmql90,0,25,5,19,56,24,6,6,69,20,10,5,70
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,14,5,1,14,23,22,19,04:11.1,01:59.5,3r3qn0mgr27brli2npcahoox89mvjef2ut0bzb61xc4,3n9l9wcuhlyqgfm4mny5rtu6yn90xv8r82ezti2mbyk,0,24,6,17,58,21,9,13,62,18,12,7,68
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,15,5,1,15,20,18,14,02:54.8,01:48.6,4ckh0xp233xuwwiqino879fx56rhcvtqiquennmaac,1m9xa721lbnqw0w8e2aqksd31u48hhhgtgbwxo5wirmc,0,28,2,18,57,22,8,10,65,22,8,6,69
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,16,5,1,16,26,21,13,03:24.6,02:23.4,kx3m17p85cl9st9styj7ckm9wuaszs6b0wmf0jh6vd2,j3m6ie68ud1iva7qa582lizauwmip6zf2scmcakt66c,0,25,5,21,54,22,8,13,62,22,8,5,70
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,17,5,1,17,25,21,13,04:59.5,02:58.2,2ztebgv3ghd78ehsso7twnluxdqqai5tf3q23vhj124k,19heuxbo3kqu5t7n6yqgl5d5wd7yzo9z5d6wq9y1kr9g,0,25,5,20,55,21,9,12,63,20,10,3,72
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,18,5,1,18,25,21,13,03:07.0,01:47.3,uzdyh537qi6ndc25as9p9esewk60otaidfhpda2nm4,3vft79gq7wcqhgogbshj6syfsmaqleazz0019gii5u4,0,24,6,19,56,22,8,13,62,22,8,5,70
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,19,5,1,19,32,16,17,05:02.3,01:57.2,1m7xcckdh5pwiygry06wlfcq8okqd0lhg2u78myjxes2,1m7x4kuiibpc1rjk3tssrswq5c1u9wnwwam9udz1962y,0,24,6,26,49,21,9,7,68,21,9,8,67
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,20,5,1,20,29,17,22,04:02.6,01:22.7,1m7wcvjf0ynxr81enz8dosp2rru42wkc4odlgggy9ij8,1mbzp4x72i1bxn5tr1vlwme84t6e4hg4dvvq4xi40ftg,0,24,6,23,52,22,8,9,66,21,9,13,62
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,20,0.5,50,0.9,2,15,4,0.4,30,21,5,1,21,22,22,15,03:24.6,02:09.4,1tngjehj6dirs912dcgzwtp2r13jiogi9xc5i1q6xez2,1tmgvfq28ino7bla1ik23ae986xbw8ng0jtg0ahtgumi,0,25,5,17,58,19,11,11,64,22,8,7,68
