numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,startGraph,prune_limit,other_limit,triangle_limit,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,method,cost,ll,time,bestgraph,hit,miss,fa,cr
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,193,1,9,:q_O?K?AA_?OOM?@@?ocKJD``OsKKG`?o_a?AAAPSSN@DAw?CCIDoOWOII``Ooe?BAA`{?ADFcW?CECFCg_SYR``@?{`BACacSYSJRQsC\GDB`{KSNLPQHKl?@A`[Sa[`abSKGGFcWXCg_aa`xCeU_@AHWv@JeGOOUQPo`OkzGDBrSGGUOHXo{uf_baaI]YPo?g_jADCRYHNIHGtkCaQHdck_]ZNixO{w_V~,-453.790032777,uinvite_prior,165.0,-321.260254426,0:00:35.428476,:q`?W?IB?@Ox?GEEBoo_WPCcp?kUGJca`kSKFCAPS?AIFcG?C^?FR@k?ONHQggsaRIDhgwkV_aps_\TLPaHOlBDAqSOIJGeRcKQZ`sQ`Su_ab@xKkYaAqpmAVKO?WkcT`FX?{oYMhgGk\MFcSq]?MHfSUM?hiGsq]SQ`@AHXAdcDRX|EjaAn,89,104,61,971
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,192,10,10,:q_O?K?AA_?OOM?@@?oc?AA@`WGKGD_?_WOIF___WWPA@`O{CCECAWW[TECAP[CCBEo_WSMI``Ow}CNGO_o_QJEooggbADcgGGIECOo_cbNGCwGGULIP@HEAI___WycS`cahaEHFdWo_YQbAQPYeUKpPOqeX__`?sdCA```AGHPo?OOKFjESK?CEDdW`eAADeG?GSJHDW_WSJFBw_WUNbApiQEFQo?Wgcj,-444.869648208,uinvite_prior,158.0,-317.733703457,0:00:40.307928,:qa??[CHD_`GCYCBAoOOYYADoOWSTDBA`cCMN_?aC[VP`CgG_WQbBAK{aRJOg_caUfdAsCCDFEgPQEQKP?wc]TbA@GshECchHeTJGEWGgYPHDBqAIKJO?_ckXPo?uE?EIfW`CrAKOOOkcTJq@OxNGDb@yiOlbaSk?EFDcaiJ,87,105,53,980
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,191,11,11,:q_O?K?AA_?OOM?@@?ocCCB_?OWOJ?@?o_UAAA@wGGH@A`pKGGDDOPK?EHEO?GMIFCaw?CFBBa@sCCM_?Ogc`?EO?O[US_?_WSKNaaQC?IECbG?G[PHOOOq?HEEW?CtHEEWOSKGHO___x?@`q@Gl@A@Owkl?@`P{KGH`BWGKOS_`AqICBA`gGO`@@@P?qG[OO@@G~?CbCQPRDBARsKGNRiXxCi``@ppP\,-469.732317188,uinvite_prior,181.0,-311.243630893,0:00:35.621314,:q_OG_GFA`OW?]GE___{i?DBOW?q_FEoPSSMGFOOwiOMbO_WOh?@`P{?IMGPOpYAF`A`cOQX_?PscrBCChPMIFGDB{SUUNgW?[^EOGh?cYVedBYQG_PO_sKWOQOqhtRCMGGOYGHKfCAHHECdrqPLBFdSyeUNGCQiEWMHDByz,75,116,65,969
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,159,12,13,:q_O?K?AA_?OOM?@@?oc?CCa@Os?AD__pCOIE_`P?e?AAaGgi?K`@PcKOIFoOOUADBOOgaIEBq@KKOPHOo`MP?@`qPM?KFPPGkf?EBWC_QJ___cKOQJQQ[cUTJFgW_QTa@QyM?KFcac[dBCGG?CFDNPOoiIHIhxHTMjadrHlBGPIWg_Qa`aCylXGFEcn,-437.700362205,uinvite_prior,152.0,-300.588501035,0:01:23.051987,:q_OG?CDA__gwOJH?_o_aKGcO`[?SKf__[_SLFoOsCIE__`cEdAGcgCm?ADcahaWMJqHOoYMaCx?e[UgDb`uORLfXHW|GCcA{SMRJeS[?[QMOOo[hGNgGGO[PMvg_WSXifcye]TJiwWOm`aa@IHRRIfsSKI]Ritcw_Y,71,88,64,1002
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,182,14,16,:q_O?K?AA_?OOM?@@?oc?J?@?w?U?@@`?k?CDBO?GWRACoOOeADa@pkGGH_aPXA?A@aw?KQJEo`K?AEHoOOOMR_Aqk?ELGO?gm?CAaP{CYRKOBKGECJPaXSoY_?PXGn?@@OtGeV_`PXMARKOAXS|@@`PXAACBAcSCIJPHgGK~?@?oqAYNLO@HCea``Ppd?anHGP?aWQpqXYARIfccKYdRIN,-418.591050306,uinvite_prior,147.0,-307.167991807,0:00:49.472399,:q`?WCMCBAQ_oaKHcrHwOSKEp@KC`A@o?W[QLGog@MEF_OQCc\CAaPO}ELKOBCGGEJO?OWoY_?`OwgV`@XX]AJGcy\ozDCaqCCGDCA`iIADIeRX|Ee__qP|F?BAsAM]VLEwGcaQJOo_wqanHGOkadbdhX[q[NGsaumdRIN,86,96,51,992
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,193,1,2,:q_O?K?AA_?OOM?@@?ocKJD``OsKKG`?o_a?AAAPSSN@DAw?CCIDoOWOII``Ooe?BAA`{?ADFcW?CECFCg_SYR``@?{`BACacSYSJRQsC\GDB`{KSNLPQHKl?@A`[Sa[`abSKGGFcWXCg_aa`xCeU_@AHWv@JeGOOUQPo`OkzGDBrSGGUOHXo{uf_baaI]YPo?g_jADCRYHNIHGtkCaQHdck_]ZNixO{w_V~,-527.567213517,uinvite_prior,153.0,-405.460724676,0:00:35.420208,:q_OG_AAAAOx?MLA_Agwa?@_p?giEEaA`{K^@HPpcKGGGP?ocUPHrwWsnIcApsS]YabA[?CIacR`uq\aA@x]ABGcaaASJGCQXW|?ADb[gmWPsQQMCJMfwW_[NIdc[Gk_PhXOwcZRoPuMGDBdW?GSQMscYTUl_baPWq_QJh?{iZNiw_{aULFN,95,98,55,977
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,184,3,3,:q_O?K?AA_?OOM?@@?oc?ABA@W?CDBAoO_SL@@@?oeAA@``S?GIDoo_UADBAgGcZ?B@pcKIG`?ogc^@CbP{CCDBop[KIGDbQkCKHDPPhGgU_@_wo`??_pCKaULO_ok\?@?rKCKOJoO_]AV_`rLCkYgDB{[WXNPP?mEULHWWOYUa@`GxJDCCQpiALFo?XCcZRoBIMAF_AAPOl@BjgieAECaq@r,-553.325619987,uinvite_prior,156.0,-398.954575585,0:01:02.277384,:q`?G_CCB___cIBB_`?sWNBDPwOOJDBAgGOZ?A`wWSMGCopOuELFcgg[RJcAqHOj@BAPPQYQIO?gWMKcbHXWtABOrKWMOJfGWuEJnsQpgvSKFxGpB?BA@[Kkd`bR{OQKFCayTLHIdbQM?@Fcg?C{fSig@?qcbcbPpSj_AAPOi\_HttGsaSoOocUWNJ^,92,92,64,977
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,180,4,9,:q_O?K?AA_?OOM?@@?ocCCBAO?GMACA`wGKHA@`?k?AFCoOWQ?BDoOOYAAAbgGGGN_aPkCCBEoPGuAL_``_w_P___gw`??`pCG[OGca{CCLHSAS?GGCoQ[O[NJeRc?KGJO_pUKMGFwGKRCBBb{CEE_@@?cvCFBrHqABBdw_SKXgeGgs{cfdb@e?BDEw`cwd_?_g[Qe_fW?smj`BRHtTE,-555.539538761,uinvite_prior,156.0,-402.882786308,0:01:18.163840,:q`?W?CD?@?w?GH@@oG_]FCAo?weGHf?WGGIEFOP?}QJEo_WuQLdcwoob@@@W?[OO`@?ww_R_`PxI_QHp@?cXLFCqcC]OKo_pYIELtRP}EEEchpUAYbERPmGHFOQ{SKGKgXXEYPNHCkGIUa@_wcSSLhJXtJ?BaR@pAkeCB@iAEBaPWtVAEeR`s}jlHN,90,90,66,979
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,175,10,10,:q_O?K?AA_?OOM?@@?ocKGD_?OSONBA@wOKNBA``?eEDBO?OKJBA@`[CCDBO?O_TE_?OS?IQ```Gm?BAbWOSWLIpP_sl@@@q@IACBcaso]P`BQkCECCo_{g`UJqbtWm^dCBs?IFFchP?{_PPQP_zINGCc[`@@`AYMAHKESY]OMdGCQYCJEdW?K][SOOP?ohaA@[CKKHo?g[]WK~,-490.897927894,uinvite_prior,121.0,-391.18550364,0:01:35.384690,:q`?W?EDAaOW_UECBowWOLDCo?kCECDo_o[X?@so?SdECaw?s^KEcghYCJECg_[OOHDiCCCLFp?geCCCChPAkVbabtWnAGPOxI__PPPXGg\dGCc[OOKOOXKubQoPHdEfcBaHQS_PHCs?CJEdW?GMNJiGH?mWPIX@]WLFcTQy?BA``?coX,101,74,47,1003
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,100,100,100,avg,193,11,11,:q_O?K?AA_?OOM?@@?oc?AAAo?OKL@@`?kCGDCOPK?ACCO?GGV??`@K?AECa`[?CBCP@?yCKEbggyIQa@POuGHDBg?KIF`@asGWLFP@pUEC_``Wsl@IEg?OOULO?OSYS_?_he[TKfw?GILIO?_o\EDB@gwxABAbc?kYMoP?kv@CDRS?CDOoO__QN_?OO_ga_ar[WQPHDRCCsbQO?_sv@@`pptDEBbsaa?HG~,-539.861137056,uinvite_prior,163.0,-400.913002763,0:00:58.338435,:qa?g?EF?@`g?UGGco__SKG_?O[CGH_?PGi?Bba@[WQKEbh?ydDaAPPIENjO`gw`KIP@kCL@DdBS_aULO?Osh?AdR[wq^adG?KWM``pOoYULFGOgw`PtQp[z?__p_{s\OPPxGs[No@@PL@@?pADChb@pXOkZa``g{aWToQHhEcSO?`g{`_?OwkWQHfT[[]cVQQN,97,96,67,965
