subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5,rating,numratings,gtom
S100,echidna,marmoset,1,1,0,0,0,0,1,1,22.0,2,0.694444444444
S100,llama,chicken,0,1,0,0,0,0,1,0,39.25,4,0.84
S100,komododragon,hornet,0,0,0,0,0,1,0,0,17.25,4,0.806451612903
S100,rhinoceros,penguin,0,1,0,0,0,0,1,0,24.0,4,0.931034482759
S100,polarbear,fox,0,1,0,0,0,0,1,0,49.5,4,0.724137931034
S100,lemur,armadillo,0,1,0,0,0,0,1,0,34.5,4,0.884615384615
S100,shark,squirrel,0,1,0,0,0,0,1,0,24.25,4,0.769230769231
S100,bessbug,hog,0,0,0,0,0,1,0,0,20.6666666667,3,0.826086956522
S100,clownfish,eel,1,1,0,0,0,0,1,1,65.25,4,0.818181818182
S100,mantis,antelope,0,0,0,0,0,1,0,0,23.0,4,1.0
S100,snake,hamster,0,1,0,0,0,0,0,0,29.0,4,0.878787878788
S100,wolf,hornet,0,0,0,0,0,1,0,0,23.25,4,0.805555555556
S100,cheetah,starfish,0,1,0,0,0,0,1,0,12.25,4,0.815789473684
S100,wildcat,falcon,1,1,0,0,0,0,1,1,23.25,4,0.857142857143
S100,brownbear,blackbear,1,1,0,1,1,0,1,1,93.0,4,0.675675675676
S100,starfish,raptor,0,0,0,0,0,1,0,0,22.5,4,0.851851851852
S100,cardinal,lion,0,1,0,0,0,0,1,0,29.0,4,0.884615384615
S100,panther,trout,0,0,0,0,0,1,0,0,17.25,4,0.923076923077
S100,giraffe,snake,0,1,0,0,0,0,1,0,26.5,4,0.967741935484
S100,cassowary,lark,1,0,0,0,0,0,0,0,59.3333333333,3,0.954545454545
S100,porcupine,beaver,0,1,0,0,0,0,1,1,67.25,4,0.472727272727
S100,bass,worm,0,0,0,0,0,0,0,0,17.75,4,0.909090909091
S100,emu,alligator,0,1,0,0,0,0,1,0,31.0,3,0.869565217391
S100,stingray,octopus,0,1,0,0,0,0,1,1,57.75,4,0.783783783784
S100,antelope,slug,0,0,0,0,0,1,0,0,13.5,4,0.837837837838
S100,sealion,capybara,0,0,0,0,0,1,0,0,38.5,2,0.75
S100,zebra,penguin,0,1,1,0,0,0,1,0,35.75,4,0.851851851852
S100,flamingo,frog,0,1,0,0,0,0,1,0,20.75,4,0.862068965517
S100,buzzard,deer,1,1,0,0,1,0,1,1,31.6666666667,3,0.823529411765
S100,komododragon,gecko,0,1,0,0,0,0,1,0,70.25,4,0.838709677419
S100,elephant,parrot,0,1,0,0,0,0,1,0,22.5,4,0.88
S100,gecko,parakeet,0,0,0,0,0,1,0,0,24.0,4,0.828571428571
S100,rhinoceros,salamander,0,1,0,0,0,0,1,0,36.5,4,0.862068965517
S100,bass,raven,0,0,0,0,0,0,0,0,16.5,4,0.9
