subj,item1,item2,edge,
NA,hare,lion,0,
NA,hare,parrot,0,
NA,hare,poodle,0,
NA,hare,hippopotamus,0,
NA,hare,sunconure,0,
NA,hare,pigeon,0,
NA,hare,pig,0,
NA,hare,sparrow,0,
NA,hare,pufferfish,0,
NA,hare,slug,0,
NA,hare,pheasant,0,
NA,hare,quail,0,
NA,hare,polarbear,0,
NA,hare,swan,0,
NA,hare,terrier,0,
NA,hare,shark,0,
NA,hare,horse,0,
NA,hare,russianblue,0,
NA,hare,llama,0,
NA,hare,wolf,0,
NA,hare,leopard,0,
NA,hare,snake,0,
NA,hare,rooster,0,
NA,hare,peacock,0,
NA,hare,monkey,0,
NA,hare,hyena,0,
NA,hare,mouse,0,
NA,hare,lovebird,0,
NA,hare,persian,0,
NA,hare,whale,0,
NA,hare,rhinoceros,0,
NA,hare,warthog,0,
NA,hare,humunukuapua,0,
NA,hare,robin,0,
NA,hare,snail,0,
NA,hare,tortoise,0,
NA,hare,turkey,0,
NA,hare,jaguar,0,
NA,hare,zebra,0,
NA,lion,parrot,0,
NA,lion,poodle,0,
NA,lion,sunconure,0,
NA,lion,pigeon,0,
NA,lion,pig,0,
NA,lion,sparrow,0,
NA,lion,pufferfish,0,
NA,lion,slug,0,
NA,lion,pheasant,0,
NA,lion,quail,0,
NA,lion,polarbear,0,
NA,lion,swan,0,
NA,lion,terrier,0,
NA,lion,shark,0,
NA,lion,russianblue,0,
NA,lion,llama,0,
NA,lion,wolf,0,
NA,lion,snake,0,
NA,lion,rooster,0,
NA,lion,peacock,0,
NA,lion,monkey,0,
NA,lion,mouse,0,
NA,lion,lovebird,0,
NA,lion,persian,0,
NA,lion,whale,0,
NA,lion,rhinoceros,0,
NA,lion,warthog,0,
NA,lion,robin,0,
NA,lion,snail,0,
NA,lion,tortoise,0,
NA,lion,turkey,0,
NA,lion,zebra,0,
NA,parrot,poodle,0,
NA,parrot,sunconure,0,
NA,parrot,pigeon,0,
NA,parrot,pig,0,
NA,parrot,sparrow,0,
NA,parrot,pufferfish,0,
NA,parrot,slug,0,
NA,parrot,pheasant,0,
NA,parrot,quail,0,
NA,parrot,polarbear,0,
NA,parrot,swan,0,
NA,parrot,terrier,0,
NA,parrot,shark,0,
NA,parrot,russianblue,0,
NA,parrot,wolf,0,
NA,parrot,snake,0,
NA,parrot,rooster,0,
NA,parrot,peacock,0,
NA,parrot,persian,0,
NA,parrot,whale,0,
NA,parrot,rhinoceros,0,
