subj,node1,node2,weight
S101,bluejacket,donkey,0.25
S101,bluejacket,sparrow,0.75
S101,bluejacket,dolphin,0.25
S101,bluejacket,deer,0.25
S101,bluejacket,spider,0.25
S101,bluejacket,pig,0.25
S101,bluejacket,lion,0.25
S101,bluejacket,mockingbird,0.75
S101,bluejacket,zebra,0.25
S101,bluejacket,ocelot,0.25
S101,bluejacket,mouse,0.25
S101,bluejacket,whale,0.25
S101,bluejacket,iguana,0.25
S101,bluejacket,elk,0.25
S101,bluejacket,horse,0.25
S101,bluejacket,monkey,0.25
S101,bluejacket,prayingmantis,0.25
S101,bluejacket,gecko,0.25
S101,bluejacket,gazelle,0.25
S101,bluejacket,frog,0.25
S101,bluejacket,shark,0.25
S101,bluejacket,cougar,0.25
S101,bluejacket,elephant,0.25
S101,bluejacket,tarantula,0.25
S101,bluejacket,penguin,0.25
S101,bluejacket,polarbear,0.25
S101,bluejacket,eagle,0.25
S101,bluejacket,moose,0.25
S101,bluejacket,hamster,0.25
S101,bluejacket,grizzlybear,0.25
S101,bluejacket,python,0.25
S101,bluejacket,salmon,0.25
S101,bluejacket,salamander,0.25
S101,bluejacket,tiger,0.25
S101,bluejacket,ferret,0.25
S101,bluejacket,giraffe,0.25
S101,bluejacket,cheetah,0.25
S101,bluejacket,falcon,0.25
S101,bluejacket,tuna,0.25
S101,bluejacket,hawk,0.25
S101,bluejacket,dove,0.25
S101,bluejacket,trout,0.25
S101,bluejacket,gerbil,0.25
S101,bluejacket,fly,0.25
S101,bluejacket,flamingo,0.25
S101,bluejacket,cow,0.25
S101,bluejacket,bluejay,0.25
S101,bluejacket,dog,0.25
S101,bluejacket,lemur,0.25
S101,bluejacket,grouper,0.25
S101,bluejacket,rat,0.25
S101,bluejacket,cat,0.25
S101,bluejacket,hyena,0.25
S101,bluejacket,gorilla,0.25
S101,bluejacket,wolf,0.25
S101,bluejacket,cod,0.25
S101,bluejacket,swallow,0.25
S101,bluejacket,brownbear,0.25
S101,bluejacket,buffalo,0.25
S101,bluejacket,robin,0.25
S101,bluejacket,goldeneagle,0.25
S101,bluejacket,weasel,0.25
S101,peacock,shark,0.125
S101,peacock,pheasant,0.25
S101,peacock,sparrow,0.25
S101,peacock,pig,0.5
S101,peacock,rat,0.25
S101,peacock,persian,0.25
S101,peacock,zebra,0.5
S101,peacock,seal,0.25
S101,peacock,quail,0.25
S101,peacock,warthog,0.25
S101,peacock,turkey,0.25
S101,peacock,swan,0.125
S101,peacock,pigeon,0.25
S101,peacock,poodle,0.25
S101,peacock,rhinoceros,0.25
S101,peacock,tadpole,0.25
S101,peacock,sunconure,0.25
S101,peacock,polarbear,0.25
S101,peacock,pufferfish,0.25
S101,peacock,sheep,0.25
S101,peacock,squirrel,0.25
S101,peacock,snail,0.25
S101,peacock,toad,0.25
S101,peacock,salmon,0.25
S101,peacock,tiger,0.25
S101,peacock,snake,0.125
S101,peacock,rabbit,0.25
S101,peacock,stingray,0.25
S101,peacock,whale,0.125
S101,peacock,rooster,0.25
S101,peacock,terrier,0.25
S101,peacock,slug,0.25
S101,peacock,penguin,0.25
S101,peacock,tortoise,0.25
S101,peacock,wolf,0.25
S101,peacock,seagull,0.25
S101,peacock,russianblue,0.25
S101,peacock,robin,0.25
S101,antelope,peacock,0.25
S101,antelope,cobra,0.25
S101,antelope,pheasant,0.25
S101,antelope,sparrow,0.125
S101,antelope,pigeon,0.25
S101,antelope,spidermonkey,0.25
S101,antelope,crocodile,0.25
S101,antelope,ermine,0.25
S101,antelope,skate,0.25
S101,antelope,human,0.25
S101,antelope,chicken,0.0625
S101,antelope,badger,0.25
S101,antelope,panther,0.125
S101,antelope,swan,0.0625
S101,antelope,piranha,0.25
S101,antelope,beagle,0.25
S101,antelope,cougar,0.25
S101,antelope,sloth,0.25
S101,antelope,penguin,0.125
S101,antelope,snappingturtle,0.25
S101,antelope,raven,0.25
S101,antelope,grizzlybear,0.75
S101,antelope,bear,0.03125
S101,antelope,ferret,0.03125
S101,antelope,giraffe,0.015625
S101,antelope,snake,0.0625
S101,antelope,llama,0.125
S101,antelope,blackheadedgull,0.25
S101,antelope,tick,0.25
S101,antelope,bat,0.125
S101,antelope,flamingo,0.125
S101,antelope,jaguar,0.125
S101,antelope,cranefly,0.25
S101,antelope,parrot,0.125
S101,antelope,bunny,0.25
S101,antelope,marmoset,0.25
S101,antelope,dinosaur,0.25
S101,antelope,bison,0.25
S101,antelope,walrus,0.25
S101,antelope,orca,0.25
S101,antelope,turtle,0.0625
S101,antelope,crow,0.25
S101,antelope,fish,0.3125
