subj,node1,node2,rw,fe,goni,chan,kenett
S100,rhinoceros,parrot,1,0,0,0,0
S100,lemur,starfish,1,0,0,0,0
S100,lemur,gorilla,1,0,1,0,0
S100,rat,vole,1,0,1,0,0
S100,panda,kangaroo,1,0,0,0,0
S100,peacock,stork,0,0,0,0,1
S100,mouse,octopus,1,0,0,0,0
S100,elephant,seal,1,0,0,0,0
S100,bear,raccoon,1,0,0,0,0
S100,scottishshetland,wildebeest,0,0,0,0,1
S100,wildebeest,beetle,0,0,0,0,1
S100,otter,mole,1,0,0,0,0
S100,koala,buffalo,1,0,0,0,0
S100,ray,bat,0,0,0,0,1
S100,crocodile,elephant,1,0,0,0,0
S100,anaconda,baboon,0,0,0,0,1
S100,guineapig,pig,1,0,0,0,0
S100,bear,alligator,1,0,0,0,0
S100,hare,horse,1,0,0,0,0
S100,platypus,bat,1,0,0,0,0
S100,crow,turtle,1,0,0,0,0
S100,snail,slug,1,0,0,1,0
S100,hawk,parakeet,1,0,0,0,0
S100,jellyfish,sheep,1,0,0,0,0
S100,jaguar,gorilla,1,0,0,0,0
S100,turtle,squid,0,0,0,0,1
S100,cheetah,deer,1,0,0,0,0
S100,fawn,fox,1,0,0,0,0
S100,lemur,boar,0,0,0,0,1
S100,platypus,otter,1,0,1,0,0
S100,snake,penguin,1,0,0,0,0
S100,squirrel,hamster,1,0,0,0,0
S100,hippopotamus,bobcat,1,0,0,0,0
S100,antelope,wombat,0,0,0,0,1
S100,salmon,seal,1,0,1,0,0
S100,lemur,tapir,1,0,1,1,0
S100,woodpecker,robin,1,0,0,1,0
S100,piranha,octopus,1,0,0,0,0
S100,giraffe,lizard,1,0,0,0,0
S100,lion,puma,1,0,1,0,0
S100,beetle,hummingbird,1,0,0,0,0
S100,chihuahua,pitbull,1,0,0,1,0
S100,chipmunk,rabbit,1,0,1,0,0
S100,woodchuck,raptor,1,0,0,1,0
S100,gazelle,parakeet,0,0,0,0,1
S100,opossum,vulture,1,0,1,1,0
S100,tiger,buffalo,1,0,0,0,0
S100,wolverine,clownfish,0,0,0,0,1
S100,mongoose,owl,1,0,0,0,0
S100,wolverine,beaver,1,0,1,0,0
S100,pelican,cuttlefish,1,0,0,0,0
S100,donkey,squirrel,1,0,0,0,0
S100,clam,gorilla,0,0,0,0,1
S100,jellyfish,owl,1,0,1,0,0
S100,chicken,mule,1,0,0,0,0
S100,sloth,parakeet,0,0,1,0,0
S100,donkey,cow,1,0,1,0,0
S100,bobcat,polarbear,1,0,0,0,0
S100,bronco,bandicoot,0,0,0,0,1
S100,graywolf,bluejay,0,0,0,0,1
S100,turtle,lizard,1,0,1,0,0
S100,jaguar,lynx,1,0,0,0,0
S100,crocodile,puma,1,0,0,0,0
S100,magpie,sparrow,1,0,0,0,0
S100,persian,buzzard,0,0,0,0,1
S100,lion,alligator,1,0,0,1,0
S100,tortoise,seal,1,0,0,0,0
S100,arcticfox,bug,0,0,0,0,1
S100,woodpecker,orangutan,1,0,0,0,0
S100,crocodile,lizard,1,0,0,0,0
S100,carpetbeetle,bengaltiger,0,0,0,0,1
S100,goat,buffalo,1,0,0,0,0
S100,dingo,chowchow,0,0,0,0,1
S100,flamingo,rabbit,1,0,0,0,0
S100,rat,pig,1,0,0,0,0
S100,killerwhale,penguin,1,0,0,1,0
S100,cassowary,alligator,1,0,0,0,0
S100,platypus,giraffe,1,0,0,0,0
S100,snake,mountainlion,1,0,0,0,0
S100,anaconda,manatee,0,0,0,0,1
S100,aardvark,manatee,1,0,0,1,0
S100,shark,deer,1,0,0,0,0
S100,bluejay,jackal,0,0,0,0,1
S100,human,ape,1,0,1,1,0
S100,rat,guineapig,1,0,1,0,1
S100,piranha,bunny,0,0,0,0,1
S100,wolverine,fox,1,0,0,0,0
S100,caterpillar,ant,1,0,0,0,1
S100,octopus,fish,1,0,0,0,0
S100,possum,turtle,1,0,1,0,0
S100,python,bear,0,0,0,0,1
S100,kangaroo,mouse,1,0,0,0,0
S100,duckling,chicken,0,0,0,0,1
S100,crocodile,flamingo,1,0,0,0,0
S100,magpie,lizard,0,0,0,0,1
S100,monkey,orangutan,1,0,1,0,0
S100,woodpecker,polarbear,1,0,0,0,0
S100,guineapig,cat,1,0,0,0,0
S100,fly,moth,1,0,1,1,0
S100,clownfish,eel,1,0,0,0,0
S100,snake,dog,1,0,0,1,0
S100,pelican,polarbear,1,0,1,0,0
S100,ibis,centipede,0,0,0,0,1
S100,ocelot,sunbear,0,0,0,0,1
S100,skunk,armadillo,1,0,0,0,0
S100,spidermonkey,lemur,1,0,0,0,0
S100,eel,alligator,1,0,0,0,0
S100,flea,bandicoot,0,0,0,0,1
S100,seal,walrus,1,0,1,0,0
S100,monkey,gorilla,1,0,1,1,0
S100,eagle,blueheron,1,0,1,1,0
S100,pigeon,tarantula,1,0,0,0,0
S100,pigeon,ostrich,1,0,0,0,0
S100,canary,pigeon,0,0,1,0,0
S100,ape,gorilla,1,0,1,0,0
S100,llama,alligator,1,1,0,0,0
S100,woodpecker,tortoise,0,0,0,0,1
S100,lion,whale,1,0,0,0,0
S100,stingray,octopus,1,0,0,0,0
S100,newt,firefly,0,0,0,0,1
S100,snake,piranha,0,0,1,0,0
S100,heron,sheep,0,0,0,0,1
S100,prairiedog,komododragon,0,0,0,0,1
S100,eagle,vulture,1,0,1,0,0
S100,sandshark,pig,0,0,0,0,1
S100,bluejay,owl,1,0,0,0,0
S100,anaconda,manx,1,0,0,1,0
S100,hawk,parrot,1,0,1,0,0
S100,stinkbug,carpetbeetle,1,0,0,0,0
S100,butterfly,snail,1,0,1,1,0
S100,chameleon,newt,1,0,1,1,0
S100,hen,fisher,0,0,0,0,1
S100,dragon,jaguar,0,0,0,0,1
S100,cow,shrimp,1,0,0,0,0
S100,snake,rattlesnake,1,0,0,0,0
S100,hare,sheep,1,0,0,0,0
S100,crow,buzzard,1,0,0,1,0
S100,seahorse,anchovy,0,0,0,0,1
S100,monkey,lion,1,0,0,0,0
S100,ostrich,seal,1,0,0,0,0
S100,bear,pika,1,0,0,1,0
S100,dinosaur,butterfly,1,0,0,0,0
S100,squid,gecko,1,0,0,0,0
S100,stallion,parakeet,0,0,0,0,1
S100,peacock,rooster,1,0,0,0,0
S100,goose,skunk,1,0,0,0,0
S100,kingcobra,baldeagle,0,0,0,0,1
S100,kitten,puppy,1,0,0,1,0
S100,emu,beaver,1,0,0,0,0
S100,koala,deer,1,0,0,0,0
S100,salmon,ox,0,0,0,0,1
S100,lizard,deer,1,0,0,0,0
S100,sheep,koala,1,0,0,0,0
S100,cow,oxen,0,0,1,0,0
S100,mule,meerkat,0,0,0,0,1
S100,dinosaur,deer,1,0,0,0,0
S100,antelope,adder,0,0,0,0,1
S100,carp,beaver,1,0,0,0,0
S100,rhinoceros,mouse,1,0,0,0,0
S100,dinosaur,dove,0,0,0,0,1
S100,tarantula,rattlesnake,1,0,0,0,0
S100,bluebird,finch,1,0,0,0,0
S100,pony,horse,1,0,1,1,0
S100,kangaroo,flamingo,1,0,0,0,0
S100,wallaby,gecko,1,0,0,0,0
S100,crow,gazelle,1,0,0,0,0
S100,llama,tapir,1,0,0,0,0
S100,salmon,blowfish,0,0,0,0,1
S100,leopard,wolf,1,0,0,0,0
S100,pigeon,frog,1,0,0,0,0
S100,monkey,tiger,1,0,0,1,0
S100,bat,lizard,1,0,0,0,0
S100,hawk,mussel,0,0,0,0,1
S100,dingo,octopus,1,0,0,0,0
S100,parrot,owl,1,0,0,0,0
S100,hawk,giraffe,1,0,0,0,0
S100,aardvark,quail,0,0,0,0,1
S100,monkey,bear,1,0,0,0,0
S100,nutria,capybara,1,0,0,1,0
S100,rat,bird,1,0,0,0,0
S100,anaconda,viper,1,0,1,1,0
S100,tarantula,pig,1,0,0,0,0
S100,snake,panther,1,0,0,0,0
S100,dragonfly,hog,0,0,0,0,1
S100,hippopotamus,fish,1,0,0,0,0
S100,tiger,leopard,1,0,1,0,0
S100,mule,deer,1,0,0,0,0
S100,hawk,finch,0,0,1,0,0
S100,monkey,hyena,1,0,0,0,0
S100,shark,axolotl,1,0,0,0,0
S100,ostrich,emu,1,0,1,1,0
S100,polarbear,rooster,0,0,0,0,1
S100,fawn,sealion,0,0,0,0,1
S100,chowchow,hummingbird,0,0,0,0,1
S100,wasp,cattle,0,0,0,0,1
S100,parrot,flamingo,1,0,0,0,0
S100,koala,firefly,0,0,0,0,1
S100,panda,seal,1,0,0,0,0
S100,rhinoceros,wolf,1,0,0,0,0
S100,goby,moth,0,0,0,0,1
S100,wildebeest,buffalo,1,0,0,0,0
S100,donkey,gorilla,1,0,0,0,0
S100,echidna,zebra,0,0,0,0,1
S100,crow,chicken,1,0,0,0,0
S100,iguana,bluejay,1,0,0,0,0
S100,boaconstrictor,snake,1,0,0,0,0
S100,lion,gerbil,1,0,0,0,0
S100,rooster,mosquito,1,0,0,0,0
S100,rooster,owl,1,0,0,0,0
S100,bobcat,wolf,1,0,0,0,0
S100,hare,shrew,1,0,0,1,0
S100,monkey,rabbit,1,0,0,0,0
S100,dog,bat,1,0,0,0,0
S100,butterfly,fox,1,0,0,0,0
S100,cow,rooster,1,0,1,0,0
S100,dolphin,worm,1,0,0,0,0
S100,polarbear,penguin,1,0,1,0,0
S100,crow,hawk,1,0,1,0,0
S100,wallaby,gorilla,0,0,0,0,1
S100,macaw,chicken,1,0,0,0,0
S100,iguana,salamander,1,0,1,1,0
S100,redfox,fox,1,0,0,1,0
S100,horse,owl,1,0,0,0,0
S100,cat,rooster,1,0,0,0,0
S100,scorpion,stingray,0,0,0,0,1
S100,sandshark,stingray,1,0,0,1,0
