probRewire,numNodesInput,numlinks,theta,numX,propX,startNode,numsamples,numgraphs,xlen,spearman,rank,numnodesPost,time
0.2,20,4,0.5,1,0.3,random,100,100,6,-0.04196352308228065,88,6,2.5317800045013428
0.2,20,4,0.5,1,0.3,fixed,100,100,6,-0.53519509478228011,64,6,2.6752171516418457
0.2,20,4,0.5,1,0.4,random,100,100,8,-0.34018342353092762,41,8,4.126211166381836
0.2,20,4,0.5,1,0.4,fixed,100,100,8,-0.62843068687426717,41,8,4.12603497505188
0.2,20,4,0.5,1,0.5,random,100,100,10,-0.37754691061072987,72,10,6.473670959472656
0.2,20,4,0.5,1,0.5,fixed,100,100,10,-0.52722502632607915,50,10,5.785279989242554
0.2,20,4,0.5,1,0.6,random,100,100,12,-0.54021241355669625,63,12,7.557017087936401
0.2,20,4,0.5,1,0.6,fixed,100,100,12,-0.4417219345141446,55,12,7.56983208656311
0.2,20,4,0.5,1,0.7,random,100,100,14,-0.45073092520546632,60,14,9.198600053787231
0.2,20,4,0.5,1,0.7,fixed,100,100,14,-0.42128388171026016,74,14,8.969295978546143
0.2,20,4,0.5,1,0.8,random,100,100,16,-0.45821256451678094,53,16,10.709006071090698
0.2,20,4,0.5,1,0.8,fixed,100,100,16,-0.32788592747622075,88,16,13.083416938781738
0.2,20,4,0.5,1,0.9,random,100,100,18,-0.50570820983961751,32,18,14.003150939941406
0.2,20,4,0.5,1,0.9,fixed,100,100,18,-0.59165600609047231,48,18,13.399441957473755
0.2,20,4,0.5,1,1.0,random,100,100,20,-0.35902597211861309,83,20,15.973788022994995
0.2,20,4,0.5,1,1.0,fixed,100,100,20,-0.26369396525661909,80,20,15.299437046051025
0.2,20,4,0.5,2,0.3,random,100,100,6,-0.096071048945693294,67,10,6.956466913223267
0.2,20,4,0.5,2,0.3,fixed,100,100,6,-0.5793860967769402,26,10,9.460930109024048
0.2,20,4,0.5,2,0.4,random,100,100,8,-0.3847771778544225,42,9,9.09040379524231
0.2,20,4,0.5,2,0.4,fixed,100,100,8,-0.56233581591514525,37,14,14.190891981124878
0.2,20,4,0.5,2,0.5,random,100,100,10,-0.4752276190394511,56,15,13.512740850448608
0.2,20,4,0.5,2,0.5,fixed,100,100,10,-0.47507732116355406,20,14,13.296556949615479
0.2,20,4,0.5,2,0.6,random,100,100,12,-0.346146317976816,32,18,12.141134977340698
0.2,20,4,0.5,2,0.6,fixed,100,100,12,-0.72344402835323585,3,15,12.0105140209198
0.2,20,4,0.5,2,0.7,random,100,100,14,-0.43969482097515966,13,18,19.818421840667725
0.2,20,4,0.5,2,0.7,fixed,100,100,14,-0.47554031250259304,22,20,20.819188117980957
0.2,20,4,0.5,2,0.8,random,100,100,16,-0.58072603345758866,57,20,17.460150003433228
0.2,20,4,0.5,2,0.8,fixed,100,100,16,-0.45979318967595756,24,19,15.88004994392395
0.2,20,4,0.5,2,0.9,random,100,100,18,-0.50855451540566521,4,20,24.831844091415405
0.2,20,4,0.5,2,0.9,fixed,100,100,18,-0.36879782743628792,28,20,18.73190402984619
0.2,20,4,0.5,2,1.0,random,100,100,20,-0.43629134899252886,16,20,21.90728211402893
0.2,20,4,0.5,2,1.0,fixed,100,100,20,-0.50960974475614018,11,20,19.983344793319702
0.2,20,4,0.5,3,0.3,random,100,100,6,-0.099167010197412322,63,11,8.308853149414062
0.2,20,4,0.5,3,0.3,fixed,100,100,6,-0.50163938196767477,7,11,11.650389909744263
0.2,20,4,0.5,3,0.4,random,100,100,8,-0.29451174635972832,79,18,18.661627054214478
0.2,20,4,0.5,3,0.4,fixed,100,100,8,-0.62130850355806411,9,13,14.73695993423462
0.2,20,4,0.5,3,0.5,random,100,100,10,-0.41838006041583042,18,20,19.911690950393677
0.2,20,4,0.5,3,0.5,fixed,100,100,10,-0.59605666427635329,45,18,24.01815700531006
0.2,20,4,0.5,3,0.6,random,100,100,12,-0.4191710463865535,6,19,21.368342876434326
0.2,20,4,0.5,3,0.6,fixed,100,100,12,-0.46286053884305589,5,18,20.03284502029419
0.2,20,4,0.5,3,0.7,random,100,100,14,-0.58933305053905816,2,20,21.566163063049316
0.2,20,4,0.5,3,0.7,fixed,100,100,14,-0.39999471666112474,1,20,29.43353009223938
0.2,20,4,0.5,3,0.8,random,100,100,16,-0.54704511794819255,1,19,25.1370849609375
