id,cond,category,item,RT
S001,0,animals,horse,3313
S001,0,animals,dog,1788
S001,0,animals,cat,943
S001,0,animals,bunny,799
S001,0,animals,rabbit,1073
S001,0,animals,hare,948
S001,0,animals,chicken,1195
S001,0,animals,swan,3123
S001,0,animals,duck,680
S001,0,animals,swan,2216
S001,0,animals,shark,1537
S001,0,animals,lion,880
S001,0,animals,tiger,1352
S001,0,animals,shark,12158
S001,0,animals,ray,1633
S001,0,animals,whale,1326
S001,0,animals,dolphin,3090
S001,0,animals,clownfish,3798
S001,0,animals,kangoroo,5954
S001,0,animals,panther,2347
S001,0,animals,elephant,2400
S001,0,animals,gazelle,6500
S001,0,animals,chameleon,4251
S001,0,animals,spider,2620
S001,0,animals,moth,874
S001,0,animals,bug,736
S001,0,animals,mosquito,5962
S001,0,animals,bee,2540
S001,0,animals,wasp,1878
S001,0,animals,fly,1443
S001,0,animals,butterfly,2452
S001,0,animals,catterpillar,5001
S001,0,animals,bird,3696
S001,0,animals,phenoix,3016
S001,0,animals,dinosaur,3263
S001,0,animals,mammut,1387
S001,0,animals,hummingbird,3934
S001,0,animals,pigeon,7644
S001,0,animals,eagle,1838
S001,1,supermarket items,salat,4501
S001,1,supermarket items,tomato,2134
S001,1,supermarket items,cucmber,1936
S001,1,supermarket items,toast,1112
S001,1,supermarket items,sausage,2073
S001,1,supermarket items,salami,1178
S001,1,supermarket items,prosciutto,2101
S001,1,supermarket items,cheese,1398
S001,1,supermarket items,gauda,1480
S001,1,supermarket items,creamcheese,4176
S001,1,supermarket items,milk,1073
S001,1,supermarket items,sourcream,2690
S001,1,supermarket items,honey,2419
S001,1,supermarket items,tea,1016
S001,1,supermarket items,coffee,1430
S001,1,supermarket items,cocoa,1252
S001,1,supermarket items,pasta,5859
S001,1,supermarket items,oil,2026
S001,1,supermarket items,pesto,1343
S001,1,supermarket items,chicken,1050
S001,1,supermarket items,peas,2485
S001,1,supermarket items,mango,1193
S001,1,supermarket items,rice,3958
S001,1,supermarket items,curry,1029
S001,1,supermarket items,cinemon,1507
S001,1,supermarket items,pepper,1517
S001,1,supermarket items,slat,668
S001,1,supermarket items,tabasco,13861
S001,1,supermarket items,ketchup,2413
S001,1,supermarket items,mayonese,1989
S001,1,supermarket items,mustard,1973
S001,1,supermarket items,toiletpaper,2749
S001,1,supermarket items,tissues,2254
S001,1,supermarket items,kleenex,3613
S001,1,supermarket items,tampons,5497
S001,1,supermarket items,papercards,2194
S001,1,supermarket items,overthecountermedicine,10136
S001,1,supermarket items,mascara,1998
S001,1,supermarket items,nailpolish,2914
S001,1,supermarket items,nailpolishremover,4406
S001,1,supermarket items,makeupremover,3598
S001,1,supermarket items,concealer,2561
S001,2,animals,squirrel,4602
S001,2,animals,mouse,1040
S001,2,animals,hamster,1903
S001,2,animals,ant,3717
S001,2,animals,pig,5698
S001,2,animals,cow,935
S001,2,animals,horse,1624
S001,2,animals,bull,2251
S001,2,animals,donkey,3284
S001,2,animals,mouse,2887
S001,2,animals,rat,3295
S001,2,animals,polarbear,3918
S001,2,animals,grizzlybear,2924
S001,2,animals,fox,1180
S001,2,animals,brownbear,2053
S001,2,animals,hyiene,5272
S001,2,animals,zebra,2428
S001,2,animals,antelope,3488
S001,2,animals,moonfish,8545
S001,2,animals,whaleshark,5896
S001,2,animals,turtle,1507
S001,2,animals,algae,8738
S001,2,animals,jellyfish,2604
S001,2,animals,grasshopper,8882
S001,2,animals,blackwidow,2465
S001,2,animals,antelope,6022
S001,2,animals,salmon,5686
S001,2,animals,tuna,1207
S001,2,animals,eel,3593
S001,3,supermarket items,snickers,4015
S001,3,supermarket items,mars,725
S001,3,supermarket items,peanutbutter,4471
S001,3,supermarket items,almondbutter,5986
S001,3,supermarket items,butter,2805
S001,3,supermarket items,flour,1033
S001,3,supermarket items,frosting,2116
S001,3,supermarket items,cream,4231
S001,3,supermarket items,sugar,1780
S001,3,supermarket items,honey,3416
S001,3,supermarket items,chocolatechips,13786
S001,3,supermarket items,cookie,1621
S001,3,supermarket items,brownie,3854
