subj,node1,node2,u-invite,priming,rw,windowgraph
S1,rat,elephant,0,0,1,0
S1,marmoset,bird,0,0,1,0
S1,human,ape,0,0,1,0
S1,fish,mouse,0,0,1,0
S1,chipmunk,rat,0,0,1,0
S1,ray,jellyfish,0,0,1,0
S1,orangutan,gorilla,0,0,1,0
S1,squirrel,chimpanzee,0,0,1,0
S1,squirrel,whale,0,0,1,0
S1,kangaroo,ray,0,0,1,0
S1,dog,gorilla,0,0,1,0
S1,chimpanzee,butterfly,0,0,1,0
S1,lion,panda,0,0,1,0
S1,zebra,gazelle,0,0,1,0
S1,human,gorilla,0,1,0,1
S1,octopus,duck,0,1,0,1
S1,opossum,platypus,0,1,0,1
S1,chimpanzee,cat,1,0,0,0
S1,human,spider,1,0,0,0
S1,fish,hyena,1,0,0,0
S1,bird,ray,1,0,0,0
S1,lion,zebra,1,0,0,0
S1,kangaroo,wolf,1,0,0,0
S1,gazelle,butterfly,1,0,0,0
S1,orangutan,rat,1,0,0,0
S1,squid,leopard,1,0,1,0
S1,bird,duck,1,0,1,0
S1,tiger,leopard,1,0,1,0
S1,octopus,squid,1,0,1,0
S1,bat,squid,1,0,1,0
S1,panda,dolphin,1,0,1,0
S1,tiger,whale,1,0,1,0
S1,spider,horse,1,0,1,0
S1,squid,whale,1,0,1,0
S1,elephant,whale,1,0,1,0
S1,tiger,rat,1,0,1,0
S1,gazelle,deer,1,0,1,0
S1,wasp,rat,1,0,1,0
S1,bird,octopus,1,0,1,0
S1,spider,bee,1,0,1,0
S1,hippopotamus,deer,1,0,1,0
S1,wasp,squid,1,0,1,0
S1,spider,dolphin,1,0,1,0
S1,lion,butterfly,1,0,1,0
S1,human,giraffe,1,0,1,0
S1,canary,panda,1,0,1,0
S1,squid,squirrel,1,0,1,0
S1,dolphin,dog,1,0,1,0
S1,zebra,orangutan,1,0,1,0
S1,squid,tiger,1,0,1,0
S1,opossum,rat,1,0,1,0
S1,anteater,whale,1,0,1,0
S1,hippopotamus,whale,1,0,1,0
S1,eagle,squid,1,0,1,0
S1,duck,rat,1,0,1,0
