id,game,category,item,RT
S002,0,animals,dog,3964
S002,0,animals,cat,894
S002,0,animals,giraffe,3284
S002,0,animals,elephant,2511
S002,0,animals,panda,2110
S002,0,animals,tiger,3462
S002,0,animals,lion,1220
S002,0,animals,deer,2003
S002,0,animals,gazelle,2452
S002,0,animals,rabbit,4188
S002,0,animals,skunk,1512
S002,0,animals,squirrel,2749
S002,0,animals,chipmunk,3206
S002,0,animals,rat,2453
S002,0,animals,eagle,4516
S002,0,animals,robin,2387
S002,0,animals,penguin,4894
S002,0,animals,bluejay,7401
S002,0,animals,seal,2203
S002,0,animals,whale,6066
S002,0,animals,quail,2366
S002,0,animals,sealion,4085
S002,0,animals,seahorse,2785
S002,0,animals,trout,4408
S002,0,animals,salmon,1168
S002,0,animals,shark,2316
S002,0,animals,dolphin,3261
S002,0,animals,manatee,4933
S002,0,animals,seal,4330
S002,0,animals,duck,4940
S002,0,animals,chicken,2237
S002,0,animals,hamster,5397
S002,0,animals,chinchilla,4243
S002,0,animals,iguana,4256
S002,0,animals,parakeet,4939
S002,1,supermarket,oranges,4870
S002,1,supermarket,bananas,2604
S002,1,supermarket,apples,2418
S002,1,supermarket,grapes,2105
S002,1,supermarket,papaya,11164
S002,1,supermarket,pineapple,3611
S002,1,supermarket,melon,3628
S002,1,supermarket,watermelon,2493
S002,1,supermarket,lemon,1968
S002,1,supermarket,lime,1096
S002,1,supermarket,grapefruit,3565
S002,1,supermarket,tomato,5879
S002,1,supermarket,lettuce,2004
S002,1,supermarket,pickles,6018
S002,1,supermarket,cucumber,6501
S002,1,supermarket,milk,6074
S002,1,supermarket,butter,1528
S002,1,supermarket,flour,2239
S002,1,supermarket,bread,2423
S002,1,supermarket,cookies,3020
S002,1,supermarket,cake,867
S002,1,supermarket,chocolate,4828
S002,1,supermarket,gum,1805
S002,1,supermarket,orangejuice,3394
S002,1,supermarket,applejuice,4759
S002,1,supermarket,grapejuice,2574
S002,1,supermarket,pasta,2992
S002,1,supermarket,cheese,6138
S002,1,supermarket,yogurt,1402
S002,1,supermarket,icecream,3191
S002,1,supermarket,sugar,4686
S002,1,supermarket,salt,1525
S002,1,supermarket,pepper,1135
S002,1,supermarket,paprika,3124
S002,2,animals,dog,3167
S002,2,animals,cat,738
S002,2,animals,fish,2120
S002,2,animals,tiger,1633
S002,2,animals,lion,2281
S002,2,animals,giraffe,2324
