Land ,aanhangwagen
Land ,auto
Land ,autobus
Land ,bakfiets
Land ,benenwagen
Land ,bestelbus
Land ,bolderkar
Land ,bromfiets
Land ,brommer
Land ,buggy
Land ,bus
Land ,camion
Land ,camionette
Land ,camper
Land ,combine
Land ,driewieler
Land ,dubbeldekker
Land ,eenwieler
Land ,elektrische fiets
Land ,elektrische step
Land ,e-scooter
Land ,feestwagen
Land ,fiets
Land ,fietskar
Land ,fietstaxi
Land ,hoverboard
Land ,huifkar
Land ,jeep
Land ,kameel
Land ,kar
Land ,koersfiets
Land ,koets
Land ,ligfiets
Land ,longboard
Land ,loopfiets
Land ,lopen
Land ,metro
Land ,minibus
Land ,mobilette 
Land ,motor
Land ,mountainbike
Land ,paard
Land ,paardenwagen
Land ,paard-en-wagen
Land ,quad
Land ,raceauto
Land ,racefiets
Land ,riksja
Land ,rolstoel
Land ,scooter
Land ,scootmobiel
Land ,sedan / auto
Land ,segway
Land ,skateboard
Land ,skeeler
Land ,skelter
Land ,step
Land ,stint
Land ,tandem
Land ,taxi
Land ,trein
Land ,trekker
Land ,trike
Land ,tuktuk
Land ,vliegtuig
Land ,vrachtauto
Land ,vrachtwagen
Land ,wielrenfiets
Land ,zweefvliegtuig
Land ,bus
Land ,hoverboard
Land ,pedalo
Space ,capsule
Space ,raket
Space ,ruimteschip
Space ,shuttle
Space ,sonde
Specialized ,ambulance
Specialized ,ambulance
Specialized ,brandweerwagen
Specialized ,brandweerwagen
Specialized ,bulldozer
Specialized ,dump truck
Specialized ,excavator
Specialized ,heftruck
Specialized ,helikopter
Specialized ,hovercraft
Specialized ,kraan
Specialized ,limousine
Specialized ,limousine
Specialized ,politieauto
Specialized ,politieauto
Specialized ,straaljager
Specialized ,straaljager
Specialized ,tank
Specialized ,tank
Specialized ,touringcar
Specialized ,touringcar
Specialized ,tractor
Specialized ,tractor
Water ,boot
Water ,cruiseschip
Water ,duikboot
Water ,jacht
Water ,jetski
Water ,kajak
Water ,kano
Water ,motorboot
Water ,onderzeeeboot
Water ,onderzeeer
Water ,pont
Water ,roeiboot
Water ,rubberboot
Water ,schip
Water ,speedboot
Water ,veerboot
Water ,veerpont
Water ,waterbus
Water ,waterscooter
Water ,watertaxi
Water ,zeilboot
