Insects,abeja  
African,abejaruco  
Asian,abejaruco  
Bird,abejaruco  
Europe,abejaruco  
African,abejaruco  
Asian,abejaruco  
Bird,abejaruco  
Europe,abejaruco  
Insects,abejorro  
Insects,abejorro  
Europe,ácaro  
Insects,ácaro  
NorthAmerican,ácaro  
African,adax  
Insects,áfido  
Insects,áfido  
Bird,águila  
NorthAmerican,águila  
Bird,águila calva  
NorthAmerican,águila calva  
Bird,águila dorada  
Bird,águila pequeña  
African,águila pescadora  
Asian,águila pescadora  
Bird,águila pescadora  
Bird,aguilucho  
Bird,aguilucho  
Bird,aguilucho  
Fish,aguja  
Rodents,agutí  
Rodents,agutíes  
Canine,airedale terrier  
Water,ajolote  
Canine,akita  
Fish,alacha  
Bird,albatros  
Bird,albatros  
Bird,alcaudón  
Asian,alce  
Deers,alce  
Europe,alce  
NorthAmerican,alce  
African,alcelafe  
Deers,alcelafe  
Arctic,álcido  
Bird,álcido  
Water,alfeido  
Water,alga  
Water,almeja  
Water,almeja americana  
African,almirante rojo  
Europe,almirante rojo  
Insects,almirante rojo  
NorthAmerican,almirante rojo  
Bird,alondra  
Dinosaur,alosaurio  
ReptileAmphibian,alosaurio  
UsedForFur,alpaca  
Bird,ámpelis  
ReptileAmphibian,anaconda  
Bird,ánade  
Fish,anchoa  
Water,anémona  
Water,anémonas de mar  
ReptileAmphibian,anfibio  
Fish,angelote  
Water,anguila  
Water,anguila eléctrica  
Bird,anhinga  
ReptileAmphibian,abaniquillo  
Bird,anserino  
African,antílope  
Deers,antílope eland  
Dinosaur,apatosaurio  
ReptileAmphibian,apatosaurio  
Water,aplysia  
Arachnid,araña  
Farm,araña  
African,araña cazadora  
Asian,araña cazadora  
Australian,araña cazadora  
NorthAmerican,araña cazadora  
NorthAmerican,araña ermitaña parda  
Insects,araña lobo  
Arachnid,araña reclusa parda  
Fish,arapaima  
SouthAmerica,arapaima  
Water,arapaima  
African,ardilla  
NorthAmerican,ardilla  
Rodents,ardilla  
Rodents,ardilla gris  
NorthAmerican,ardilla listada  
Rodents,ardilla listada  
Rodents,ardilla negra  
Rodents,ardillas terrestres  
Rodents,ardilla voladora  
Fish,arenque  
Fish,arenque  
Water,arenque  
Asian,argalí  
Insectivores,armadillo  
UsedForFur,armiño  
UsedForFur,armiño  
Weasels,armiño  
Bird,arrendajo  
Bird,arrendajo  
Bird,arrendajo  
Bird,arrendajo  
Bird,arrendajo azul  
Bird,arrendajo de Steller  
Water,artemia  
Water,ascidias  
Insects,asesino de abejas  
BeastsOfBurden,asno  
Farm,asno  
ReptileAmphibian,áspid  
Fish,atún  
Fish,atún blanco  
Bird,ave  
Bird,avefría  
Bird,avefría  
Bird,avefría  
Bird,avefría  
Bird,avefría  
African,avestruz  
Bird,avestruz  
Bird,aviar  
Insects,avispa  
Insects,avispa  
Insects,avispa  
Insects,avispón  
Insects,avispón  
Insects,avispón  
Insects,avispón  
Bird,azor  
Bird,azulejo  
Pets,azul ruso  
Water,babosa  
Water,babosa  
Water,babosa  
Water,babosa  
Water,babosa de mar  
Water,babosa de plátano  
Primates,babuino  
Fish,bacalao  
Fish,bagre  
Water,ballena  
Water,ballena azul  
Water,ballena barbada  
NorthAmerican,ballena franca  
Water,ballena franca  
Water,ballena gris  
Water,ballena jorobada  
Water,ballena piloto  
Australian,bandicut  
Fish,barracuda  
Fish,barramundi  
Canine,basset hound  
Canine,beagle  
Pets,beagle  
Bird,bécada  
Bird,chocha perdiz  
Bird,árcela  
Bird,pitorra  
Bird,txukuturra  
Bird,sorda  
Bird,gallinuela  
Bovine,becerro  
Farm,becerro  
African,belostomátido  
Asian,belostomátido  
Insects,belostomátido  
NorthAmerican,belostomátido  
Water,beluga  
Feline,bengala  
Water,berberecho  
Deers,berrendo  
NorthAmerican,berrendo  
Fish,besugo  
Water,besugo  
Insects,bicho de agua  
NorthAmerican,bicho de agua  
Canine,bichón maltés  
Pets,bichón maltés  
Australian,bilbí  
Asian,binturong  
Asian,manturón  
Bovine,bisonte  
NorthAmerican,bisonte  
NorthAmerican,boa  
ReptileAmphibian,boa  
SouthAmerica,boa  
NorthAmerican,boa constrictora  
ReptileAmphibian,boa constrictora  
SouthAmerica,boa constrictora  
NorthAmerican,boca de algodón  
ReptileAmphibian,boca de algodón  
Water,bogavante
African,bongo
Fish,bonito
Water,bonito
Primates,bonobo
Fish,boquerón
Fish,boquerón
Farm,borrego
Bovine,bovino
Canine,boxer
Pets,boxer
Dinosaur,braquiosaurio
ReptileAmphibian,braquiosaurio
Fish,brema
Water,brema
Dinosaur,brontosaurio
ReptileAmphibian,brontosaurio
Bird,bubo
BeastsOfBurden,buey
Bovine,buey
Arctic,buey almizclero
Bovine,buey almizclero
Water,buey de mar
African,búfalo
Bovine,búfalo
African,búfalo cafre
Bovine,búfalo cafre
Bovine,búfalo de agua
African,búfalo del cabo
Bovine,búfalo del cabo
ReptileAmphibian,bufo
Water,bufo
Bird,búho
Arctic,búho nevado
Bird,búho nevado
NorthAmerican,búho nevado
Bird,buitre
Canine,bulldog
Pets,bulldog
Canine,bulldog francés
Pets,bulldog francés
Canine,bullmastiff
Europe,bullmastiff
Pets,bullmastiff
BeastsOfBurden,burro
Farm,burro
Fish,caballa
Fish,caballa
Fish,caballa
Fish,caballa
Fish,caballa
Water,caballito de mar
Water,caballito de mar
BeastsOfBurden,caballo
Farm,caballo
BeastsOfBurden,caballo clydesdale
Farm,caballo clydesdale
ReptileAmphibian,cabeza de cobre
Fish,cabeza de piedra
Farm,cabra
Asian,cabra montés
Farm,cabrito
Bird,cacatúa
Pets,cacatúa
Water,cachalote
Water,cachón
Canine,cachorro
NorthAmerican,cachorro
Pets,cachorro
SouthAmerica,caimán
SouthAmerica,caimán
ReptileAmphibian,caimán
Water,caimán
Fish,calamar
Water,calamar
Water,calamar gigante
African,camaleón
ReptileAmphibian,camaleón
Fish,camaron
Water,camarones limpiadores
African,camello
BeastsOfBurden,camello
Rodents,campañol
Rodents,topillo
Bird,canario
Pets,canario
Water,cangrejo
NorthAmerican,cangrejo de arena
Water,cangrejo de arena
NorthAmerican,cangrejo de las nieves
Water,cangrejo de las nieves
Water,cangrejo ermitaño
Water,cangrejo herradura
Water,cangrejo pintón
