Insects,abeja
African,abejaruco
Asian,abejaruco
Bird,abejaruco
Europe,abejaruco
Insects,abejorro
Europe,acaro
Insects,acaro
NorthAmerican,acaro
African,adax
Insects,afido
Bird,aguila
NorthAmerican,aguila
Bird,aguilacalva
NorthAmerican,aguilacalva
Bird,aguiladorada
Bird,aguilapequena
African,aguilapescadora
Asian,aguilapescadora
Bird,aguilapescadora
Bird,aguilucho
Fish,aguja
Rodents,aguti
Canine,airedaleterrier
Water,ajolote
Canine,akita
Fish,alaancha
Bird,albatros
Bird,alcaudon
Asian,alce
Deers,alce
Europe,alce
NorthAmerican,alce
African,alcelafo
Deers,alcelafo
Arctic,alcidos
Bird,alcidos
Water,alfeido
Water,alga
ReptileAmphibian,aligator
Water,aligator
Water,almeja
Water,almejaamericana
African,almiranterojo
Europe,almiranterojo
Insects,almiranterojo
NorthAmerican,almiranterojo
Bird,alondra
Dinosaur,alosaurio
ReptileAmphibian,alosaurio
UsedForFur,alpaca
Bird,ampelis
ReptileAmphibian,anaconda
Bird,anadon
Fish,anchoa
Water,anemona
Water,anemonasdemar
ReptileAmphibian,anfibio
Fish,angelote
Water,anguila
Water,anguilaelectrica
Bird,anhinga
ReptileAmphibian,anolis
Bird,ansarino
African,antilope
Deers,antilopeeland
Dinosaur,apatosaurio
ReptileAmphibian,apatosaurio
Water,aplisia
Arachnid,arana
Farm,arana
African,aranacazadora
Asian,aranacazadora
Australian,aranacazadora
NorthAmerican,aranacazadora
NorthAmerican,aranaermitanaparda
Insects,aranalobo
Arachnid,aranareclusaparda
Fish,arapaima
SouthAmerica,arapaima
Water,arapaima
African,ardilla
NorthAmerican,ardilla
Rodents,ardilla
Rodents,ardillagris
NorthAmerican,ardillalistada
Rodents,ardillalistada
Rodents,ardillanegra
Rodents,ardillasterrestres
Rodents,ardillavoladora
Fish,arenque
Water,arenque
Asian,argali
Insectivores,armadillo
UsedForFur,armino
Weasels,armino
Bird,arrendajo
Bird,arrendajoazul
Bird,arrendajodeSteller
Water,artemia
Water,ascidias
Insects,asesinodeabejas
BeastsOfBurden,asno
Farm,asno
ReptileAmphibian,aspid
Fish,atun
Fish,atunblanco
Bird,ave
Bird,avefria
African,avestruz
Bird,avestruz
Bird,aviar
Bird,avispa
Insects,avispa
Insects,avispon
Bird,azor
Bird,azulejo
Pets,azulruso
Water,babosa
Water,babosademar
Water,babosadeplatano
Primates,babuino
Fish,bacalao
Fish,bagre
Water,ballena
Water,ballenaazul
Water,ballenabarbada
NorthAmerican,ballenafranca
Water,ballenafranca
Water,ballenagris
Water,ballenajorobada
Water,ballenapilota
Australian,bandicut
Fish,barracuda
Fish,barramundi
Canine,bassethound
Canine,beagle
Pets,beagle
Bird,becada
Bovine,becerro
Farm,becerro
African,belostomatido
Asian,belostomatido
Insects,belostomatido
NorthAmerican,belostomatido
Water,beluga
Feline,bengala
Water,berberecho
Deers,berrendo
NorthAmerican,berrendo
Fish,besugo
Water,besugo
Insects,bichodeagua
NorthAmerican,bichodeagua
Canine,bichonmaltes
Pets,bichonmaltes
Australian,bilbie
Asian,binturong
Bovine,bisonte
NorthAmerican,bisonte
NorthAmerican,boa
ReptileAmphibian,boa
SouthAmerica,boa
NorthAmerican,boaconstrictora
ReptileAmphibian,boaconstrictora
SouthAmerica,boaconstrictora
NorthAmerican,bocadealgodon
ReptileAmphibian,bocadealgodon
Water,bogavante
African,bongo
Fish,bonito
Water,bonito
Primates,bonobo
Fish,boqueron
Farm,borrego
Bovine,bovino
Canine,boxer
Pets,boxer
Dinosaur,braquiosaurio
ReptileAmphibian,braquiosaurio
Fish,brema
Water,brema
Dinosaur,brontosaurio
ReptileAmphibian,brontosaurio
Bird,bubo
BeastsOfBurden,buey
Bovine,buey
Arctic,bueyalmizclero
Bovine,bueyalmizclero
Water,bueydemar
African,bufalo
Bovine,bufalo
African,bufalocafre
Bovine,bufalocafre
Bovine,bufalodeagua
African,bufalodelcabo
Bovine,bufalodelcabo
ReptileAmphibian,bufo
Water,bufo
Bird,buho
Arctic,buhonevado
Bird,buhonevado
NorthAmerican,buhonevado
Bird,buitre
Canine,buldog
Pets,buldog
Canine,bulldogfrances
Pets,bulldogfrances
Canine,bullmastiff
Europe,bullmastiff
Pets,bullmastiff
BeastsOfBurden,burro
Farm,burro
Fish,caballa
Water,caballitodemar
BeastsOfBurden,caballo
Farm,caballo
BeastsOfBurden,caballoclydesdale
Farm,caballoclydesdale
ReptileAmphibian,cabezadecobre
Fish,cabezadepiedra
Farm,cabra
Asian,cabramontes
Farm,cabrito
Bird,cacatua
Pets,cacatua
Water,cachalote
Water,cachon
Canine,cachorro
NorthAmerican,cachorro
Pets,cachorro
SouthAmerica,caiman
ReptileAmphibian,caiman
Water,caiman
Fish,calamar
Water,calamar
Water,calamaregigante
African,camaleon
ReptileAmphibian,camaleon
Fish,camaron
Water,camaroneslimpiadores
African,camello
BeastsOfBurden,camello
Rodents,campanol
Bird,canario
Pets,canario
Water,cangrejo
NorthAmerican,cangrejodearena
Water,cangrejodearena
NorthAmerican,cangrejodelasnieves
Water,cangrejodelasnieves
Water,cangrejoermitano
Water,cangrejoherradura
Water,cangrejopinton
NorthAmerican,cangrejoreal
Water,cangrejoreal
African,cangrejoviolinista
Water,cangrejoviolinista
Australian,canguro
Australian,cangurorojo
Australian,cangurotammar
Canine,caniche
Pets,caniche
Canine,canino
Rodents,capibara
Primates,capuchino
Water,carabelaportuguesa
African,caracal
Asian,caracal
Feline,caracal
Water,caracol
Bird,carbonerodecabezanegra
NorthAmerican,carbonerodecabezanegra
Bird,cardenal
Arctic,caribu
Deers,caribu
NorthAmerican,caribu
Fish,carpa
Insects,carpintero
ReptileAmphibian,cascabeldiamantino
ReptileAmphibian,cascabelesmudas
SouthAmerica,cascabelesmudas
NorthAmerican,castor
Rodents,castor
UsedForFur,castor
Water,castor
Bird,casuario
Water,cauri
Canine,cazadordelobos
Pets,cazadordelobos
Fish,cazon
Water,cazon
African,cebra
BeastsOfBurden,cebu
African,ceciliano
Asian,ceciliano
ReptileAmphibian,ceciliano
SouthAmerica,ceciliano
African,cefalofos
African,celacanto
Asian,celacanto
Fish,celacanto
Water,celacanto
Insects,celote
Water,centollo
Bird,cenzontle
