#Categoría,#spanish
African,antilope
African,antilope
African,antilope
African,antilope
African,antilope
African,antilope
African,antilope
African,antilopes
African,antilopes
African,antilopes
African,antilopes
African,antilopes
African,antilopes
African,antilopes
African,avestruces
African,avestruz
African,bufalo
African,bufalos
African,camaleon
African,camaleones
African,camello
African,camellos
African,cebra
African,cebras
African,cerdo hormiguero
African,cerdo hormigueros
African,chacal
African,chacales
African,chango
African,changos
African,chita
African,chitas
African,chimpance
African,chimpances
African,cobra
African,cobras
African,elefante
African,elefantes
African,gazela
African,gazelas
African,gorila
African,gorilas
African,hiena
African,hienas
African,hipopotamo
African,hipopotamos
African,jabali
African,jabalis
African,jineta
African,jirafabebe
African,jinetas
African,jirafagrandota
African,jirafapequeña
African,jirafa
African,jirafas
African,lemur
African,lemures
african,elhijoleon
African,leon
African,leona
African,leonas
African,leones
African,leopardo
African,leopardos
African,manati
African,manatis
African,mangosta
African,mangostas
African,ñu
African,ñu
African,ñus
African,ñus
African,okapi
African,okapis
African,oryx
African,oryxes
African,pantera
African,panteras
African,rinoceronte
African,rinoceronte
African,rinocerontes
African,rinocerontes
African,suricata
African,suricatas
African,tigre
African,tigres
Arctic,alca
Arctic,alcas
Arctic,buey
Arctic,bueyes
Arctic,foca
Arctic,focas
Arctic,mamut
Arctic,mamuts
Arctic,morsa
Arctic,morsas
Arctic,oso polar
Arctic,osos polares
Arctic,pinguino
Arctic,pinguinos
Arctic,reno
Arctic,reno
Arctic,renos
Arctic,renos
Arctic,zorro artico
Arctic,zorros articos
Australian,bandicut
Australian,bandicutes
Australian,cangurobebe
Australian,canguro
Australian,canguros
Australian,demonio de tasmania
Australian,demonio de tasmania
Australian,demonios de tasmania
Australian,demonioa de tasmania
Australian,dingo
Australian,dingos
Australian,emu
Australian,emus
Australian,kiwi
Australian,kiwis
Australian,koala
Australian,koalas
Australian,ornitorrinco
Australian,ornitorrinco
Australian,ornitorrincos
Australian,ornitorrincos
Australian,petauro del azucar
Australian,petauros del azucar
Australian,tlacuache
Australian,tlacuache
Australian,tlacuaches
Australian,tlacuaches
Australian,wallaby
Australian,wallabyes
Australian,wallaroo
Australian,wallaroos
Australian,wombat
Australian,wombates
BeastsOfBurden,buey
BeastsOfBurden,bueyes
BeastsOfBurden,burro
BeastsOfBurden,burro
BeastsOfBurden,burro
BeastsOfBurden,burros
BeastsOfBurden,burros
BeastsOfBurden,burros
BeastsOfBurden,horse
BeastsOfBurden,caballo
BeastsOfBurden,caballo mustang
BeastsOfBurden,caballo mustanges
BeastsOfBurden,caballos
BeastsOfBurden,camello
BeastsOfBurden,camellos
BeastsOfBurden,dromedario
BeastsOfBurden,dromedarios
BeastsOfBurden,llama
BeastsOfBurden,llamas
BeastsOfBurden,mula
BeastsOfBurden,mulas
BeastsOfBurden,poni
BeastsOfBurden,ponis
BeastsOfBurden,potro
BeastsOfBurden,potros
BeastsOfBurden,troton
BeastsOfBurden,trotones
BeastsOfBurden,yak
BeastsOfBurden,yakes
BeastsOfBurden,yegua
BeastsOfBurden,yeguas
Birds,aguila
Birds,aguila pescadora
Birds,aguilas pescadoras
Birds,aguilas
Birds,aguililla
Birds,aguilillas
Birds,aguilucho
Birds,aguilucho
Birds,aguiluchos
Birds,aguiluchos
Birds,albatros
Birds,albatroses
Birds,alcaudon
Birds,alcaudones
Birds,alondra
Birds,alondras
Birds,arrendajo azul
Birds,arrendajo azul
Birds,arrendajos azules
Birds,arrendajos azules
Birds,ave
Birds,ave bobolink
Birds,aves bobolinkes
Birds,aves
Birds,avestruz
Birds,avestruces
Birds,azor
Birds,azores
Birds,azulejo
Birds,azulejos
Birds,buho
Birds,buhos
Birds,loro
Birds,loros
Birds,calandria
Birds,calandrias
Birds,camachuelo
Birds,camachuelos
Birds,canario
Birds,canarios
Birds,carbonero
Birds,carboneros
Birds,cardenal
Birds,cardenales
Birds,cencejo
Birds,cencejos
Birds,cenzontle
Birds,cenzontles
Birds,chochin
Birds,chochines
Birds,cigueña
Birds,cigueñas
Birds,cisne
Birds,cisnes
Birds,codorniz
Birds,codornices
Birds,colibri
Birds,colibries
Birds,colimbo
Birds,colimbos
Birds,correcaminos
Birds,correcaminos
Birds,cotorro
Birds,cotorros
Birds,cuco
Birds,cucos
Birds,cuervo
Birds,cuervo
Birds,cuervos
Birds,cuervos
Birds,cuigueñela
Birds,cuigueñelas
Birds,dodo
Birds,dodos
Birds,emu
Birds,emus
Birds,escribano
Birds,escribanos
Birds,espatula
Birds,espatulas
Birds,estorino
Birds,estorinos
Birds,faisan
Birds,faisanes
birds,flamenco
Birds,flamingo
Birds,flamingos
Birds,gallina
Birds,gallinas
Birds,gallo
Birds,gallos
Birds,gansito
Birds,gansitos
Birds,ganso macho
Birds,ganso machos
Birds,garza
Birds,garza
Birds,garzas
Birds,garzas
Birds,gaviota
Birds,gaviota
Birds,gaviotas
Birds,gaviotas
Birds,golondrina
Birds,golondrina cola larga
Birds,golondrinas cola larga
Birds,golondrinas
Birds,gorrion
Birds,gorriones
Birds,grajilla
Birds,grajillas
Birds,guacamaya
Birds,guacamayo
Birds,guacamayos
Birds,halcon
Birds,halcon
Birds,halcon peregrino
Birds,halcon peregrinos
Birds,halcones
Birds,halcones
Birds,ibis
Birds,ibises
Birds,jilguero
Birds,jilgueros
Birds,kiwi
Birds,kiwis
Birds,martin pescador
Birds,martines pescadores
Birds,merlin
Birds,merlines
Birds,milano
Birds,milanos
Birds,mina
Birds,minas
Birds,mirlo
Birds,mirlos
Birds,mojarra azul
Birds,mojarra azules
Birds,ninfa
Birds,ninfas
Birds,ñandu
Birds,ñandus
Birds,oveja
Birds,ovejas
Birds,pajaro
Birds,pajaro cantor
Birds,pajaro cantores
Birds,pajaro carpintero
Birds,pajaro carpinteros
Birds,pajaros
Birds,paloma
Birds,paloma
Birds,palomas
