# Animal scheme file for Italian
# First version
# Created by Sabia Costantini, 2023
# Schema "animali" in Italiano
# Prima versione
# Creato da Sabia Costantini, 2023"
# Additional information regarding this scheme is available at https://github.com/costantini-sabia/Italian_SNAFU_Scheme
Acqua,acciuga
Acqua,aguglia
Acqua,alga
Acqua,alice
Acqua,alligatore
Acqua,alosa
Acqua,anemone
Acqua,anemonedimare
Acqua,anguilla
Acqua,aragosta
Acqua,arapaima
Acqua,aringa
Acqua,artemia
Acqua,asinello
Acqua,assolotto
Acqua,astice
Acqua,balena
Acqua,balenagrigia
Acqua,balenottera
Acqua,barbo
Acqua,beluga
Acqua,betta
Acqua,branzino
Acqua,calamaro
Acqua,cannolicchio
Acqua,canocchia
Acqua,capasanta
Acqua,capodoglio
Acqua,cardio
Acqua,castoro
Acqua,cavallucciomarino
Acqua,cefalo
Acqua,celacantiforme
Acqua,cernia
Acqua,cetriolomarino
Acqua,ciprea
Acqua,cirripede
Acqua,corallo
Acqua,coregone
Acqua,cozza
Acqua,delfino
Acqua,dentice
Acqua,elefantemarino
Acqua,elettroforo
Acqua,foca
Acqua,focaleopardo
Acqua,focena
Acqua,gallinella
Acqua,gamberetto
Acqua,gambero
Acqua,gamberone
Acqua,gavialedelgange
Acqua,girino
Acqua,granchio
Acqua,granciporro
Acqua,granseola
Acqua,inia
Acqua,krill
Acqua,lamantino
Acqua,lepredimare
Acqua,lontra
Acqua,lontramarina
Acqua,lumacadimare
Acqua,lumachinadimare
Acqua,manta
Acqua,mazzancolla
Acqua,medusa
Acqua,megattera
Acqua,merluzzo
Acqua,mollusco
Acqua,murena
Acqua,narvalo
Acqua,nasello
Acqua,nutria
Acqua,oca
Acqua,ombrina
Acqua,orata
Acqua,orca
Acqua,ornitorinco
Acqua,ostrica
Acqua,paguro
Acqua,palombo
Acqua,patella
Acqua,persico
Acqua,pesce
Acqua,pescepietra
Acqua,pescespada
Acqua,pescegatto
Acqua,pescepalla
Acqua,pescerosso
Acqua,pescescorpioneorientale
Acqua,pinguino
Acqua,piovra
Acqua,plancton
Acqua,polpo
Acqua,rana
Acqua,ranapescatrice
Acqua,razza
Acqua,ricciodimare
Acqua,ricciola
Acqua,rombo
Acqua,salamandra
Acqua,salmone
Acqua,sanguisuga
Acqua,sarago
Acqua,sardina
Acqua,scampo
Acqua,scorfano
Acqua,seppia
Acqua,serpentedimare
Acqua,sgombro
Acqua,sogliola
Acqua,spugna
