method,simnum,subjects,hit,miss,fa,cr,cost,startseed
rw,0,1,73,320,21,12306,341.0,
goni,0,1,11,382,2,12325,384.0,
kenett,0,1,14,379,199,12128,578.0,
fe,0,1,3,390,0,12327,390.0,
rw,0,2,132,261,49,12278,310.0,
goni,0,2,33,360,3,12324,363.0,
kenett,0,2,13,380,305,12022,685.0,
fe,0,2,6,387,0,12327,387.0,
rw,0,3,174,219,78,12249,297.0,
goni,0,3,63,330,11,12316,341.0,
kenett,0,3,14,379,370,11957,749.0,
fe,0,3,9,384,0,12327,384.0,
rw,0,4,210,183,107,12220,290.0,
goni,0,4,89,304,19,12308,323.0,
kenett,0,4,12,381,399,11928,780.0,
fe,0,4,12,381,0,12327,381.0,
rw,0,5,235,158,131,12196,289.0,
goni,0,5,113,280,27,12300,307.0,
kenett,0,5,13,380,407,11920,787.0,
fe,0,5,15,378,0,12327,378.0,
rw,0,6,255,138,172,12155,310.0,
goni,0,6,138,255,36,12291,291.0,
kenett,0,6,17,376,421,11906,797.0,
fe,0,6,18,375,0,12327,375.0,
rw,0,7,271,122,203,12124,325.0,
goni,0,7,161,232,49,12278,281.0,
kenett,0,7,16,377,428,11899,805.0,
fe,0,7,20,373,0,12327,373.0,
rw,0,8,289,104,236,12091,340.0,
goni,0,8,181,212,61,12266,273.0,
kenett,0,8,19,374,428,11899,802.0,
fe,0,8,22,371,0,12327,371.0,
rw,0,9,308,85,264,12063,349.0,
goni,0,9,204,189,68,12259,257.0,
kenett,0,9,20,373,433,11894,806.0,
fe,0,9,25,368,0,12327,368.0,
rw,0,10,323,70,284,12043,354.0,
goni,0,10,225,168,90,12237,258.0,
kenett,0,10,21,372,438,11889,810.0,
fe,0,10,28,365,0,12327,365.0,
rw,0,11,337,56,309,12018,365.0,
goni,0,11,242,151,95,12232,246.0,
kenett,0,11,21,372,447,11880,819.0,
fe,0,11,31,362,0,12327,362.0,
rw,0,12,346,47,337,11990,384.0,
goni,0,12,250,143,117,12210,260.0,
kenett,0,12,24,369,444,11883,813.0,
fe,0,12,34,359,0,12327,359.0,
rw,0,13,359,34,363,11964,397.0,
goni,0,13,272,121,126,12201,247.0,
kenett,0,13,34,359,437,11890,796.0,
fe,0,13,37,356,0,12327,356.0,
rw,0,14,364,29,388,11939,417.0,
goni,0,14,282,111,141,12186,252.0,
kenett,0,14,27,366,444,11883,810.0,
fe,0,14,40,353,0,12327,353.0,
rw,0,15,369,24,408,11919,432.0,
goni,0,15,293,100,158,12169,258.0,
kenett,0,15,209,184,265,12062,449.0,
fe,0,15,43,350,0,12327,350.0,
rw,0,16,370,23,438,11889,461.0,
goni,0,16,301,92,165,12162,257.0,
kenett,0,16,213,180,261,12066,441.0,
fe,0,16,46,347,0,12327,347.0,
rw,0,17,375,18,454,11873,472.0,
goni,0,17,312,81,177,12150,258.0,
kenett,0,17,218,175,256,12071,431.0,
fe,0,17,48,345,0,12327,345.0,
rw,0,18,376,17,482,11845,499.0,
goni,0,18,318,75,177,12150,252.0,
kenett,0,18,219,174,255,12072,429.0,
fe,0,18,51,342,0,12327,342.0,
rw,0,19,378,15,504,11823,519.0,
goni,0,19,322,71,183,12144,254.0,
kenett,0,19,223,170,251,12076,421.0,
fe,0,19,53,340,0,12327,340.0,
rw,0,20,380,13,531,11796,544.0,
goni,0,20,331,62,186,12141,248.0,
kenett,0,20,221,172,253,12074,425.0,
fe,0,20,56,337,0,12327,337.0,
rw,0,21,380,13,554,11773,567.0,
goni,0,21,334,59,201,12126,260.0,
kenett,0,21,236,157,238,12089,395.0,
fe,0,21,58,335,0,12327,335.0,
rw,0,22,381,12,572,11755,584.0,
goni,0,22,337,56,210,12117,266.0,
kenett,0,22,235,158,239,12088,397.0,
fe,0,22,61,332,0,12327,332.0,
rw,0,23,382,11,595,11732,606.0,
goni,0,23,340,53,217,12110,270.0,
kenett,0,23,237,156,237,12090,393.0,
fe,0,23,64,329,0,12327,329.0,
rw,0,24,384,9,621,11706,630.0,
goni,0,24,345,48,234,12093,282.0,
kenett,0,24,241,152,233,12094,385.0,
fe,0,24,67,326,0,12327,326.0,
rw,0,25,387,6,647,11680,653.0,
goni,0,25,348,45,242,12085,287.0,
kenett,0,25,243,150,231,12096,381.0,
fe,0,25,69,324,0,12327,324.0,
rw,0,26,387,6,673,11654,679.0,
goni,0,26,350,43,250,12077,293.0,
