method,simnum,listnum,hit,miss,fa,cr,cost,startseed
uinvite,0,1,71,322,19,12308,341.0,0
uinvite,0,2,88,305,32,12295,337.0,0
uinvite,0,3,99,294,38,12289,332.0,0
uinvite,0,4,91,302,40,12287,342.0,0
uinvite,0,5,99,294,41,12286,335.0,0
uinvite,0,6,93,300,38,12289,338.0,0
uinvite,0,7,98,295,36,12291,331.0,0
uinvite,0,8,91,302,35,12292,337.0,0
uinvite,0,9,98,295,29,12298,324.0,0
uinvite,0,10,104,289,25,12302,314.0,0
uinvite,0,11,98,295,24,12303,319.0,0
uinvite,0,12,94,299,25,12302,324.0,0
uinvite,0,13,91,302,20,12307,322.0,0
uinvite,0,14,100,293,15,12312,308.0,0
uinvite,0,15,95,298,17,12310,315.0,0
uinvite,0,16,94,299,13,12314,312.0,0
