method,simnum,listnum,hit,miss,fa,cr,cost,startseed
uinvite,0,1,71,322,19,12308,341.0,0
uinvite,0,2,120,273,47,12280,320.0,0
uinvite,0,3,146,247,64,12263,311.0,0
uinvite,0,4,158,235,83,12244,318.0,0
uinvite,0,5,167,226,80,12247,306.0,0
uinvite,0,6,161,232,83,12244,315.0,0
uinvite,0,7,168,225,76,12251,301.0,0
uinvite,0,8,177,216,83,12244,299.0,0
uinvite,0,9,186,207,88,12239,295.0,0
uinvite,0,10,194,199,76,12251,275.0,0
uinvite,0,11,198,195,70,12257,265.0,0
uinvite,0,12,198,195,66,12261,261.0,0
uinvite,0,13,199,194,60,12267,254.0,0
uinvite,0,14,195,198,56,12271,254.0,0
uinvite,0,15,203,190,59,12268,249.0,0
uinvite,0,16,211,182,62,12265,244.0,0
uinvite,0,17,207,186,58,12269,244.0,0
uinvite,0,18,210,183,57,12270,240.0,0
uinvite,0,19,212,181,56,12271,237.0,0
uinvite,0,20,203,190,53,12274,243.0,0
uinvite,0,21,212,181,50,12277,231.0,0
uinvite,0,22,225,168,41,12286,209.0,0
uinvite,0,23,224,169,45,12282,214.0,0
uinvite,0,24,230,163,40,12287,203.0,0
uinvite,0,25,229,164,42,12285,206.0,0
uinvite,0,26,228,165,32,12295,197.0,0
uinvite,0,27,226,167,34,12293,201.0,0
uinvite,0,28,228,165,28,12299,193.0,0
uinvite,0,29,229,164,27,12300,191.0,0
uinvite,0,30,231,162,26,12301,188.0,0
uinvite,0,31,226,167,25,12302,192.0,0
uinvite,0,32,232,161,23,12304,184.0,0
uinvite,0,33,236,157,22,12305,179.0,0
uinvite,0,34,240,153,24,12303,177.0,0
uinvite,0,35,247,146,24,12303,170.0,0
uinvite,0,36,245,148,25,12302,173.0,0
uinvite,0,37,245,148,26,12301,174.0,0
uinvite,0,38,252,141,26,12301,167.0,0
uinvite,0,39,245,148,25,12302,173.0,0
uinvite,0,40,245,148,20,12307,168.0,0
uinvite,0,41,246,147,23,12304,170.0,0
uinvite,0,42,250,143,24,12303,167.0,0
uinvite,0,43,247,146,21,12306,167.0,0
uinvite,0,44,244,149,25,12302,174.0,0
uinvite,0,45,248,145,18,12309,163.0,0
uinvite,0,46,246,147,24,12303,171.0,0
