max_converge,theta,numgraphs,edgestotweak,numkeep,jeff,numperseed,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_orig,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irt,miss_irt,fa_irt,cr_irt,hit_noirt,miss_noirt,fa_noirt,cr_noirt,hit_orig,miss_orig,fa_orig,cr_orig,bestval_irts,bestval_noirt,bestval_orig
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,0,5,0.7,0,14,13,11,0:05:40.632293,0:00:37.941603,2fc6ouu1k41ybxliupsg1ycrmxi5jc0rzbukk5xsds7q,2fbxg2t98e3hnn7bt39azezelt3gii5pjx8xxu2tnora,0,24,6,7,68,23,7,4,71,23,7,7,68,-45.8161511504,-55.015824624,-56.5230513263
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,1,5,0.7,1,23,19,22,0:08:07.377701,0:00:45.549818,141678sx3d46ecythjnnxvja90wv5vu4bxuks73uwv9i,2mltggmvd43niblq6rnj3qavx7hoji3y7a5b6w0fugwm,0,20,10,9,66,17,13,9,66,20,10,13,62,-47.8949114348,-58.281098643,-60.9401399208
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,2,5,0.7,2,13,11,11,0:03:15.166040,0:01:00.221569,2q8bm6cllaf6fx8iw67np8ubodvfmsh108hwmlx3ccgm,140p7ob8vk5mi8cehui1kbfvdqg960el7fdoh0vj7tom,0,25,5,6,69,21,9,2,73,26,4,9,66,-41.0970880039,-51.1878653728,-58.8419228138
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,3,5,0.7,3,18,18,20,0:04:15.646383,0:00:25.197348,2ufqwf1etcxpbjaualzuc3wjyeft7sv3c6zncny2ny96,20vmntfka9xk2rre06e9tcsaqe4jtznl1c6asaet3s5m,0,23,7,11,64,20,10,10,65,23,7,11,64,-49.5854213055,-61.460291673,-62.6623512393
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,4,5,0.7,4,19,16,12,0:05:14.532844,0:00:55.696882,1q3lap6i6bfjfkc7om026jrp910zugpv2icj4mix0ava,1pvem8lm79t2mitt4cdlpmvgc9ddi8mvd5fy2hpdqux2,0,21,9,7,68,21,9,3,72,22,8,11,64,-49.4859803557,-59.0740401877,-63.1889161479
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,5,5,0.7,5,21,16,18,0:07:11.091183,0:01:15.652274,1oa3ag3chnvehmee6tn4hwbby9qrn62lq4n8xla67uu8,1vk10jpqfunalloxafz8ckt030coo529fqq8zk2y5b5s,0,23,7,9,66,21,9,9,66,25,5,16,59,-50.5534080066,-65.6624460689,-69.1341309955
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,6,5,0.7,6,16,13,17,0:04:57.371608,0:00:37.270163,elp29q64qf4wucotlwr62cqq6z9ye5m4njd298oie6c,el6sf7nmypg6p5xt8bfkd4bxmrmsj4b8sn5syavoda8,0,22,8,5,70,20,10,7,68,24,6,10,65,-49.6039437356,-54.3424313582,-58.4911691513
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,7,5,0.7,7,21,18,16,0:07:19.322786,0:00:51.322081,17o684jvgw2dc4f2b39m4pm4vc4cwf7ctlk2ifi9u3vc,17o52onchsxue3739tex55i1iccbet103vuqslj0yivs,0,20,10,8,67,19,11,5,70,20,10,11,64,-44.2657757257,-58.1206503084,-62.0358260856
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,8,5,0.7,8,18,16,14,0:05:59.726616,0:00:43.163793,10i166xjf1uoo3z8lbvba1b6p2jphru1yuhghabdtsso,ly5q0884cwz9000ddgy2bgug3shfzsgw7phdxia79xk,1,20,10,6,69,19,11,3,72,21,9,9,66,-44.429138687,-55.0452722927,-59.0549111463
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,9,5,0.7,9,18,14,13,0:05:47.077553,0:01:11.274420,1tiljdwstz2mamtu49eegw2c6eb3liz90xklm8u68fuw,1ambu86yf1j8wvo3bi5eyjh7b0nky53tbovsnuzbpk,1,22,8,6,69,19,11,2,73,23,7,11,64,-45.5294330576,-61.0567807888,-66.1776178014
